"안전비상벨관리번호","설치위치","소재지도로명주소","소재지지번주소","위도","경도","관리기관명","관리기관전화번호"
"1","장안근린공원 화장실","서울특별시 동대문구 장한로 191","서울특별시 동대문구 장안2동 300",37.577102,127.0709033146,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"2","장평근린공원","서울특별시 동대문구 장안벚꽃로67","서울특별시 동대문구 장안1동 356",37.56653117,127.073474,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"3","용두근린공원","서울특별시 동대문구 천계천로563","서울특별시 동대문구 용두동34-1",37.573023,127.038554,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"4","배봉산","서울특별시 동대문구 전농로16길97","서울특별시 동대문구 전농동 산32-20",37.578401,127.062758,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"5","배봉산","서울특별시 동대문구 휘경동 산6-80","서울특별시 동대문구 휘경동 산6-80",37.583198,127.065476,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"6","배봉산","서울특별시 동대문구 휘경동 산6-35","서울특별시 동대문구 휘경동 산6-35",37.589637,127.067527,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"7","배봉산","서울특별시 동대문구 휘경동 산6-35","서울특별시 동대문구 휘경동 산6-35",37.58739,127.067037,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"8","답십리산","서울특별시 동대문구 답십리동 산 2-1","서울특별시 동대문구 답십리동 산 2-1",37.574565,127.062533,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"9","답십리산","서울특별시 동대문구 답십리동 2-299","서울특별시 동대문구 답십리동 2-299",37.57114,127.061471,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"10","홍릉근린공원","서울특별시 동대문구 청량리동 산1-143","서울특별시 동대문구 청량리동 산1-143",37.588982,127.0470016,"서울특별시 동대문구 공원녹지과","02-2127-4779"
"11","정릉천(제기1교 옆)","서울특별시 동대문구 제기동 135-126","서울특별시 동대문구 제기동 135-126",37.58569,127.035752,"서울특별시 동대문구 청소행정과","02-2127-4737"
"12","정릉천 제방(래미안허브리츠 106동 옆)","서울특별시 동대문구 용두동 696-1","서울특별시 동대문구 용두동 696-1",37.574946,127.034823,"서울특별시 동대문구 청소행정과","02-2127-4737"
"13","이문1마을마당(이문초등학교 옆)","서울특별시 동대문구 이문2동 357-3","서울특별시 동대문구 이문2동 357-3",37.602745,127.064587,"서울특별시 동대문구 청소행정과","02-2127-4737"
"14","홍릉(세종대왕기념관 건너편)","서울특별시 동대문구 홍릉로 111(청량리동)","서울특별시 동대문구 청량리동 산 1-214",37.590183,127.0422695,"서울특별시 동대문구 청소행정과","02-2127-4737"
"15","이문1(외대 뒤편 주택가 골목)","서울특별시 동대문구 이문1동257-416","서울특별시 동대문구 이문1동257-416",37.601145,127.060308,"서울특별시 동대문구 청소행정과","02-2127-4737"
"16","전곡마을마당","서울특별시 동대문구 전농1동 199-56","서울특별시 동대문구 전농1동 199-56",37.580497,127.05468,"서울특별시 동대문구 청소행정과","02-2127-4737"
"17","장안1(미나리어린이 공원)","서울특별시 동대문구 천호대로87길 43(장안동)","서울특별시 동대문구 장안1동 449",37.5638566926,127.067958,"서울특별시 동대문구 청소행정과","02-2127-4737"
"18","장안2(늘봄어린이 공원)","서울특별시 동대문구 장한로26나길 6(장안동)","서울특별시 동대문구 장안2동 343",37.5713214066,127.0725756,"서울특별시 동대문구 청소행정과","02-2127-4737"
"19","우산각공원","서울특별시 동대문구 천호대로4길 22(신설동)","서울특별시 동대문구 신설동 109-4",37.5738568253,127.0241843067,"서울특별시 동대문구 청소행정과","02-2127-4737"
"20","답십리 현대시장(입구)","서울특별시 동대문구 황물로17길 24(답십리동)","서울특별시 동대문구 답십리2동 952-2",37.5648452571,127.0593735,"서울특별시 동대문구 청소행정과","02-2127-4737"
"21","전농1(청량리역 뒤편 주택가 골목)","서울특별시 동대문구 전농1동 604-4","서울특별시 동대문구 전농1동 604-4",37.582819,127.050538,"서울특별시 동대문구 청소행정과","02-2127-4737"
"22","청량리청과물시장","서울특별시 동대문구 홍릉로1길 68-3(제기동)","서울특별시 동대문구 제기동 647-11",37.580126,127.041048,"서울특별시 동대문구 청소행정과","02-2127-4737"
"23","신이문역4번출입구","서울특별시 동대문구 이문동 360-4","서울특별시 동대문구 이문2동 360-4",37.600713,127.066603,"서울특별시 동대문구 청소행정과","02-2127-4737"
"24","신이문역5번출입구","서울특별시 동대문구 이문동 171-19","서울특별시 동대문구 이문2동 171-19",37.600628,127.066984,"서울특별시 동대문구 청소행정과","02-2127-4737"
