Column1,새주소,지번주소,X,Y,콘텐츠 명,구명,상세정보 값 1
0,이화장길 99,종로구 동숭동 187-12,127.0042742,37.5796904,이랑씨어터,종로구,공연장
2,세종대로 175 세종이야기,종로구 세종로 81-3,126.9760547,37.57221735,세종체임버홀,종로구,공연장
3,세종대로 175 세종이야기,종로구 세종로 81-3,126.9760547,37.57221735,세종M씨어터,종로구,공연장
4,동숭길 122,종로구 동숭동 1-5,127.0036829,37.58366283,동숭아트센터,종로구,공연장
5,종로33길 15,종로구 연지동 270,127.0012071,37.57189146,연강홀,종로구,공연장
6,대학로8길 7,종로구 동숭동 1-111,127.0029591,37.58119107,아르코예술극장대극장,종로구,공연장
7,대학로8길 7,종로구 동숭동 1-111,127.0029591,37.58119107,아르코예술극장소극장,종로구,공연장
8,동숭길 122,종로구 동숭동 1-5,127.0036829,37.58366283,동숭아트센터 소극장,종로구,공연장
9,대학로5길 3-2,종로구 연건동 132-1,127.0017486,37.57818268,극단 연단,종로구,공연장
10,지봉로5길 7-5,종로구 창신동 222-8,127.0144689,37.57350761,종로구민회관 대강당,종로구,공연장
11,대학로12길 38,종로구 동숭동 1-81,127.0037181,37.58248513,정보소극장,종로구,공연장
12,대학로 60,종로구 연건동 178-1,127.0025675,37.57651585,대학로극장,종로구,공연장
13,대학로 60,종로구 연건동 178-1,127.0025675,37.57651585,청운글로브극장,종로구,공연장
14,동숭4길 16-3,종로구 동숭동 12-6,127.0045608,37.58330525,단막극장,종로구,공연장
15,성균관로 87,종로구 명륜1가 5,126.998279,37.58997235,극단연우무대,종로구,공연장
16,새문안로 75,종로구 신문로1가 57,126.9729506,37.57063115,금호아트홀,종로구,공연장
17,자하문로 242,종로구 부암동 208-71,126.9640843,37.59573639,부암아트홀,종로구,공연장
18,창경궁로 254,종로구 명륜2가 41-4,127.0000055,37.58369193,한성아트홀 1관,종로구,공연장
19,창경궁로 254,종로구 명륜2가 41-4,127.0000055,37.58369193,한성아트홀 2관,종로구,공연장
20,대학로12길 15,종로구 동숭동 1-54,127.003,37.583,극단 아룽구지,종로구,공연장
21,동숭길 39,종로구 동숭동 1-53,127.0030415,37.58276519,(봄날아트홀) 소극장아리랑,종로구,공연장
22,성균관로 91,종로구 혜화동 1-21,126.9988294,37.59034921,국민생활관소극장,종로구,공연장
23,대학로12길 63,종로구 동숭동 1-89,127.0040084,37.58122993,까망소극장,종로구,공연장
24,대학로 132,종로구 동숭동 1-35,127.0020738,37.58308759,아티스탄홀,종로구,공연장
25,대학로9길 18,종로구 명륜4가 111-2,127.000835,37.58183982,소극장축제,종로구,공연장
26,대학로 116,종로구 동숭동 1-115,127.0023248,37.5815401,샘터파랑새극장,종로구,공연장
27,창경궁로 258-12,종로구 명륜2가 21-18,127.0004013,37.583727,열린극장,종로구,공연장
28,세종대로 175 세종이야기,종로구 세종로 81-3,126.9760547,37.57221735,세종문화회관대극장,종로구,공연장
29,동숭길 125,종로구 동숭동 1-42,127.0032759,37.58328831,상상Art Blue,종로구,공연장
30,대학로12길 46,종로구 동숭동 1-79,127.0030294,37.5839267,학전그린소극장,종로구,공연장
31,대학로12길 46,종로구 동숭동 1-79,127.0037129,37.58207964,학전블루소극장,종로구,공연장
32,대학로10길 24,종로구 동숭동 1-97,127.003516,37.58160288,SM틴틴홀,종로구,공연장
33,대학로10길 11,종로구 동숭동 1-61,127.0027871,37.58188163,세우아트센타,종로구,공연장
34,대학로8가길 129,종로구 동숭동 1-133,127.0034992,37.58031594,물빛극장,종로구,공연장
35,창경궁로 263,종로구 명륜2가 8-1,127.0003524,37.58486853,예술극장 나무와물,종로구,공연장
