전체,살인,강도,절도,폭력,성폭력,주소,위도,경도,지구대,관할구역
4,3,1,4,4,3,서울 종로구 행촌동 송월길 152,37.5717949,126.962182,교남,"홍파동, 교남동, 교북동, 평동, 송월동, 행촌동, 무악동"
4,2,3,3,3,4,서울 종로구 사직로9길 5,37.5759503,126.968135,사직,"체부동, 사직동, 사직로5길, 사직로7길, 사직로9길, 사직로49-4, 사직로49-10, 사직로49-12, 사직로49-14, 사직로49-16, 사직로49-18, 사직로55, 사직로57, 사직로57-1, 사직로59, 사직로61, 사직로103-4, 사직로105, 사직로107, 사직로109,  사직로111-1, 사직로115, 사직로115-1, 사직로115-2, 사직로115-3, 사직로115-4,  사직로113, 사직로119, 사직로119-2, 인왕산로3, 인왕산로5, 인왕산로7, 인왕산로15, 인왕산로17, 인왕산로17-1, 인왕산로19, 인왕산로1길, 송월1길, 필운동, 내자동, 자하문로1, 자하문로1-5, 자하문로1길"
2,1,1,2,2,2,서울 종로구 자하문로17길 24,37.5814557,126.969412,옥인,"옥인동, 통인동, 누상동, 옥인3길, 필운대로1길, 필운대로5나길, 누하동"
1,1,2,1,1,1,서울 종로구 자하문로 92-1,37.5841229,126.970577,청운,"청운동, 신교동, 세종로동, 청와대로1, 궁정동, 창의문로12, 창의문로21, 자하문로26길, 자하문로28길"
2,1,1,2,2,1,서울 종로구 효자로 9,37.5767537,126.973976,통의,"통의동, 창성동, 효자동, 적선동, 효자로3길, 사직로135, 사직로137, 사직로137-11, 사직로137-13, 사직로137-15, 사직로137-17, 자하문로2길4, 자하문로2길8, 자하문로2길12, 자하문로2길14, 자하문로2길16, 자하문로2길18, 자하문로2길20, 자하문로2길22, 사직로길125, 사직로길133-2, 사직로길133-6, 사직로길133-8, 사직로길133-10, 사직로길133-12, 사직로길133-3, 사직로길133-5, 사직로길133-7, 사직로길133-9, 사직로길127, 사직로길127-6, 사직로길127-12, 사직로길127-14, 사직로161, 삼청로37, 궁정동, 효자로97, 효자로105, 효자로107, 자하문로84, 자하문로86, 자하문로86-1"
3,3,1,3,3,3,서울 종로구 경희궁길 6-3,37.5707346,126.972189,신문로,"내수동, 당주동, 세종대로23길, 내자동, 새문안로3길, 사직로12길, 사직로106, 사직로108, 사직로110, 사직로112, 사직로114, 필운동, 사직로8길, 사직로10길, 사직로94, 사직로96, 사직로102, 사직로104, 새문안로5길, 도렴동, 적선동, 사직로1390, 신문로1가, 경희궁길4, 신문로2가, 경희궁길6, 경희궁길7, 경희궁길8, 경희궁길9, 경희궁길10, 경희궁길12, 경희궁길13, 경희궁길14, 경희궁길15, 경희궁길18, 경희궁길19, 경희궁길22, 경희궁길23, 경희궁길24, 경희궁길26, 경희궁길27, 경희궁길28, 경희궁길31, 경희궁길33, 경희궁길34, 경희궁길36, 경희궁길37, 경희궁길39, 경희궁길41, 경희궁길42, 경희궁길43, 경희궁길45, 경희궁길46, 경희궁길47, 경희궁1길, 새문안로35, 새문안로37, 새문안로39, 새문안로43, 경희궁1가길, 송월길2, 송월길14, 송월길18, 송월길20-1, 송월길20-2, 송월길20-3, 송월길20-4, 송월길20-5, 송월길20-6, 송월길20-7, 송월길20-8, 송월길22, 송월길35, 송월길41-1, 송월길41-2, 송월길41-3, 송월길41-4, 송월길41-5, 송월길41-6, 송월길41-7, 송월길41-8, 송월길41-9, 송월길41-10, 송월길41-11, 송월길41-12, 송월길43, 송월길48, 송월길52, 사직로6길, 사직동, 경희궁3가길, 경희궁3나길, 사직로62, 사직로64, 사직로66, 사직로68, 사직로70"
3,1,1,4,4,2,서울 종로구 삼청로 66,37.5813862,126.981106,삼청,"사간동, 소격동, 삼청동, 팔판동, 가회동, 화동, 재동, 안국동, 송현동, 계동, 원서동, 운니동"
4,1,3,5,4,4,서울 종로구 삼봉로 33,37.5728986,126.979252,청진,"수송동, 중학동, 공평동, 종로47, 우정국로29, 삼봉로90, 삼봉로92, 삼봉로98, 삼봉로100, 종로7길, 견지동, 우정국로45, 우정국로47, 우정국로49, 우정국로51, 우정국로53, 우정국로55, 우정국로57, 우정국로59, 우정국로61, 우정국로63, 우정국로65, 우정국로67, 우정국로69, 율곡로4길, 종로1가, 청진동, 세종로동, 종로1길, 세종대로175, 세종대로178, 세종대로198"
5,1,2,5,5,5,서울 종로구 삼일대로 386,37.5688094,126.988094,관수,"관철동, 관수동, 장사동, 돈화문로5, 돈화문로7, 돈화문로9, 세종대로152, 청계천로1, 서린동, 종로2가, 종로3가, 종로60, 종로62, 종로64, 종로66, 종로68, 종로70, 종로72, 종로74, 종로78, 종로80, 종로82, 종로84, 종로86, 종로88, 종로90, 종로92, 종로94, 종로96, 종로98, 종로100, 종로102, 종로104, 종로106, 종로108, 종로110, 종로112, 종로114, 종로116, 종로118, 종로120, 종로122, 종로124, 종로126, 종로128, 삼일대로394, 삼일대로395, 삼일대로396, 수표로20길,"
5,4,4,5,5,5,서울 종로구 종로17길 4,37.5704853,126.988897,종로2가,"인사동, 낙원동, 견지동, 인사동11길, 우정국로38-1, 우정국로38-11, 우정국로38-18, 우정국로38-20, 우정국로40, 우정국로40-1, 우정국로42, 우정국로42-2, 우정국로44, 우정국로46, 우정국로48, 우정국로50, 우정국로50-2, 우정국로50-4, 우정국로50-6, 우정국로52, 우정국로56, 우정국로58, 우정국로58-1, 인사동9길, 공평동, 인사동5길, 종로9길, 종로51, 우정국로26, 우정국로26-5, 우정국로24, 우정국로24-15, 우정국로24-19, 우정국로32, 우정국로28, 우정국로28-1, 우정국로30, 우정국로30-1, 우정국로30-2, 우정국로30-3, 우정국로30-5, 우정국로30-6, 우정국로30-8, 우정국로30-22, 우정국로30-26, 우정국로30-28, 우정국로30-30, 우정국로30-32, 우정국로30-40, 묘동, 돈화문로11가길, 돈화문로5가길, 돈의동, 익선동, 경운동, 와룡동, 돈화문로96, 돈화문로97, 돈화문로93, 돈화문로89, 돈화문로85, 돈화문로83-2, 돈화문로83-1, 돈화문로83, 돈화문로81-1, 돈화문로81, 돈화문로79, 돈화문로73, 돈화문로71, 돈화문로48, 돈화문로69, 돈화문로69-1, 돈화문로69-2, 돈화문로46, 돈화문로67, 돈화문로65, 삼일대로30길, 돈화문로11가길, 운니동, 종로61, 종로65, 종로69, 종로73, 종로75, 종로75-1, 종로77, 종로79. 종로79-1, 종로81, 종로83, 종로83-1, 종로85, 종로85-1, 종로87, 종로87-1, 종로89, 종로38-1, 종로17길, 종로2가, 종로3가, 종로104, 종로109, 종로111, 종로111-1, 종로111-2, 종로113, 종로113-1, 종로113-2, 종로115, 종로117, 종로117-1, 종로119, 종로121, 종로121-1, 종로121-2, 종로123, 종로123-1, 종로125, 종로127, 종로127-1, 종로127-2, 돈화문로23, 돈화문로25"
