전체,살인,강도,절도,폭력,성폭력,cctv,,,,
1,0.328854538,0.415573839,0.352986516,0.425978096,0.911863873,0.315891438,,,,
0.328854538,1,0.062241634,0.283844649,0.364570262,0.249467164,0.083063357,,,,
0.415573839,0.062241634,1,0.159181991,0.083949167,0.362564191,0.088406331,,,,
0.352986516,0.283844649,0.159181991,1,0.55966463,0.34423659,0.127982947,,,,
0.425978096,0.364570262,0.083949167,0.55966463,1,0.413289666,0.4454028,,,,
0.911863873,0.249467164,0.362564191,0.34423659,0.413289666,1,0.273218379,,,,
0.315891438,0.083063357,0.088406331,0.127982947,0.4454028,0.273218379,1,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
