"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 강북구청",서울특별시 강북구 한천로124길 13,서울특별시 강북구 번1동 460-46,어린이보호,1,200,,30,2005-01,02-901-7266,37.637287,127.0323894508,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 한천로124길 13,서울특별시 강북구 번1동 460-46,교통단속,1,200,,30,2014-01,02-901-7266,37.6372809470,127.0323894508,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로 102길 21 (번창교),서울특별시 강북구 번동 655-2 (번창교),생활방범,1,200,,30,2005-01,02-901-7266,37.6419986920,127.0316935431,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로98길 56,서울특별시 강북구 번1동 471-1,생활방범,1,200,,30,2005-01,02-901-7266,37.6408992140,127.0327082696,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 한천로131길 33,서울특별시 강북구 번1동 415-1,생활방범,1,200,,30,2005-01,02-901-7266,37.6379238293,127.0268924944,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로51가길 12,서울특별시 강북구 번1동 457-77,어린이보호,1,200,,30,2005-01,02-901-7266,37.637123,127.0346009665,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로51가길 38,서울특별시 강북구 번1동 457-60,어린이보호,1,200,,30,2005-01,02-901-7266,37.6379509903,127.0334275548,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로 187-14,서울특별시 강북구 번1동 457-60,어린이보호,1,200,,30,2005-01,02-901-7266,37.636356,127.0341247475,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로 187-14,서울특별시 강북구 번1동 454-58,교통단속,1,200,,30,2014-01,02-901-7266,37.6363650569,127.0341247475,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로61길 6,서울특별시 강북구 인수동 410-51,생활방범,1,200,,30,2005-01,02-901-7266,37.6385568389,127.013214,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로61길 12-16,서울특별시 강북구 인수동 410-70,생활방범,1,200,,30,2005-01,02-901-7266,37.639103,127.012550,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로55길 21,서울특별시 강북구 인수동 435-63,생활방범,1,200,,30,2005-01,02-901-7266,37.6366937699,127.011635,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로 185-17,서울특별시 강북구 인수동 440-45,생활방범,1,200,,30,2005-01,02-901-7266,37.636025,127.012604,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼각산로4나길 5-12,서울특별시 강북구 인수동 516-29,생활방범,1,200,,30,2005-01,02-901-7266,37.638073,127.0082662577,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로55길 47,서울특별시 강북구 인수동 518-42,생활방범,1,200,,30,2005-01,02-901-7266,37.6366542610,127.0102148047,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼양로41길 40,서울특별시 강북구 삼양동 791-2175,생활방범,1,200,,30,2006-01,02-901-7266,37.6219600613,127.017853,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼양로41길 40,서울특별시 강북구 삼양동 791-2175,생활방범,1,200,,30,2019-02,02-901-7266,37.6219600613,127.017853,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼양로41길 40,서울특별시 강북구 삼양동 791-2175,생활방범,1,200,,30,2019-02,02-901-7266,37.6219600613,127.017853,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 솔매로22길 43,서울특별시 강북구 삼양동 791-3068,생활방범,1,200,,30,2006-01,02-901-7266,37.624077,127.015411,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로59길 38,서울특별시 강북구 미아동 222-86,생활방범,1,200,,30,2006-01,02-901-7266,37.6279382272,127.022461,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 오현로6길 62,서울특별시 강북구 송중동 75-45,생활방범,1,200,,30,2006-01,02-901-7266,37.6137579130,127.0326374821,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 오패산로38길 5,서울특별시 강북구 송중동 85-2,생활방범,1,200,,30,2006-01,02-901-7266,37.615448,127.0340064493,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 솔샘로64나길 52,서울특별시 강북구 송천동 436-75,생활방범,1,200,,30,2006-01,02-901-7266,37.616325,127.0248459531,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로13가길 9-2,서울특별시 강북구 송천동 61-17,생활방범,1,200,,30,2006-01,02-901-7266,37.614677,127.0288775367,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로13가길 9-2,서울특별시 강북구 송천동 61-17,생활방범,1,200,,30,2019-02,02-901-7266,37.614677,127.0288775367,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 솔샘로59길 17,서울특별시 강북구 송천동 325-29,생활방범,1,200,,30,2006-01,02-901-7266,37.619003,127.0255627099,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 도봉로34길 42,서울특별시 강북구 송중동 133-14,어린이보호,1,200,,30,2006-01,02-901-7266,37.622353,127.030579,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로41길 99,서울특별시 강북구 번1동 416-128,생활방범,1,200,,30,2006-01,02-901-7266,37.638363,127.0275316646,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 오현로25다길 54,서울특별시 강북구 번2동 148-205,생활방범,1,200,,30,2006-01,02-901-7266,37.6266739027,127.034653,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 오현로34길 23,서울특별시 강북구 번3동 305-5,생활방범,1,200,,30,2006-01,02-901-7266,37.628124,127.039932,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 덕릉로40길 18,서울특별시 강북구 번2동 526-13,생활방범,1,200,,30,2006-01,02-901-7266,37.6343154400,127.030373,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 수유로8길 17,서울특별시 강북구 수유1동 49-47,어린이보호,1,200,,30,2006-01,02-901-7266,37.6329157013,127.020187,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼양로130길 13,서울특별시 강북구 수유2동 276-20,생활방범,1,200,,30,2006-01,02-901-7266,37.6468708044,127.015816,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 한천로144길 35,서울특별시 강북구 수유3동 171-28,생활방범,1,200,,30,2006-01,02-901-7266,37.6425333495,127.026588,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼양로98길 30,서울특별시 강북구 수유3동 25-1,생활방범,1,200,,30,2006-01,02-901-7266,37.638741,127.018845,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 삼양로139길 16,서울특별시 강북구 우이동 73-102,생활방범,1,200,,30,2006-01,02-901-7266,37.6494227638,127.0127412295,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로52가길 28,서울특별시 강북구 인수동 421-8,생활방범,1,200,,30,2006-01,02-901-7266,37.636604,127.0139263905,2019-04-26
"서울특별시 강북구청",서울특별시 강북구 인수봉로51길 14,서울특별시 강북구 인수동 441-71,생활방범,1,200,,30,2006-01,02-901-7266,37.635464,127.0124125585,2019-04-26
