"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,1,41,,30,2009-01,02-860-2295,37.5058180,126.8536140,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,2,200,,30,2009-01,02-860-2295,37.5041370,126.8527400,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 고척로45길 39,서울특별시 구로구 고척동 산9-14,생활방범,1,41,,30,2009-01,02-860-2295,37.5052720,126.8518030,2019-10-29
"서울특별시 구로구청",,서울특별시 구로구 개봉동 312-25,생활방범,2,41,,30,2009-01,02-860-2295,37.4829710,126.8516140,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구일로 68,서울특별시 구로구 구로동 685-221,생활방범,3,200,,30,2010-01,02-860-2295,37.4920440,126.8735120,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구일로 62,서울특별시 구로구 구로동 685-219,생활방범,4,200,,30,2010-01,02-860-2295,37.4913300,126.8747110,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로중앙로27가길 23,서울특별시 구로구 구로동 513-34,생활방범,3,200,,30,2010-01,02-860-2295,37.4976340,126.8861330,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로중앙로27나길 18,서울특별시 구로구 구로동 511-25,생활방범,3,200,,30,2010-01,02-860-2295,37.4966880,126.8852670,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로중앙로 48,서울특별시 구로구 구로동 90 - 1,생활방범,5,41,,30,2010-01,02-860-2295,37.4947220,126.8917650,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 가마산로27길 69,서울특별시 구로구 구로동 105,생활방범,3,200,,30,2010-01,02-860-2295,37.4996030,126.8899300,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로동로7나길 32,서울특별시 구로구 가리봉동 10-7,생활방범,3,200,,30,2010-01,02-860-2295,37.4851180,126.8831110,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로동로7나길 15,서울특별시 구로구 가리봉동 13-21,생활방범,3,200,,30,2010-01,02-860-2295,37.4859580,126.8834150,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 고척로 211,서울특별시 구로구 고척동 169-13,생활방범,3,130,,30,2010-01,02-860-2295,37.5055520,126.8568180,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 고척로27길 32,서울특별시 구로구 개봉동 119-13,생활방범,3,200,,30,2010-01,02-860-2295,37.5039110,126.8486610,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 개봉로16길 31,서울특별시 구로구 개봉동 262-32,생활방범,3,130,,30,2010-01,02-860-2295,37.4900410,126.8578900,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 개봉로2길 87-15,서울특별시 구로구 개봉동 276-21,생활방범,3,130,,30,2010-01,02-860-2295,37.4890550,126.8590180,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 고척로10길 45,서울특별시 구로구 오류동 13-46,생활방범,3,200,,30,2010-01,02-860-2295,37.4972800,126.8417640,2019-10-29
"서울특별시 구로구청",,서울특별시 구로구 오류동 16-4,생활방범,5,41,,30,2010-01,02-860-2295,37.4977950,126.8427720,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 고척로16길 75,서울특별시 구로구 오류동 30-5,생활방범,3,200,,30,2010-01,02-860-2295,37.4974680,126.8434930,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 경인로25길 56,서울특별시 구로구 오류동 27-56,생활방범,3,200,,30,2010-01,02-860-2295,37.4984950,126.8430260,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 서해안로24길 21-4,서울특별시 구로구 오류동 165-3,생활방범,4,200,,30,2010-01,02-860-2295,37.4896500,126.8392740,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 서해안로20길 24,서울특별시 구로구 오류동 187-24,생활방범,5,200,,30,2010-01,02-860-2295,37.4887580,126.8381400,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 서해안로24길 22,서울특별시 구로구 오류동 332-59,생활방범,3,130,,30,2010-01,02-860-2295,37.4905910,126.8391750,2019-10-29
"서울특별시 구로구청",,서울특별시 구로구 온수동 8-2,생활방범,3,200,,30,2010-01,02-860-2295,37.4931730,126.8255760,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 부일로9길 57,서울특별시 구로구 온수동 7-5,생활방범,3,200,,30,2010-01,02-860-2295,37.4953220,126.8254060,2019-10-29
"서울특별시 구로구청",,서울특별시 구로구 온수동 산1-2,생활방범,3,200,,30,2010-01,02-860-2295,37.4943470,126.8267610,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 고척로21다길 14,서울특별시 구로구 개봉동 7-33,생활방범,3,200,,30,2010-01,02-860-2295,37.5035240,126.8445370,2019-10-29
"서울특별시 구로구청",,서울특별시 구로구 개봉동 산 1-2,생활방범,3,41,,30,2010-01,02-860-2295,37.5046970,126.8439670,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 경인로2길 11,서울특별시 구로구 오류동 108-80,생활방범,3,200,,30,2010-01,02-860-2295,37.4898090,126.8268300,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 경인로2길 10,서울특별시 구로구 오류동 108-28,생활방범,3,200,,30,2010-01,02-860-2295,37.4898470,126.8256360,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 디지털로27길 64,서울특별시 구로구 구로동 252-60,생활방범,3,130,,30,2010-01,02-860-2295,37.4841310,126.8903670,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 디지털로27다길 9,서울특별시 구로구 구로동 797-14,생활방범,3,200,,30,2010-01,02-860-2295,37.4847510,126.8895500,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 우마3길 44,서울특별시 구로구 가리봉동 131-43,생활방범,3,200,,30,2010-01,02-860-2295,37.4805980,126.8899960,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉동 340-8,생활방범,3,200,,30,2010-01,02-860-2295,37.4900720,126.8528250,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 개봉로15길 58-2,서울특별시 구로구 개봉동 340-8,생활방범,3,200,,30,2010-01,02-860-2295,37.4898910,126.8529930,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 도림로6길 30,서울특별시 구로구 구로동 797-1,생활방범,3,200,,30,2010-01,02-860-2295,37.4850040,126.8882730,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 오리로21길 104,서울특별시 구로구 궁동 237-12,생활방범,3,200,,30,2010-01,02-860-2295,37.4961470,126.8253870,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 부일로9길 86,서울특별시 구로구 궁동 237-1,생활방범,3,200,,30,2010-01,02-860-2295,37.4965890,126.8247140,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로중앙로28길 12,서울특별시 구로구 구로동 530-24,생활방범,3,200,,30,2019-09,02-860-2295,37.4989150,126.8867760,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로중앙로28길 24,서울특별시 구로구 구로동 528-1,생활방범,3,200,,30,2019-09,02-860-2295,37.4992970,126.8874460,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로중앙로28길 54,서울특별시 구로구 구로동 109-1,생활방범,3,200,,30,2019-09,02-860-2295,37.4997660,126.8883580,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로중앙로28길 66,서울특별시 구로구 구로동 109-4,생활방범,3,200,,30,2019-09,02-860-2295,37.5001980,126.8891520,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로중앙로28길 24,서울특별시 구로구 구로동 528-1,교통단속,3,200,,30,2010-01,02-860-2295,37.4991420,126.8871420,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 구로중앙로28길 54,서울특별시 구로구 구로동 109-2,교통단속,3,200,,30,2010-01,02-860-2295,37.4999420,126.8885410,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,2010-01,02-860-2295,37.5071870,126.8924390,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,2010-01,02-860-2295,37.5071830,126.8924780,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,2010-01,02-860-2295,37.5074260,126.8924820,2019-10-29
"서울특별시 구로구청",서울특별시 구로구 새말로 117-6,서울특별시 구로구 구로동 3-55,시설물관리,1,41,,30,2010-01,02-860-2295,37.5072380,126.8926360,2019-10-29
