명칭,좌표주소,위도,경도,상세주소,상세내용
어린이보호 CCTV,대한민국 서울특별시 금천구 독산로102길,37.4759766,126.9068179,독산로102길 125 영남초교,관리번호: SN103
어린이보호 CCTV,대한민국 서울특별시 금천구 독산로78다길 53,37.470488,126.906568,독산로78다길 53,관리번호: SN104
어린이보호 CCTV,대한민국 서울특별시 금천구 벚꽃로18길 33,37.4682073,126.8907895,벚꽃로18길 33,관리번호: SN105
어린이보호 CCTV,대한민국 서울특별시 금천구 시흥대로104길 48,37.46444,126.9003315,시흥대로104길 48,관리번호: SN106
어린이보호 CCTV,대한민국 서울특별시 금천구 독산로64길 107,37.4666305,126.9080078,독산로64길 107,관리번호: SN107
어린이보호 CCTV,대한민국 서울특별시 금천구 독산로50길 60,37.462335,126.9074,독산로50길 60 흥일초교,관리번호: SN108
어린이보호 CCTV,대한민국 서울특별시 금천구 독산로36나길 7,37.4599209,126.9076702,독산로36나길 7,관리번호: SN109
어린이보호 CCTV,대한민국 서울특별시 금천구 금하로11길 40,37.4554309,126.9041571,금하로11길 40,관리번호: SN110
어린이보호 CCTV,대한민국 서울특별시 금천구 탑골로5길 52,37.4537223,126.9125289,탑골로5길 52,관리번호: SN111
어린이보호 CCTV,대한민국 서울특별시 금천구 탑골로 35,37.4520329,126.9132213,탑골로35,관리번호: SN112
어린이보호 CCTV,대한민국 서울특별시 금천구 한내로 69-16,37.4585946,126.8883555,한내로69-16,관리번호: SN113
어린이보호 CCTV,대한민국 서울특별시 금천구 독산로2길 19,37.4477781,126.904236,독산로2길 19 백산초교,관리번호: SN114
어린이보호 CCTV,대한민국 서울특별시 금천구 시흥대로47길 45,37.4493523,126.8984231,시흥대로47길 45 문일중고,관리번호: SN115
어린이보호 CCTV,대한민국 서울특별시 금천구 금하로 773,37.4503783,126.9157351,금하로773,관리번호: SN116
어린이보호 CCTV,대한민국 서울특별시 금천구 금하로30길 51,37.4482719,126.9164515,금하로30길 51,관리번호: SN117
주정차단속 CCTV,대한민국 서울특별시 금천구 가산로 77,37.911063,127.7814081,가산로77 기업은행,관리번호: N101
주정차단속 CCTV,대한민국 서울특별시 금천구 가산로 122,37.8384424,127.1670448,가산로122 성지병원,관리번호: N102
주정차단속 CCTV,대한민국 서울특별시 금천구 가산로 146,37.4783093,126.8910246,가산로146  놀부집항아리갈비,관리번호: N103
주정차단속 CCTV,대한민국 서울특별시 금천구 가산로 20,37.4713269,126.9007404,가산로20 고기굽는마을,관리번호: N104
주정차단속 CCTV,대한민국 서울특별시 금천구 범안로 1236,35.8284724,128.6552358,범안로1236 현대자동차독산점맞은편,관리번호: N105
주정차단속 CCTV,대한민국 서울특별시 금천구 문성로 48,37.4766066,126.9089571,문성로48,관리번호: N106
주정차단속 CCTV,대한민국 서울특별시 금천구 가산디지털2로 129,37.479371,126.8785471,가산디지털2로 129,관리번호: N107
주정차단속 CCTV,대한민국 서울특별시 금천구 독산로 139,37.4596667,126.9047464,독산로139 반도책서점,관리번호: N108
주정차단속 CCTV,대한민국 서울특별시 금천구 독산로 199,37.464637,126.9025193,독산로199 선정형외과,관리번호: N109
주정차단속 CCTV,대한민국 서울특별시 금천구 독산로 291,37.4727845,126.9030378,독산로291 천지랜드한증막,관리번호: N110
주정차단속 CCTV,대한민국 서울특별시 가산동 113 가산두산위브아파트,37.4755163,126.8917036,가산로113 두산아파트,관리번호: N111
주정차단속 CCTV,대한민국 서울특별시 금천구 범안로 1194,35.8284724,128.6552358,범안로1194 24시감자탕,관리번호: N112
방범 CCTV,대한민국 서울특별시 금천구 독산로31길 13,37.4564343,126.9043132,독산로31길 13,관리번호: T128
스쿨존 CCTV,대한민국 서울특별시 금천구 남부순환로 1304-11,37.4781195,126.8964487,남부순환로1304-11,관리번호: S101
스쿨존 CCTV,대한민국 서울특별시 금천구 범안로 11길,35.8284724,128.6552358,범안로11길 3 두산초교 독산역방향,관리번호: S102
스쿨존 CCTV,대한민국 서울특별시 금천구 한내로 69-16,37.4585946,126.8883555,한내로 69-16,관리번호: S103
스쿨존 CCTV,대한민국 서울특별시 금천구 시흥대로104길 31,37.4655142,126.9000569,시흥대로104길 31,관리번호: S104
스쿨존 CCTV,대한민국 서울특별시 금천구 독산로54길 115,37.4671961,126.9076876,독산로54길 115,관리번호: S105
스쿨존 CCTV,대한민국 서울특별시 금천구 독산로102길,37.4759766,126.9068179,독산로102길 108 영남초교,관리번호: S106
스쿨존 CCTV,대한민국 서울특별시 금천구 시흥대로146길 19,37.4740055,126.899851,시흥대로146길 19,관리번호: S107
