관리기관명,소재지도로명주소,소재지지번주소,설치목적구분, 카메라대수 ,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도 ,경도,데이터기준일자
서울특별시동작구청,서울특별시 동작구 장승배기로23길 10,,생활방범,3,,,,,02-820-2906,37.510141,126.939452,2020.3.24
서울특별시동작구청,서울특별시 동작구 노량진로8길 40 마당쇠숯불갈비,,생활방범,3,,,,,02-820-2906,37.512401,126.937588,2020.3.24
서울특별시동작구청,서울특별시 동작구 장승배기로18길 27,,생활방범,3,,,,,02-820-2906,37.507402,126.941599,2020.3.24
서울특별시동작구청,서울특별시 동작구 만양로14다길 7,,생활방범,1,,,,,02-820-2906,37.511299,126.94531,2020.3.24
서울특별시동작구청,서울특별시 동작구 장승배기로22길 44(노량진2동 226-15),,생활방범,1,,,,,02-820-2906,37.508595,126.941561,2020.3.24
서울특별시동작구청,서울특별시 동작구 장승배기로19다길 24(노량진2동 302-27),,생활방범,1,,,,,02-820-2906,37.509271,126.937572,2020.3.24
서울특별시동작구청,서울특별시 동작구 장승배기로24가길 39(노량진1동 232-52),,생활방범,1,,,,,02-820-2906,37.511253,126.942072,2020.3.24
서울특별시동작구청,서울특별시 동작구 노량진로26길 65(노량진1동 485-2),,생활방범,1,,,,,02-820-2906,37.5097,126.955522,2020.3.24
서울특별시동작구청,서울특별시 동작구 노량진로18길 20(노량진1동 408-1),,생활방범,3,,,,,02-820-2906,37.511993,126.95097,2020.3.24
서울특별시동작구청,서울특별시 동작구 상도로60길 35(상도1동 126-65) 동녘빌라,,생활방범,3,,,,,02-820-2906,37.492257,126.954596,2020.3.24
서울특별시동작구청,서울특별시 동작구 상도로67길 20(상도1동 504-13) 할인마트,,생활방범,4,,,,,02-820-2906,37.494556,126.956525,2020.3.24
서울특별시동작구청,서울특별시 동작구 상도로41가길 6(상도1동 465),,생활방범,4,,,,,02-820-2906,37.502511,126.950148,2020.3.24
서울특별시동작구청,서울특별시 동작구 상도로 41길 50(상도1동 440),,생활방범,4,,,,,02-820-2906,37.502509,126.95185,2020.3.24
서울특별시동작구청,서울특별시 동작구 상도로47다길 32(상도1동 319-1),,생활방범,4,,,,,02-820-2906,37.501578,126.953161,2020.3.24
서울특별시동작구청,서울특별시 동작구 상도로56길 6(상도1동 473-7),,생활방범,4,,,,,02-820-2906,37.496134,126.952592,2020.3.24
서울특별시동작구청,서울특별시 동작구 상도로15마길 22(상도2동 356-85) 서진파크빌라,,생활방범,4,,,,,02-820-2906,37.503376,126.933614,2020.3.24
서울특별시동작구청,서울특별시 동작구 상도로15아길 18(상도2동 361-52) 에비앙 엘리지,,생활방범,3,,,,,02-820-2906,37.504266,126.93464,2020.3.24
서울특별시동작구청,서울특별시 동작구 상도로26가길 8(상도2동 183-22) 오륙도해물탕,,생활방범,3,,,,,02-820-2906,37.503636,126.938269,2020.3.24
서울특별시동작구청,서울특별시 동작구 만양로1길 18(상도2동 22-43),,생활방범,3,,,,,02-820-2906,37.506361,126.946482,2020.3.24
