"관리기관명",소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
"서울특별시 성북구청",서울특별시 성북구 정릉로10길 92,서울특별시 성북구 정릉동 924-1,생활방범,3,200,360,30,2006-12,02-2241-4562,37.60599000,126.99887800,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 길음로 20,서울특별시 성북구 길음동 1283-4,생활방범,3,200,360,30,2007-12,02-2241-4562,37.60474220,127.02266900,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 삼양로 61-1,서울특별시 성북구 길음동 1222,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60861418,127.02304720,2020-03-31
"서울특별시 성북구청",,서울특별시 성북구 길음동 478-24,생활방범,3,130,360,30,2011-12,02-2241-4562,37.61151845,127.02941030,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 도봉로3길 24,서울특별시 성북구 길음동 489-5,생활방범,3,200,360,30,2010-12,02-2241-4562,37.61042330,127.02878741,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 삼선교로10바길 6-7,서울특별시 성북구 삼선동1가 274-96,생활방범,3,200,360,30,2016-12,02-2241-4562,37.58554993,127.00918787,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 고려대로12길 17-25,서울특별시 성북구 안암동2가 160-10,생활방범,3,200,360,30,2016-12,02-2241-4562,37.58552168,127.02352410,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 정릉로40길 26,서울특별시 성북구 정릉동 16-99,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60100300,127.01951100,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로24길 31,서울특별시 성북구 동선동1가 85-38,생활방범,3,130,360,30,2011-12,02-2241-4562,37.59216233,127.01875768,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 보문로30라길 14,서울특별시 성북구 동선동2가 84,생활방범,3,200,360,30,2010-12,02-2241-4562,37.58983760,127.01891375,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 보문로30다길 11,서울특별시 성북구 동선동2가 261,생활방범,3,200,360,30,2006-12,02-2241-4562,37.58963476,127.02164461,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로26가길 11,서울특별시 성북구 동선동3가 1,생활방범,3,130,360,30,2011-12,02-2241-4562,37.59411452,127.01929700,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로28길 36,서울특별시 성북구 동선동3가 23,생활방범,3,200,360,30,2006-12,02-2241-4562,37.59544760,127.02060010,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로26길 29,서울특별시 성북구 동선동3가 130-6,생활방범,3,200,360,30,2010-12,02-2241-4562,37.59391117,127.02084160,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로23길 11,서울특별시 성북구 동선동4가 85,생활방범,3,200,360,30,2010-12,02-2241-4562,37.59395432,127.01743600,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로29길 27,서울특별시 성북구 동선동4가 310-3,생활방범,3,200,360,30,2006-12,02-2241-4562,37.59666096,127.01931520,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로25길 51,서울특별시 성북구 동선동5가 48-2,생활방범,3,200,360,30,2010-12,02-2241-4562,37.59565204,127.01641330,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로3길 10,서울특별시 성북구 동소문동1가 45-1,생활방범,3,200,360,30,2007-12,02-2241-4562,37.58923593,127.00651040,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로6길 12,서울특별시 성북구 동소문동2가 61,생활방범,3,130,360,30,2011-12,02-2241-4562,37.58866572,127.00828900,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로 47,서울특별시 성북구 동소문동4가 75-2,생활방범,3,200,360,30,2007-12,02-2241-4562,37.59115415,127.01085580,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로15길 12,서울특별시 성북구 동소문동6가 71-3,생활방범,3,200,360,30,2006-12,02-2241-4562,37.59280981,127.01376530,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로 177,서울특별시 성북구 돈암동 51-49,생활방범,2,200,360,30,2009-12,02-2241-4562,37.59773729,127.02132830,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 동소문로34길 29,서울특별시 성북구 돈암동 13-102,생활방범,3,200,360,30,2010-12,02-2241-4562,37.59937466,127.02232520,2020-03-31
"서울특별시 성북구청",,서울특별시 성북구 돈암동 632-6,생활방범,3,200,360,30,2010-12,02-2241-4562,37.59710977,127.02265840,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 보문로25길 10,서울특별시 성북구 보문동2가 57-1,생활방범,3,200,360,30,2011-12,02-2241-4562,37.58627069,127.01816330,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 지봉로20길 6,서울특별시 성북구 보문동3가 215-3,생활방범,3,130,360,30,2011-12,02-2241-4562,37.58461386,127.01787438,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 지봉로24길 42,서울특별시 성북구 보문동5가 72,생활방범,3,200,360,30,2010-12,02-2241-4562,37.58319180,127.01999900,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 보문로15길 30,서울특별시 성북구 보문동6가 133,생활방범,3,130,360,30,2011-12,02-2241-4562,37.58051003,127.02019745,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 보문로15길 43,서울특별시 성북구 보문동6가 156-3,생활방범,3,200,360,30,2006-12,02-2241-4562,37.58018382,127.01925480,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 보문로9길 30,서울특별시 성북구 보문동6가 274,생활방범,3,130,360,30,2011-12,02-2241-4562,37.57885937,127.02143357,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 한천로58길 273,서울특별시 성북구 석관동 27-3,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60856848,127.07026550,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 화랑로32길 121,서울특별시 성북구 석관동 261-15,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60545929,127.05937650,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 돌곶이로8가길 15,서울특별시 성북구 석관동 320-7,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60765079,127.06148634,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 화랑로22다길 9,서울특별시 성북구 석관동 338-160,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60630314,127.05154590,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 화랑로24길 57,서울특별시 성북구 석관동 340-239,생활방범,3,130,360,30,2011-12,02-2241-4562,37.60616499,127.05323040,2020-03-31
"서울특별시 성북구청",,서울특별시 성북구 석관동 27-2,생활방범,3,200,360,30,2007-12,02-2241-4562,37.60737084,127.06767510,2020-03-31
"서울특별시 성북구청",,서울특별시 성북구 석관동 27-2,생활방범,3,200,360,30,2007-12,02-2241-4562,37.60748515,127.07035400,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 한천로71길 9-2,서울특별시 성북구 석관동 67-5,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60929244,127.06329740,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 한천로80길 45,서울특별시 성북구 석관동 130-15,생활방범,3,200,360,30,2006-12,02-2241-4562,37.61260158,127.06425800,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 한천로81길 25,서울특별시 성북구 석관동 192-1,생활방범,3,200,360,30,2010-12,02-2241-4562,37.61149098,127.06027124,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 돌곶이로14길 51,서울특별시 성북구 석관동 280-25,생활방범,1,200,360,30,2007-12,02-2241-4562,37.60890637,127.06259330,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 한천로71길 20-18,서울특별시 성북구 석관동 283-3,생활방범,1,200,360,30,2009-12,02-2241-4562,37.60972413,127.06199330,2020-03-31
"서울특별시 성북구청",,서울특별시 성북구 석관동 384-1,생활방범,3,200,360,30,2010-12,02-2241-4562,37.61323067,127.06263826,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 돌곶이로23가길 55,서울특별시 성북구 석관동 332-101,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60794330,127.05876580,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 돌곶이로3길 15-2,서울특별시 성북구 석관동 332-118,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60493363,127.06101250,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 돌곶이로9길 20,서울특별시 성북구 석관동 332-209,생활방범,3,200,360,30,2006-12,02-2241-4562,37.60652630,127.05988200,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 정릉로 237-22,서울특별시 성북구 정릉동 420-11,생활방범,2,200,360,30,2014-12,02-2241-4562,37.60597900,127.01058300,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 화랑로22길 21,서울특별시 성북구 석관동 338-519,생활방범,3,200,360,30,2010-12,02-2241-4562,37.60673226,127.05148402,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 성북로16길 14,서울특별시 성북구 성북동 58-23,생활방범,3,200,360,30,2010-12,02-2241-4562,37.59398396,127.00014745,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 창경궁로43길 41,서울특별시 성북구 성북동1가 110-12,생활방범,3,200,360,30,2009-12,02-2241-4562,37.58970863,127.00371480,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 성북로23길 22-2,서울특별시 성북구 성북동 111-6,생활방범,3,200,360,30,2010-12,02-2241-4562,37.59292276,126.99494160,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 성북로14길 12,서울특별시 성북구 성북동 158-1,생활방범,3,200,360,30,2007-12,02-2241-4562,37.59397637,127.00150280,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 성북로8다길 18,서울특별시 성북구 성북동 168-42,생활방범,3,200,360,30,2010-12,02-2241-4562,37.59205182,127.00463100,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 성북로 134,서울특별시 성북구 성북동 246,생활방범,3,130,360,30,2007-12,02-2241-4562,37.59492008,126.99450220,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 성북로 140-10,서울특별시 성북구 성북동 254-19,생활방범,3,130,360,30,2011-12,02-2241-4562,37.59542927,126.99335931,2020-03-31
"서울특별시 성북구청",서울특별시 성북구 성북로26길 73,서울특별시 성북구 성북동 300-5,생활방범,3,200,360,30,2011-12,02-2241-4562,37.59642733,126.99245010,2020-03-31
