"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"노1동1",1,서울특별시 동작구 장승배기로128,서울특별시 동작구 노량진동 231-4,37.5086380,126.9405650,2011,한전주,02-820-1408,서울특별시 동작구청,2019-05-22
"노1동579-1",1,서울특별시 동작구 만양로 102-8,서울특별시 동작구 노량진동 118-7,37.5122350,126.9442800,2012,,02-820-1408,서울특별시 동작구청,2019-05-22
"노1동444-1",1,서울특별시 동작구 노량진로26길 51-2,서울특별시 동작구 본동 51-19,37.5104170,126.9555900,2011,,02-820-1408,서울특별시 동작구청,2019-05-22
"노1동444-2",1,서울특별시 동작구 노량진로26길 51-8,서울특별시 동작구 본동 51-15,37.5106550,126.9555810,2011,,02-820-1408,서울특별시 동작구청,2019-05-22
"노1동268-2",1,서울특별시 동작구 노량진으로 194-4,서울특별시 동작구 노량진동 146-12,37.5128740,126.9472570,2011,,02-820-1408,서울특별시 동작구청,2019-05-22
"노1동2",1,서울특별시 동작구 장승배기로128,서울특별시 동작구 노량진동 231-4,37.5087240,126.9406750,2011,한전주,02-820-1408,서울특별시 동작구청,2019-05-22
"노1동3",1,서울특별시 동작구 장승배기로20길 15,서울특별시 동작구 노량진동 230-39,37.5088950,126.9409070,2011,한전주,02-820-1408,서울특별시 동작구청,2019-05-22
"노1동4",1,서울특별시 동작구 장승배기로22길 22,서울특별시 동작구 노량진동 231-104,37.5091650,126.9410450,2011,한전주,02-820-1408,서울특별시 동작구청,2019-05-22
"노1동5",1,서울특별시 동작구 장승배기로22길 22,서울특별시 동작구 노량진동 231-104,37.5092280,126.9408100,2011,한전주,02-820-1408,서울특별시 동작구청,2019-05-22
"노1동6",1,서울특별시 동작구 장승배기로22길 15,서울특별시 동작구 노량진동 232-155,37.5094420,126.9409150,2011,한전주,02-820-1408,서울특별시 동작구청,2019-05-22
