"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"공덕1동",1,서울특별시 마포구 만리재로124길18,서울특별시 마포구 공덕1동 11-56,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로95길 24-5,서울특별시 마포구 공덕1동 11-20,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로95길 24-4,서울특별시 마포구 공덕1동 11-16,,,2005,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로95길 24,서울특별시 마포구 공덕1동 11-13,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로95길 16,서울특별시 마포구 공덕1동 10-20,,,2017,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로12나길 26,서울특별시 마포구 공덕1동 11-5,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로124길 22,서울특별시 마포구 공덕1동 11-23,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로124길15-3,서울특별시 마포구 공덕1동 11-96,,,2013,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로12가길 14,서울특별시 마포구 공덕1동 11-29,,,2007,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로14길 36,서울특별시 마포구 공덕1동 9-75,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로12가길 21,서울특별시 마포구 공덕1동 9-73,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로95길24,서울특별시 마포구 공덕1동 11-13,,,2005,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로12가길 29,서울특별시 마포구 공덕1동 9-48,,,2007,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로12가길 29-3,서울특별시 마포구 공덕1동 9-47,,,2007,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로12가길 19,서울특별시 마포구 공덕1동 9-5,,,2005,건축물,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로97길 10,서울특별시 마포구 공덕1동 9-1,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로97길 12,서울특별시 마포구 공덕1동 10-10,,,2005,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로12나길32,서울특별시 마포구 공덕1동 10-7,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16안길 23-6,서울특별시 마포구 공덕1동 10-30,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로97길 17,서울특별시 마포구 공덕1동 7-173,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로95길 4,서울특별시 마포구 공덕1동 7-166,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로97길 20,서울특별시 마포구 공덕1동 10-23,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로97길9-3,서울특별시 마포구 공덕1동 7-148,,,2005,건축물,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-19,서울특별시 마포구 공덕1동 7-76,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-9,서울특별시 마포구 공덕1동 7-37,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-13,서울특별시 마포구 공덕1동 7-33,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로97길 4,서울특별시 마포구 공덕1동 7-32,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-8,서울특별시 마포구 공덕1동 7-94,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로 253-9,서울특별시 마포구 공덕1동 7-39,,,2005,건축물,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로 253-17,서울특별시 마포구 공덕1동 7-45,,,2014,건축물,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로 253-6,서울특별시 마포구 공덕1동 7-60,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로253-29,서울특별시 마포구 공덕1동 7-53,,,2007,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로 253-6,서울특별시 마포구 공덕1동 7-60,,,2014,건축물,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로 253-21,서울특별시 마포구 공덕1동 7-47,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16안길 7,서울특별시 마포구 공덕1동 7-50,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16안길 11-4,서울특별시 마포구 공덕1동 7-101,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로14길 48,서울특별시 마포구 공덕1동 9-23,,,2005,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16길 28,서울특별시 마포구 공덕1동 7-8,,,2005,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로20길 29,서울특별시 마포구 공덕1동 6-48,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16길 33,서울특별시 마포구 공덕1동 6-50,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로20길 27,서울특별시 마포구 공덕1동 6-47,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16길 22,서울특별시 마포구 공덕1동 4-40,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16안길10,서울특별시 마포구 공덕1동 7-116,,,2014,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로16안길11,서울특별시 마포구 공덕1동 7-58,,,2012,건축물,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로14길 41,서울특별시 마포구 공덕1동 7-112,,,2005,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 만리재로12나길 14-3,서울특별시 마포구 공덕1동 11-76,,,2007,전용주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로 252,서울특별시 마포구 공덕1동 7-259,,,2005,건축물,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로98길 5,서울특별시 마포구 공덕1동 7-184,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로95길 5-4,서울특별시 마포구 공덕1동 10-57,,,2007,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로95길 33,서울특별시 마포구 공덕1동 11-155,,,2014,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
"공덕1동",1,서울특별시 마포구 효창원로95길 33,서울특별시 마포구 공덕1동 11-155,,,2007,한전주,02-3153-9774,서울특별시 마포구청,2018-12-18
