"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"남산가든",1,,서울특별시 용산구 남영동 11-14,37.553409,126.974092,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 10-4,37.553153,126.974044,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 9-14,37.553026,126.974014,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"카센터",1,,서울특별시 용산구 남영동 15-3,37.552826,126.973979,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,남영동,37.552715,126.973988,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"서울성남교회",1,,서울특별시 용산구 남영동 17-8,37.552294,126.973881,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"서울성남교회",1,,서울특별시 용산구 남영동 17-9,37.552292,126.973693,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"서울성남교회",1,,서울특별시 용산구 남영동 17-23,37.552141,126.973667,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"서울성남교회",1,,서울특별시 용산구 남영동 17-12,37.552246,126.973588,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"서울성남교회",1,,서울특별시 용산구 남영동 17-24,37.552288,126.973392,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"맞은편",1,,서울특별시 용산구 남영동 18-40,37.552058,126.973980,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 24-19,37.550312,126.973109,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 24-22,37.553260,126.974201,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 11-20,37.553250,126.974586,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 11-24,37.553244,126.975018,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 이태원제1동 44-64,37.531644,126.991359,2009,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 원효로제1동 문배동30-7,37.534368,126.968905,2011,,02-2199-7880,서울특별시 용산구청,2020-04-10
"이태원랜드계단",1,,서울특별시 용산구 한남동 736-21,37.534509,126.997302,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 5-2,37.553248,126.975254,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 5-3,37.553140,126.975937,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 5-11,37.553033,126.975842,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 4-11,37.552922,126.975694,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 4-15,37.552790,126.975440,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 5-4,37.553092,126.975244,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 9-7,37.552894,126.974729,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 9-22,37.552720,126.974715,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 8-3,37.552627,126.974509,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 17-29,37.552640,126.974125,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"새꿈어린이집 입구",1,,서울특별시 용산구 남영동 24-11,37.552537,126.974095,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"앞",1,,서울특별시 용산구 남영동 35-144,37.552296,126.974079,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 35-143,37.552238,126.974283,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 35-44,37.552242,126.974400,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-70,37.552245,126.974519,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"건물옆",1,,서울특별시 용산구 남영동 15-2,37.552859,126.974217,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 9-13,37.552949,126.974092,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 10-5,37.553006,126.974138,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 10-6,37.553108,126.974128,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 9-9,37.552963,126.974491,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 10-10,37.553092,126.974548,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 2-3,37.552837,126.976069,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 4-11,37.552808,126.975872,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 3-20,37.552467,126.975286,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 6-3,37.552753,126.975058,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 7-2,37.552578,126.974916,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 7-14,37.552433,126.974511,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-67,37.552042,126.974658,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-65,37.551915,126.974739,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-87,37.551867,126.974846,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-63,37.551749,126.974861,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-105,37.551787,126.975108,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-59,37.551824,126.975285,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-25,37.552099,126.975099,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 7-29,37.552410,126.975091,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 3-17,37.552383,126.975651,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 3-15,37.552309,126.975547,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 2-9,37.552593,126.976122,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-80,37.551728,126.974832,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-84,37.551624,126.975047,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 35-41,37.551447,126.974811,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-15,37.551138,126.974822,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-8,37.550989,126.974890,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-42,37.550759,126.974851,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-2,37.550718,126.975199,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동19-43,37.550671,126.974903,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-55,37.550348,126.975587,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-110,37.550275,126.975655,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-110,37.550362,126.975341,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-39,37.550445,126.975152,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
"-",1,,서울특별시 용산구 남영동 19-118,37.550490,126.974882,2012,,02-2199-7880,서울특별시 용산구청,2020-04-10
