지방청,경찰서,관서명,동,구분,주소,위도,경도
서울청,서울강남,강남,대치동,경찰서,강남구 대치동 998,37.5091124,127.0671097
서울청,서울강동,강동,성내1동,경찰서,강동구 성내1동 540-1,37.5298137,127.1243794
서울청,서울강북,강북,번1동,경찰서,강북구 번1동 415-15,37.6371974,127.0273048
서울청,서울강서,강서,화곡6동,경찰서,강서구 화곡6동 980-27,37.5513622,126.8502799
서울청,서울관악,관악,봉천4동,경찰서,관악구 봉천4동 산177-3,37.4743945,126.9513489
서울청,서울광진,광진,구의동,경찰서,광진구 구의동 254-32,37.542791,127.0838158
서울청,서울구로,구로,구로2동,경찰서,구로구 구로2동 436,37.4947449,126.8865872
서울청,서울금천,금천,신림8동,경찰서,금천구 신림8동 544,37.4814328,126.910246
서울청,서울남대문,남대문,남대문로5가,경찰서,중구 남대문로5가 561,37.5549064,126.97362
서울청,서울노원,노원,하계동,경찰서,노원구 하계동 250,37.6421389,127.0710473
서울청,서울도봉,도봉,창4동,경찰서,도봉구 창4동 17,37.6537018,127.0528025
서울청,서울동대문,동대문,청량1리동,경찰서,동대문구 청량1리동 229,37.5881171,127.0523231
서울청,서울동작,동작,노량진1동,경찰서,동작구 노량진1동 72,37.5132103,126.9428157
서울청,서울마포,마포,아현동,경찰서,마포구 아현동 618-1,37.5507204,126.9542358
서울청,서울방배,방배,방배동,경찰서,서초구 방배동 455-10,37.4814747,126.9830646
서울청,서울서대문,서대문,미근동,경찰서,서대문구 미근동 165,37.5648204,126.9669958
서울청,서울서부,서부,녹번동,경찰서,은평구 녹번동 177-15,37.6020763,126.9212788
서울청,서울서초,서초,서초3동,경찰서,서초구 서초3동 1726,37.4955992,127.0052465
서울청,서울성동,성동,행당동,경찰서,성동구 행당동 192-8,37.5617303,127.0364217
서울청,서울성북,성북,삼선동5가,경찰서,성북구 삼선동5가 301,37.5897783,127.016589
서울청,서울송파,송파,가락본동,경찰서,송파구 가락본동 9,37.5016941,127.1272481
서울청,서울수서,수서,개포동,경찰서,강남구 개포동 14,37.4932277,127.0769693
서울청,서울양천,양천,신정6동,경찰서,양천구 신정6동 321,37.5167711,126.8656996
서울청,서울영등포,영등포,당산동3가,경찰서,영등포구 당산동3가 2-11,37.5260441,126.9008091
서울청,서울용산,용산,원효로1가,경찰서,용산구 원효로1가 12-12,37.541126,126.9675322
서울청,서울은평,은평,불광2동,경찰서,은평구 불광2동 산24,37.6280204,126.9287899
서울청,서울종로,종로,경운동,경찰서,종로구 경운동 90-18,37.5756061,126.9847938
서울청,서울종암,종암,종암1동,경찰서,성북구 종암1동 3-1260,37.6019994,127.0322276
서울청,서울중랑,중랑,묵2동,경찰서,중랑구 묵2동 249-2,37.6057932,127.0764737
서울청,서울중부,중부,저동2가,경찰서,중구 저동2가 62-1,37.5636171,126.9896517
서울청,서울혜화,혜화,인의동,경찰서,종로구 인의동 48-57,37.5719679,126.9989574
서울청,서울,서울,내자동,청,종로구 내자동 20-11,37.5763342,126.9711727
서울청,서울강동,강동,강동구,순찰대,서울시 강동구 천호동 488-1,37.5465362,127.1185629
서울청,서울광진,광진,광진구,순찰대,서울특별시 광진구 강변북로 68,37.530371,127.0657656
서울청,서울중부,광희,중구,치안센터,서울 중구 난계로 11길 52,37.5673626,127.0213969
서울청,서울중부,약수,중구,치안센터,서울 중구 동호로 14길 18,37.5563466,127.010824
서울청,서울중부,을지,중구,치안센터,서울 중구 을지로 281,37.5667521,127.0101046
서울청,서울중부,을지로3,중구,치안센터,서울 중구 충무로2길 39,37.562361,126.995344
서울청,서울종로,평창,종로구,치안센터,서울 종로구 비봉길 13,37.6095346,126.9564006
서울청,서울서대문,충정로,서대문구,치안센터,서울 서대문구 신촌로 271번지,37.557623,126.9564505
서울청,서울서대문,충정로,서대문구,치안센터,서울 서대문구 북아현로 59-1번지,37.5624204,126.9553615
서울청,서울서대문,신촌,서대문구,치안센터,서울 서대문구 신촌로 105번지,37.555555,126.9376464
서울청,서울혜화,종로5가,종로구,치안센터,서울 종로구 돈화문로 28,37.5711838,126.9922584
서울청,서울용산,원효,용산구,치안센터,서울 용산구 청파로 274-2,37.5440531,126.97089
서울청,서울용산,용중,용산구,치안센터,서울 용산구 한강대로 102길11-5,37.5500719,126.9728466
서울청,서울용산,용중,용산구,치안센터,서울 용산구 신흥로 90,37.5460443,126.9855627
서울청,서울용산,한남,용산구,치안센터,서울 용산구 이태원로 281,37.5397244,127.001525
서울청,서울성북,돈암,성북구,치안센터,서울 성북구 성북로 4길 52,37.5947663,127.0104379
서울청,서울성북,안암,성북구,치안센터,서울 성북구 보문로 13길 27,37.5796365,127.020531
서울청,서울성북,안암,성북구,치안센터,서울 성북구 보문로29길 92,37.5861688,127.013473
서울청,서울성북,길음,성북구,치안센터,서울 성북구 정릉로 31길 30 ,37.603843,127.0153574
서울청,서울성북,길음,성북구,치안센터,서울 성북구 동소문로 258,37.603842,127.0249997
서울청,서울성북,정릉,성북구,치안센터,서울 성북구 정릉로 10길 44,37.6078962,126.999227
서울청,서울성북,정릉,성북구,치안센터,서울 성북구 보국문로 87,37.6118335,127.0081606
서울청,서울성북,성북,성북로,치안센터,서울 성북로 23,37.5900106,127.0041102
서울청,서울동대문,답십리,동대문,치안센터,서울 동대문 고미술로 93,37.5646195,127.0567897
서울청,서울동대문,답십리,동대문,치안센터,서울 동대문 한천로11길 30,37.5671776,127.0606277
서울청,서울동대문,용신,동대문구,치안센터,서울 동대문구 왕산로 5,37.5761529,127.0242016
서울청,서울동대문,용신,동대문구,치안센터,서울 동대문구 왕산로 95,37.5783066,127.0339823
서울청,서울동대문,전농2,동대문구,치안센터,서울 동대문구 시립대로 14길 31,37.5791694,127.0523788
서울청,서울동대문,장안1,동대문구,치안센터,서울 동대문구 한천로 10길 4,37.565426,127.0614273
서울청,서울동대문,장안1,동대문구,치안센터,서울 동대문구 장안로18길 78,37.5678137,127.0732809
서울청,서울동대문,이문,동대문구,치안센터,서울 동대문구 이문로 119,37.5973082,127.0606182
서울청,서울동대문,이문,동대문구,치안센터,서울 동대문구 이문로 196,37.6039616,127.0622197
서울청,서울동대문,휘경,동대문구,치안센터,서울 동대문구 망우로 20길 4,37.5898027,127.0626725
서울청,서울마포,공덕,마포구,치안센터,서울 마포구 환일길 3,37.5573999,126.9602701
서울청,서울마포,공덕,마포구,치안센터,서울 마포구 만리재로 14,37.5439421,126.9528401
