연번,지방청,경찰서,관서명,구분,치안센터명,주소
1,서울청,서울중부,광희,지구대,황학치안센터,서울 중구 난계로 11길 52
2,서울청,서울중부,약수,지구대,다산치안센터,서울 중구 동호로 14길 18
3,서울청,서울중부,을지,지구대,DDP치안센터,서울 중구 을지로 281
4,서울청,서울중부,을지로3,파출소,충4치안센터,서울 중구 충무로2길 39
5,서울청,서울종로,평창,파출소,구기치안센터,서울 종로구 비봉길 13
6,서울청,서울서대문,충정로,지구대,북아현1치안센터,서울 서대문구 신촌로 271번지
7,서울청,서울서대문,충정로,지구대,북아현치안센터,서울 서대문구 북아현로 59-1번지
8,서울청,서울서대문,신촌,지구대,신촌치안센터,서울 서대문구 신촌로 105번지
9,서울청,서울혜화,종로5가,파출소,종로3가치안센터,서울 종로구 돈화문로 28
10,서울청,서울용산,원효,지구대,청파치안센터,서울 용산구 청파로 274-2
11,서울청,서울용산,용중,지구대,남영치안센터,서울 용산구 한강대로 102길11-5
12,서울청,서울용산,용중,지구대,용산치안센터,서울 용산구 신흥로 90
13,서울청,서울용산,한남,파출소,한남2치안센터,서울 용산구 이태원로 281
14,서울청,서울성북,돈암,지구대,돈암치안센터,서울 성북구 성북로 4길 52
15,서울청,서울성북,안암,지구대,보문치안센터,서울 성북구 보문로 13길 27
16,서울청,서울성북,안암,지구대,삼선치안센터,서울 성북구 보문로29길 92
17,서울청,서울성북,길음,지구대,길음1치안센터,서울 성북구 정릉로 31길 30 
18,서울청,서울성북,길음,지구대,정릉1치안센터,서울 성북구 동소문로 258
19,서울청,서울성북,정릉,파출소,정릉3치안센터,서울 성북구 정릉로 10길 44
20,서울청,서울성북,정릉,파출소,정릉4치안센터,서울 성북구 보국문로 87
21,서울청,서울성북,성북,파출소,성북1치안센터,서울 성북로 23
22,서울청,서울동대문,답십리,지구대,답십리1치안센터,서울 동대문 고미술로 93
23,서울청,서울동대문,답십리,지구대,답십리2치안센터,서울 동대문 한천로11길 30
24,서울청,서울동대문,용신,지구대,신설치안센터,서울 동대문구 왕산로 5
25,서울청,서울동대문,용신,지구대,용두치안센터,서울 동대문구 왕산로 95
26,서울청,서울동대문,전농2,파출소,전농4치안센터,서울 동대문구 시립대로 14길 31
27,서울청,서울동대문,장안1,파출소,남장안치안센터,서울 동대문구 한천로 10길 4
28,서울청,서울동대문,장안1,파출소,장안3치안센터,서울 동대문구 장안로18길 78
29,서울청,서울동대문,이문,파출소,이문1치안센터,서울 동대문구 이문로 119
30,서울청,서울동대문,이문,파출소,이문2치안센터,서울 동대문구 이문로 196
31,서울청,서울동대문,휘경,파출소,휘경2치안센터,서울 동대문구 망우로 20길 4
32,서울청,서울마포,공덕,지구대,아현치안센터,서울 마포구 환일길 3
33,서울청,서울마포,공덕,지구대,공덕치안센터,서울 마포구 만리재로 14
34,서울청,서울마포,용강,지구대,도화치안센터,서울 마포구 도화길 40
35,서울청,서울마포,용강,지구대,염리치안센터,서울 마포구 숭문길 35
36,서울청,서울마포,용강,지구대,대흥치안센터,서울 마포구 대흥로 85
37,서울청,서울마포,홍익,지구대,서교치안센터,서울 마포구 잔다리로 6길 29
38,서울청,서울마포,홍익,지구대,동교치안센터,서울 마포구 신촌로 2안길 27
39,서울청,서울마포,홍익,지구대,합정치안센터,서울 마포구 양화진길 32
40,서울청,서울마포,망원,파출소,망원2치안센터,서울 마포구 월드컵로 31길 18
41,서울청,서울영등포,중앙,지구대,영2치안센터,서울 영등포구 버드나루로 1-1
42,서울청,서울영등포,문래,지구대,도림치안센터,서울 영등포구 도신로 29길 13
43,서울청,서울영등포,신풍,지구대,신길3치안센터,서울 영등포구 신길로 179-2
44,서울청,서울영등포,신풍,지구대,신길5치안센터,서울 영등포구 신길로 23길 12
45,서울청,서울영등포,당산,파출소,양평2치안센터,서울 영등포구 선유로 53길 23
46,서울청,서울성동,한양,지구대,동마치안센터,서울 성동구 마장로42길 11
47,서울청,서울성동,한양,지구대,마장치안센터,서울 성동구 고산자로 332
48,서울청,서울성동,성수,지구대,경마치안센터,서울 성동구 왕십리로5길 5
49,서울청,서울성동,서울숲,지구대,성수1치안센터,서울 성동구 뚝섬로 364-1
50,서울청,서울성동,행당,파출소,하왕치안센터,서울 성동구 왕십리로 341
51,서울청,서울성동,옥수,파출소,금남치안센터,서울 성동구 독서당로 286-1
52,서울청,서울동작,흑석,지구대,노들치안센터,서울 동작구 현충로56
53,서울청,서울동작,흑석,지구대,흑석2치안센터,서울 동작구 현충로140-1
54,서울청,서울동작,상도,지구대,상도2치안센터,서울 동작구 장승배기로 73
55,서울청,서울동작,상도,지구대,상도4치안센터,서울 동작구 성대로29길 61
56,서울청,서울동작,상도,지구대,상도1치안센터,서울 동작구 상도로 62길 1
57,서울청,서울동작,남성,지구대,사당3치안센터,서울 동작구 동작대로43길6
58,서울청,서울동작,사당,지구대,사당4치안센터,서울 동작구 사당로 16아길 6
59,서울청,서울동작,사당,지구대,사당5치안센터,서울 동작구 사당로 138
60,서울청,서울동작,신대방,지구대,신대방2치안센터,서울 동작구 여의대방로 24길 106
61,서울청,서울동작,대방,파출소,상도3치안센터,서울 동작구 상도로 87
62,서울청,서울광진,자양,파출소,자양2치안센터,서울 광진구 자양로3가길 28
63,서울청,서울광진,광나루,지구대,구의3치안센터,서울 광진구 광나루로56길 4
64,서울청,서울서부,신사,지구대,신사1치안센터,서울 은평구 은평로 28
65,서울청,서울서부,신사,지구대,증산치안센터,서울 은평구 증산서길 82
66,서울청,서울서부,신사,지구대,수색치안센터,서울 은평구 수색로 261
67,서울청,서울서부,응암3,파출소,응암4치안센터,서울 은평구 가좌로7라길 1
68,서울청,서울강북,미아,지구대,동화치안센터,서울 강북구 솔매로49길 14
69,서울청,서울강북,미아,지구대,미아3치안센터,서울 강북구 삼양로54길 51
70,서울청,서울강북,솔샘,지구대,숭인치안센터,서울 강북구 도봉로39길
71,서울청,서울강북,수유2,파출소,우이치안센터,서울 강북구 삼양로672
72,서울청,서울강북,인수,파출소,수유6치안센터,서울 강북구 삼양로 457
73,서울청,서울금천,문성,지구대,독산3치안센터,서울 금천구 문성로 38
74,서울청,서울금천,문성,지구대,독산본치안센터,서울 금천구 시흥대로 148길 21-5
75,서울청,서울금천,백산,지구대,시흥4치안센터,서울 금천구 독산로50길 105
76,서울청,서울금천,백산,지구대,시흥5치안센터,서울 금천구 금하로24다길 7
77,서울청,서울금천,금천,파출소,시흥본치안센터,서울 금천구 금하로 11길 40
78,서울청,서울금천,금천,파출소,시흥3치안센터,서울 금천구 시흥대로37길 18
79,서울청,서울금천,독산,파출소,신독산치안센터,서울 금천구 한내로 69-17
80,서울청,서울중랑,망우,지구대,망우치안센터,서울 중랑구 망우로 540
81,서울청,서울중랑,망우,지구대,망우1치안센터,서울 중랑구 용마산로118길 103
82,서울청,서울중랑,망우,지구대,망우3치안센터,서울 중랑구 용마공원로5길 13
83,서울청,서울중랑,용마,지구대,면목4치안센터,서울 중랑구 답십리로 75길 61
84,서울청,서울중랑,용마,지구대,면목7치안센터,서울 중랑구 면목로 275
85,서울청,서울중랑,상봉,파출소,면목2치안센터,서울 중랑구 봉우재로6길 5
86,서울청,서울중랑,상봉,파출소,상봉2치안센터,서울 중랑구 봉우재로 93-5
87,서울청,서울중랑,면목본동,파출소,면목1치안센터,서울 중랑구 면목로66길 7
88,서울청,서울중랑,면목삼팔,파출소,면목8치안센터,서울 중랑구 용마산로 370
