,행정구역(시군구)별,crime_rate,id
23,중구,3205.40863,11140
22,종로구,2410.740535,11110
12,마포구,1745.241644,11440
19,영등포구,1587.914448,11560
20,용산구,1489.526155,11170
7,금천구,1407.764292,11545
0,강남구,1385.232058,11680
6,구로구,1189.131193,11530
5,광진구,1101.083083,11215
14,서초구,1089.063051,11650
2,강북구,1076.875838,11305
24,중랑구,1063.468325,11260
10,동대문구,1057.313275,11230
4,관악구,1001.280986,11620
1,강동구,916.5686327,11740
13,서대문구,902.9592702,11410
17,송파구,871.0913768,11710
15,성동구,797.1552879,11200
11,동작구,782.4271901,11590
3,강서구,775.4431283,11500
18,양천구,757.2411862,11470
8,노원구,736.9168297,11350
16,성북구,697.9177182,11290
9,도봉구,662.6145728,11320
21,은평구,458.6121189,11380
25,서울특별시,,
