,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,파리,    ,서울특별시 동대문구 전농동  496번지 1호  ,전농제1동,다방,127.047457,37.576935
1,휴게음식점,양지,서울특별시 동대문구 이문로 144 (이문동),서울특별시 동대문구 이문동  258번지 17호  ,이문제1동,다방,127.059895,37.599804
2,휴게음식점,동화다방,서울특별시 동대문구 왕산로 4 (신설동),서울특별시 동대문구 신설동  101번지 7호  ,용신동,다방,127.025698,37.573433
3,휴게음식점,새마을,    ,서울특별시 동대문구 전농동  655번지 30호  ,전농제1동,다방,127.050179,37.574813
4,휴게음식점,동아,    ,서울특별시 동대문구 용두동  119번지 15호  ,용신동,다방,127.031123,37.576748
5,휴게음식점,화성,서울특별시 동대문구 답십리로 4 (용두동(답십리길 4)),서울특별시 동대문구 용두동  9번지 7호  (답십리길 4),용신동,다방,127.043279,37.577902
6,휴게음식점,신호다방,    ,서울특별시 동대문구 신설동  93번지 16호  ,용신동,다방,127.027472,37.572844
7,휴게음식점,제일,    ,서울특별시 동대문구 청량리동  761번지 0호  (왕산로 323),청량리동,다방,127.04384,37.580051
8,휴게음식점,백궁,    ,서울특별시 동대문구 용두동  9번지 2호  (답십리길 10),용신동,다방,127.043279,37.577902
9,휴게음식점,대동다방,서울특별시 동대문구 고산자로 391 (용두동),서울특별시 동대문구 용두동  38번지 1호  ,용신동,다방,127.03768,37.573955
10,휴게음식점,초원,    ,서울특별시 동대문구 용두동  712번지 68호  (왕산로 244),용신동,다방,127.035718,37.577786
11,휴게음식점,백조,    ,서울특별시 동대문구 전농동  602번지 4호   602-5,전농제1동,다방,127.051373,37.585049
12,휴게음식점,커피한잔,    ,서울특별시 동대문구 청량리동  205번지 5호  ,청량리동,다방,127.042981,37.589676
13,휴게음식점,태양커피숍,    ,서울특별시 동대문구 용두동  207번지 6호  (한빛길 81),용신동,다방,127.028898,37.579001
14,휴게음식점,동성다방,서울특별시 동대문구 고산자로 484 (제기동(고산자로 240)),서울특별시 동대문구 제기동  844번지 0호  (고산자로 240),제기동,다방,127.038846,37.582758
15,휴게음식점,장수,서울특별시 동대문구 답십리로 237 (장안동(답십리길 239)),서울특별시 동대문구 장안동  141번지 10호  (답십리길 239),장안제1동,다방,127.067804,37.57307
16,휴게음식점,여심다방,    ,서울특별시 동대문구 신설동  76번지 57호  ,용신동,다방,127.025326,37.576791
17,휴게음식점,태평양,    ,서울특별시 동대문구 답십리동  751번지  ,답십리제1동,다방,127.065046,37.571832
18,휴게음식점,학,    ,서울특별시 동대문구 답십리동  660번지  ,답십리제1동,다방,127.052232,37.571775
19,휴게음식점,제일,    ,서울특별시 동대문구 이문동  358번지 3호  ,이문제2동,다방,127.064512,37.602778
20,휴게음식점,맘모스,    ,서울특별시 동대문구 답십리동  450번지  ,답십리제1동,다방,127.051085,37.573874
21,휴게음식점,경,    ,서울특별시 동대문구 답십리동  505번지  ,답십리제1동,다방,127.050238,37.571939
22,휴게음식점,안동,    ,서울특별시 동대문구 휘경동  112번지 49호  ,휘경제1동,다방,127.066518,37.592685
23,휴게음식점,영,    ,서울특별시 동대문구 답십리동  251번지  ,답십리제1동,다방,127.056537,37.571512
24,휴게음식점,솔,서울특별시 동대문구 약령중앙로2길 2 (제기동),서울특별시 동대문구 제기동  1134번지  ,제기동,다방,127.037099,37.578653
25,휴게음식점,까치커피숍,    ,서울특별시 동대문구 답십리동  490번지 16호  ,답십리제1동,다방,127.055131,37.567212
26,휴게음식점,이솝,    ,서울특별시 동대문구 답십리동  465번지 55호  (천호대로 55),답십리제1동,다방,127.0467,37.571514
27,휴게음식점,장미다방,    ,서울특별시 동대문구 답십리동  530번지 4호  ,답십리제1동,다방,127.05092,37.570809
28,휴게음식점,왕,    ,서울특별시 동대문구 제기동  1017번지 0호  ,제기동,다방,127.03918,37.578806
29,휴게음식점,금성,    ,서울특별시 동대문구 답십리동  410번지  ,답십리제1동,다방,127.052118,37.571891
30,휴게음식점,풍안,    ,서울특별시 동대문구 답십리동  125번지  ,답십리제1동,다방,127.053712,37.572039
31,휴게음식점,레인보우,    ,서울특별시 동대문구 전농동  620번지 69호  ,전농제1동,다방,127.049213,37.581302
32,휴게음식점,제일,    ,서울특별시 동대문구 답십리동  488번지 326호  (지하1층),답십리제2동,다방,127.056813,37.567577
33,휴게음식점,돌,    ,서울특별시 동대문구 제기동  135번지 116호  ,제기동,다방,127.035641,37.587255
34,휴게음식점,돼지,    ,서울특별시 동대문구 장안동  313번지 1호  ,장안제2동,다방,127.072678,37.577172
35,휴게음식점,동일,    ,서울특별시 동대문구 신설동  103번지 2호  ,용신동,다방,127.025044,37.575004
36,휴게음식점,고려,    ,서울특별시 동대문구 신설동  94번지 34호  ,용신동,다방,127.027605,37.574836
37,휴게음식점,영다방,서울특별시 동대문구 황물로15나길 21 (답십리동(지상1층)),서울특별시 동대문구 답십리동  957번지 35호  (지상1층),답십리제2동,다방,127.058639,37.565528
38,휴게음식점,한일,    ,서울특별시 동대문구 용두동  216번지 1호  ,용신동,다방,127.027813,37.578812
39,휴게음식점,감로수,    ,서울특별시 동대문구 답십리동  753번지  ,답십리제1동,다방,127.06521,37.571374
40,휴게음식점,청산,    ,서울특별시 동대문구 청량리동  235번지 4호  ,청량리동,다방,127.046022,37.584691
41,휴게음식점,삼원,    ,서울특별시 동대문구 답십리동  456번지  ,답십리제1동,다방,127.051085,37.573874
42,휴게음식점,초원,    ,서울특별시 동대문구 답십리동  482번지  ,답십리제1동,다방,127.05119,37.570928
43,휴게음식점,영빈,    ,서울특별시 동대문구 답십리동  833번지  ,답십리제1동,다방,127.064175,37.570906
44,휴게음식점,귀빈,    ,서울특별시 동대문구 답십리동  833번지  ,답십리제1동,다방,127.064175,37.570906
45,휴게음식점,정,    ,서울특별시 동대문구 답십리동  743번지  ,답십리제1동,다방,127.06518,37.571995
46,휴게음식점,세일,    ,서울특별시 동대문구 답십리동  966번지  ,답십리제1동,다방,127.058931,37.566647
47,휴게음식점,은,    ,서울특별시 동대문구 답십리동  450번지  ,답십리제1동,다방,127.051085,37.573874
48,휴게음식점,현,    ,서울특별시 동대문구 답십리동  750번지  ,답십리제1동,다방,127.065046,37.571832
49,휴게음식점,한일,    ,서울특별시 동대문구 답십리동  338번지  ,답십리제1동,다방,127.052118,37.571891
50,휴게음식점,커피타운,    ,서울특별시 동대문구 답십리동  53번지 7호  ,답십리제2동,다방,127.057482,37.571988
51,휴게음식점,미도,    ,서울특별시 동대문구 답십리동  402번지  ,답십리제1동,다방,127.052118,37.571891
52,휴게음식점,명,    ,서울특별시 동대문구 답십리동  602번지  ,답십리제1동,다방,127.044635,37.574561
53,휴게음식점,동원,    ,서울특별시 동대문구 답십리동  2번지 2호  ,답십리제2동,다방,127.064919,37.573831
54,휴게음식점,감초,    ,서울특별시 동대문구 제기동  1140번지 5호  ,제기동,다방,127.037056,37.578482
55,휴게음식점,동은,    ,서울특별시 동대문구 신설동  98번지 30호  ,용신동,다방,127.026446,37.57516
56,휴게음식점,결혼회관,    ,서울특별시 동대문구 제기동  1046번지 4호  ,제기동,다방,127.038759,37.578973
57,휴게음식점,약전,    ,서울특별시 동대문구 제기동  1121번지  ,제기동,다방,127.037202,37.579429
58,휴게음식점,풍산,    ,서울특별시 동대문구 신설동  127번지 16호  ,용신동,다방,127.023689,37.574741
59,휴게음식점,범진,    ,서울특별시 동대문구 제기동  937번지 0호  (약령3길 21),제기동,다방,127.038225,37.580915
60,휴게음식점,동서울다방,서울특별시 동대문구 망우로 129 (휘경동(망우로 239)),서울특별시 동대문구 휘경동  112번지 43호  (망우로 239),휘경제1동,다방,127.066518,37.592685
61,휴게음식점,무지개,    ,서울특별시 동대문구 장안동  216번지 32호  (동산길 91),장안제1동,다방,127.063473,37.566386
