,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,로타리다방,    ,서울특별시 동작구 상도동  701번지 3호  ,상도제1동,다방,126.941931,37.505017
1,휴게음식점,지성다방,    ,서울특별시 동작구 상도동  187번지 1호  ,상도제3동,다방,126.936335,37.503246
2,휴게음식점,커피하우스,    ,서울특별시 동작구 본동  399번지 3호  ,노량진제1동,다방,126.951504,37.512788
3,휴게음식점,아씨,    ,서울특별시 동작구 노량진동  240번지 27호  ,노량진제2동,다방,126.940413,37.511599
4,휴게음식점,별,    ,서울특별시 동작구 노량진동  307번지 159호  ,노량진제2동,다방,126.938899,37.508306
5,휴게음식점,풍성,    ,서울특별시 동작구 상도동  105번지 1호  ,상도제1동,과자점,126.961323,37.4948
6,휴게음식점,은좌,    ,서울특별시 동작구 노량진동  62번지 11호  ,노량진제1동,다방,126.940599,37.513646
7,휴게음식점,로얄제과점,    ,서울특별시 동작구 노량진동  28번지 6호  ,노량진제1동,과자점,126.93623,37.513048
8,휴게음식점,한냉다방,    ,서울특별시 동작구 노량진동  13번지 29호  ,노량진제1동,다방,126.944462,37.51487
9,휴게음식점,랑랑,    ,서울특별시 동작구 대방동  405번지 1호  ,대방동,다방,126.925488,37.499354
10,휴게음식점,중계소,    ,서울특별시 동작구 노량진동  28번지 8호  ,노량진제2동,다방,126.93623,37.513048
11,휴게음식점,한일다방,    ,서울특별시 동작구 흑석동  6번지 5호  ,흑석동,다방,126.963679,37.508426
12,휴게음식점,대성다방,    ,서울특별시 동작구 사당동  134번지 7호  ,사당제2동,다방,126.98181,37.48759
13,휴게음식점,장승커피숍,    ,서울특별시 동작구 상도동  372번지 1호  ,상도제2동,다방,126.939462,37.505238
14,휴게음식점,샘,    ,서울특별시 동작구 사당동  1040번지 2호  ,사당제1동,다방,126.979252,37.477827
15,휴게음식점,영,    ,서울특별시 동작구 상도동  119번지 20호  ,상도제1동,과자점,126.960136,37.493943
16,휴게음식점,삼화 커피숍,    ,서울특별시 동작구 사당동  154번지 17호  ,사당제3동,다방,126.978221,37.484612
17,휴게음식점,한일커피숍,    ,서울특별시 동작구 신대방동  362번지 18호 39 외 1필,신대방제1동,다방,126.924772,37.498014
18,휴게음식점,샤론제과,    ,서울특별시 동작구 신대방동  344번지 96호  ,신대방제2동,과자점,126.927664,37.496662
19,휴게음식점,길벗다방,    ,서울특별시 동작구 상도동  170번지 10호  ,상도제2동,다방,126.942935,37.504431
20,휴게음식점,첼로원두커피전문점,    ,서울특별시 동작구 상도동  373번지 11호  ,상도제2동,다방,126.9409,37.505134
21,휴게음식점,학,    ,서울특별시 동작구 노량진동  40번지 5호  ,노량진제1동,다방,126.938229,37.512471
22,휴게음식점,청,    ,서울특별시 동작구 상도동  382번지 0호  ,상도제1동,다방,126.935677,37.493842
23,휴게음식점,약속,    ,서울특별시 동작구 상도동  337번지 15호  ,상도제1동,다방,126.930568,37.500788
24,휴게음식점,독일과자,    ,서울특별시 동작구 사당동  318번지 5호  ,사당제4동,과자점,126.973639,37.482311
25,휴게음식점,베로커피숍,    ,서울특별시 동작구 상도동  324번지 7호  ,상도제3동,다방,126.930571,37.498977
26,휴게음식점,피자팩토리 중앙대점,서울특별시 동작구 흑석로 109-2 (흑석동),서울특별시 동작구 흑석동  181번지 13호  ,흑석동,다방,126.961787,37.508635
27,휴게음식점,문화당베이커리,    ,서울특별시 동작구 상도동  329번지 4호  ,상도제3동,과자점,126.930301,37.499713
28,휴게음식점,가나안제과,    ,서울특별시 동작구 사당동  150번지 10호  ,사당제3동,과자점,126.979646,37.484571
29,휴게음식점,다전다방,    ,서울특별시 동작구 노량진동  40번지 14호  ,노량진제2동,다방,126.938229,37.512471
30,휴게음식점,순다방,    ,서울특별시 동작구 대방동  407번지 42호  ,대방동,다방,126.92864,37.499626
31,휴게음식점,정다방,    ,서울특별시 동작구 대방동  386번지 27호  ,대방동,다방,126.923094,37.504648
32,휴게음식점,아망떼,    ,서울특별시 동작구 상도동  329번지 4호  ,상도제3동,다방,126.930301,37.499713
33,휴게음식점,브르나이 제과,    ,서울특별시 동작구 대방동  342번지 5호  ,대방동,과자점,126.925683,37.511772
34,휴게음식점,서독제과,    ,서울특별시 동작구 신대방동  351번지 5호  ,신대방제2동,과자점,126.927755,37.49823
35,휴게음식점,빠네뜨리베이커리,    ,서울특별시 동작구 사당동  산 213번지 25호  ,사당제5동,과자점,126.971854,37.47807
36,휴게음식점,크라운제과,    ,서울특별시 동작구 상도동  32번지 16호  ,상도제1동,과자점,126.945156,37.50492
37,휴게음식점,솔다방,    ,서울특별시 동작구 노량진동  27번지 11호  ,노량진제2동,다방,126.936553,37.513384
38,휴게음식점,참피온,    ,서울특별시 동작구 흑석동  9번지 27호  ,흑석동,다방,126.965709,37.508057
39,휴게음식점,상록커피숍,서울특별시 동작구 장승배기로 71 (상도동),서울특별시 동작구 상도동  180번지 2호  ,상도제2동,다방,126.939959,37.504495
40,휴게음식점,제일다방,    ,서울특별시 동작구 본동  211번지 3호  ,노량진제1동,다방,126.951768,37.512493
41,휴게음식점,은하수,    ,서울특별시 동작구 본동  126번지 44호  ,노량진제1동,다방,126.955579,37.51095
42,휴게음식점,복,    ,서울특별시 동작구 노량진동  307번지 160호  ,노량진제2동,다방,126.938899,37.508306
43,휴게음식점,소라다방,    ,서울특별시 동작구 노량진동  14번지 15호  ,노량진제2동,다방,126.939105,37.514498
44,휴게음식점,영남,    ,서울특별시 동작구 대방동  1번지 1호  ,대방동,과자점,126.934331,37.505787
45,휴게음식점,화신,    ,서울특별시 동작구 사당동  339번지 3호  ,사당제1동,다방,126.979373,37.483901
46,휴게음식점,또아,    ,서울특별시 동작구 본동  398번지 2호  ,노량진제1동,다방,126.951504,37.512788
47,휴게음식점,델리커리,    ,서울특별시 동작구 상도동  180번지 2호  ,상도제2동,과자점,126.939959,37.504495
48,휴게음식점,정아제과,    ,서울특별시 동작구 노량진동  59번지 29호  ,노량진제1동,과자점,126.941975,37.513136
49,휴게음식점,신라방제과점,    ,서울특별시 동작구 상도1동  759번지 0호  ,상도제1동,과자점,126.948268,37.50319
50,휴게음식점,김스제과,    ,서울특별시 동작구 노량진동  235번지 20호  ,노량진제1동,과자점,126.939576,37.509988
51,휴게음식점,크리스탈명과,    ,서울특별시 동작구 상도동  188번지 31호  ,상도제2동,과자점,126.936121,37.503226
52,휴게음식점,약속다방,    ,서울특별시 동작구 신대방동  607번지 28호  ,신대방제1동,다방,126.908421,37.489322
53,휴게음식점,애정,    ,서울특별시 동작구 상도동  260번지 2호  ,상도제4동,다방,126.934157,37.498135
54,휴게음식점,도시공간,    ,서울특별시 동작구 상도동  187번지 3호  ,상도제4동,다방,126.936335,37.503246
55,휴게음식점,백악관다방,    ,서울특별시 동작구 상도동  346번지 8호  ,상도제4동,다방,126.932885,37.500133
56,휴게음식점,돌,    ,서울특별시 동작구 사당동  708번지 337호  ,사당제1동,다방,126.981626,37.478695
57,휴게음식점,현다방,    ,서울특별시 동작구 노량진동  233번지 5호  ,노량진제2동,다방,126.94039,37.510013
58,휴게음식점,대림,    ,서울특별시 동작구 상도동  36번지 1호  ,상도제2동,다방,126.946207,37.504154
59,휴게음식점,한강,    ,서울특별시 동작구 본동  221번지 1호  ,노량진제1동,다방,126.951822,37.512728
60,휴게음식점,삼성,    ,서울특별시 동작구 사당동  89번지 69호  ,사당제2동,다방,126.981499,37.488867
61,휴게음식점,대방,    ,서울특별시 동작구 대방동  407번지 29호  ,대방동,다방,126.92864,37.499626
62,휴게음식점,한강다방,    ,서울특별시 동작구 본동   ,노량진제1동,다방,126.953658,37.512456
63,휴게음식점,용궁,    ,서울특별시 동작구 대방동  43번지 2호  ,대방동,다방,126.933892,37.512018
64,휴게음식점,우성다방,    ,서울특별시 동작구 동작동  91번지 129호  ,사당제2동,다방,126.982565,37.498598
65,휴게음식점,선화당,    ,서울특별시 동작구 상도동  산 119번지 14호  ,상도제1동,과자점,126.935361,37.492974
66,휴게음식점,독일제과,    ,서울특별시 동작구 흑석동  35번지 2호  ,흑석동,과자점,126.967954,37.504355
67,휴게음식점,소라,    ,서울특별시 동작구 상도동  256번지 36호  ,상도제3동,다방,126.934004,37.498566
68,휴게음식점,서호,    ,서울특별시 동작구 사당동  137번지 11호  ,사당제2동,다방,126.981793,37.487166
69,휴게음식점,경하,    ,서울특별시 동작구 상도동  25번지 27호  ,상도제2동,다방,126.943496,37.505535
70,휴게음식점,로마,    ,서울특별시 동작구 본동  379번지 22호  ,노량진제1동,다방,126.950219,37.51247
71,휴게음식점,전원,    ,서울특별시 동작구 상도동  1번지 1호  ,상도제1동,다방,126.948663,37.502419
72,휴게음식점,자유시간커피숍,    ,서울특별시 동작구 노량진동  148번지 88호  ,노량진제1동,다방,126.94661,37.51333
73,휴게음식점,아리랑,    ,서울특별시 동작구 상도동  195번지 20호  ,상도제4동,다방,126.93652,37.503004
74,휴게음식점,여심,    ,서울특별시 동작구 사당동  1001번지 17호  ,사당제1동,다방,126.972676,37.480771
75,휴게음식점,삼익다방,    ,서울특별시 동작구 신대방동  351번지 5호  ,신대방제2동,다방,126.927755,37.49823
76,휴게음식점,이수다방,    ,서울특별시 동작구 사당동  145번지 2호  ,사당제2동,다방,126.981098,37.48589
77,휴게음식점,곰다방,    ,서울특별시 동작구 사당동  266번지 2호  ,사당제4동,다방,126.973455,37.483337
78,휴게음식점,대왕다방,    ,서울특별시 동작구 상도동  391번지 0호  ,상도제1동,다방,126.935816,37.493618
79,휴게음식점,뉴욕제과상도지점,    ,서울특별시 동작구 상도동  255번지 3호  ,상도제4동,과자점,126.933691,37.499086
