,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,해태다방,    ,서울특별시 은평구 응암동  738번지 0호  해태드림마트,응암제1동,다방,126.916933,37.59902
1,휴게음식점,케익다운제과점,    ,서울특별시 은평구 대조동  224번지 24호  ,대조동,과자점,126.917782,37.612354
2,휴게음식점,낙원다방,    ,서울특별시 은평구 응암동  87번지 10호  (지하1층),응암제1동,다방,126.923965,37.6014
3,휴게음식점,은하수,    ,서울특별시 은평구 대조동  185번지 5호  (지하1층),대조동,다방,126.922005,37.610141
4,휴게음식점,삼화다방,    ,서울특별시 은평구 응암동  97번지 1호  (지상2층),응암제1동,다방,126.926241,37.600673
5,휴게음식점,진궁,    ,서울특별시 은평구 수색동  368번지 1호  (지하1층),수색동,다방,126.895066,37.582924
6,휴게음식점,청자다방,서울특별시 은평구 은평로10길 2 (응암동 지하1층),서울특별시 은평구 응암동  103번지 2호  (지하1층),응암제1동,다방,126.923851,37.599102
7,휴게음식점,볼레로커피,    ,서울특별시 은평구 갈현동  398번지 9호  ,갈현제1동,다방,126.920673,37.619184
8,휴게음식점,사군자,    ,서울특별시 은평구 대조동  3번지 4호  5(지하1층),대조동,다방,126.92682,37.613167
9,휴게음식점,대호다방,    ,서울특별시 은평구 녹번동  117번지 15호  (지상2층),녹번동,다방,126.931891,37.60787
10,휴게음식점,칠칠다방,    ,서울특별시 은평구 진관동  251번지 8호  ,진관동,다방,126.955703,37.653666
11,휴게음식점,호수다방,    ,서울특별시 은평구 수색동  366번지 5호  ,수색동,다방,126.894512,37.583657
12,휴게음식점,파리무슈 베이커리,    ,서울특별시 은평구 갈현동  449번지 1호  ,갈현제2동,과자점,126.914896,37.619996
13,휴게음식점,동일다방,    ,서울특별시 은평구 진관동  95번지 20호  ,진관동,다방,126.917085,37.633828
14,휴게음식점,산호,    ,서울특별시 은평구 진관동  284번지 1호  (지하1층),진관동,다방,126.944662,37.657018
15,휴게음식점,진다방,서울특별시 은평구 응암로 185 지하1층 (응암동),서울특별시 은평구 응암동  599번지 19호  ,응암제3동,다방,126.916226,37.588454
16,휴게음식점,청다방,    ,서울특별시 은평구 증산동  189번지 3호  ,증산동,다방,126.908227,37.584947
17,휴게음식점,오두막커피솝,    ,서울특별시 은평구 구산동  202번지 1호  ,구산동,다방,126.911212,37.613177
18,휴게음식점,만남다방,서울특별시 은평구 응암로 204 지하1층 (응암동),서울특별시 은평구 응암동  576번지 48호  ,응암제3동,다방,126.919932,37.595237
19,휴게음식점,용,    ,서울특별시 은평구 응암동  427번지 56호  (지하1층),응암제2동,다방,126.920368,37.594078
20,휴게음식점,주재근베이커리,    ,서울특별시 은평구 갈현동  469번지 6호  ,갈현제2동,과자점,126.915479,37.612622
21,휴게음식점,불란서제과,    ,서울특별시 은평구 응암동  590번지 9호  ,응암제3동,과자점,126.915902,37.59046
22,휴게음식점,티파니,    ,서울특별시 은평구 응암동  293번지 5호  (지하1층),응암제3동,다방,126.919592,37.58826
23,휴게음식점,빵굽는동네,    ,서울특별시 은평구 역촌동  45번지 59호  ,역촌동,과자점,126.915754,37.603848
24,휴게음식점,세종당과자점,    ,서울특별시 은평구 갈현동  470번지 2호  ,갈현제2동,과자점,126.914839,37.61303
25,휴게음식점,돌샘다방,    ,서울특별시 은평구 증산동  48번지 2호  49-2(지하1층),증산동,다방,126.910454,37.588302
26,휴게음식점,제일다방,    ,서울특별시 은평구 진관동  22번지 0호  ,진관동,다방,126.920012,37.641397
27,휴게음식점,중앙다방,    ,서울특별시 은평구 진관동  518번지 14호  (지상2층),진관동,다방,126.941707,37.643296
28,휴게음식점,프린스다방,    ,서울특별시 은평구 대조동  188번지 28호  ,대조동,다방,126.923502,37.616299
29,휴게음식점,럭키다방,    ,서울특별시 은평구 대조동  224번지 24호  ,대조동,과자점,126.917782,37.612354
30,휴게음식점,샘다방,    ,서울특별시 은평구 대조동  14번지 132호  (지하1층),대조동,다방,126.928849,37.610734
31,휴게음식점,제일,    ,서울특별시 은평구 대조동  198번지 4호  (지하1층),대조동,다방,126.920689,37.617319
32,휴게음식점,약속다방,    ,서울특별시 은평구 대조동  4번지 2호  ,대조동,다방,126.927461,37.611938
33,휴게음식점,후레쉬베이커리,    ,서울특별시 은평구 갈현동  424번지 16호  ,갈현제1동,과자점,126.917454,37.624056
34,휴게음식점,빵타운 베이커리,    ,서울특별시 은평구 불광동  423번지 9호  ,불광제2동,과자점,126.926699,37.621626
35,휴게음식점,하이밀베이커리,    ,서울특별시 은평구 역촌동  2번지 55호  ,역촌동,과자점,126.91811,37.610024
36,휴게음식점,무궁화제과,    ,서울특별시 은평구 역촌동  50번지 55호  ,역촌동,과자점,126.911687,37.607009
37,휴게음식점,세종 커피숍,    ,서울특별시 은평구 불광동  309번지 4호  ,불광제2동,다방,126.922855,37.619492
38,휴게음식점,역촌다방,    ,서울특별시 은평구 역촌동  62번지 0호  ,역촌동,다방,126.914461,37.604746
39,휴게음식점,아미,    ,서울특별시 은평구 신사동  23번지 1호  ,신사제1동,다방,126.914496,37.598421
40,휴게음식점,꽃다방,    ,서울특별시 은평구 응암동  104번지 42호  (지하1층),응암제1동,다방,126.921776,37.598515
41,휴게음식점,하정,    ,서울특별시 은평구 녹번동  8번지 13호  ,녹번동,다방,126.934041,37.607231
42,휴게음식점,밀보리하우스,    ,서울특별시 은평구 갈현동  496번지 1호  ,갈현제2동,과자점,126.913857,37.615859
43,휴게음식점,곰,서울특별시 은평구 은평로 242 지하1층 (응암동),서울특별시 은평구 응암동  1번지 12호  ,응암제1동,다방,126.934358,37.600882
44,휴게음식점,미도다방,서울특별시 은평구 진흥로 199 지하1층 (불광동),서울특별시 은평구 불광동  285번지 30호  ,불광제1동,다방,126.931087,37.611025
45,휴게음식점,희,    ,서울특별시 은평구 갈현동  508번지 11호  (지하1층),갈현제2동,다방,126.911602,37.614397
46,휴게음식점,카오스,    ,서울특별시 은평구 불광동  281번지 175호  (지하1층),불광제1동,다방,126.931694,37.612157
47,휴게음식점,우정커피숍,    ,서울특별시 은평구 응암동  107번지 2호  3(지하1층),응암제2동,다방,126.92051,37.596765
48,휴게음식점,베이커리피노키오,    ,서울특별시 은평구 수색동  366번지 8호  ,수색동,과자점,126.894512,37.583657
49,휴게음식점,파리제과,    ,서울특별시 은평구 응암동  243번지 362호  ,응암제3동,과자점,126.924191,37.590482
50,휴게음식점,신라커피숍,    ,서울특별시 은평구 녹번동  193번지 0호  ,녹번동,다방,126.928927,37.602112
51,휴게음식점,신세계,    ,서울특별시 은평구 응암동  98번지 48호  ,응암제1동,다방,126.9261,37.600249
52,휴게음식점,초원다방,    ,서울특별시 은평구 역촌동  341번지 0호  ,역촌동,다방,126.904124,37.605308
53,휴게음식점,오두막,    ,서울특별시 은평구 응암동  599번지 22호  ,응암제3동,다방,126.916226,37.588454
54,휴게음식점,서호다방,    ,서울특별시 은평구 진관동  95번지 11호  (지상2층),진관동,다방,126.917085,37.633828
55,휴게음식점,호,    ,서울특별시 은평구 응암동  84번지 14호  ,응암제1동,과자점,126.927873,37.601382
56,휴게음식점,연지다방,서울특별시 은평구 가좌로 280 지하1층 (신사동),서울특별시 은평구 신사동  36번지 3호  지하1층,신사제1동,다방,126.913959,37.594101
57,휴게음식점,본전다방,    ,서울특별시 은평구 신사동  2번지 17호  ,신사제1동,다방,126.914189,37.600067
58,휴게음식점,별다방,서울특별시 은평구 서오릉로 203 지하1층 (구산동),서울특별시 은평구 구산동  202번지 2호  지하1층,구산동,다방,126.911212,37.613177
59,휴게음식점,귀빈다방,    ,서울특별시 은평구 증산동  222번지 8호  ,증산동,다방,126.901931,37.578798
60,휴게음식점,양지다방,    ,서울특별시 은평구 녹번동  13번지 1호  234,녹번동,다방,126.93332,37.606928
61,휴게음식점,무지개다방,    ,서울특별시 은평구 응암동  590번지 4호  (지하1층),응암제3동,다방,126.915902,37.59046
62,휴게음식점,태양,    ,서울특별시 은평구 녹번동  117번지 96호  (지상2층),녹번동,다방,126.931891,37.60787
63,휴게음식점,북한산성,    ,서울특별시 은평구 진관동  114번지  ,진관동,다방,126.913514,37.633255
64,휴게음식점,연다방,    ,서울특별시 은평구 불광동  310번지 179호  (지하1층),불광제1동,다방,126.923054,37.619845
65,휴게음식점,수정커피숍,    ,서울특별시 은평구 응암동  78번지 2호  (지하1층),응암제1동,다방,126.929709,37.601272
66,휴게음식점,뉴욕제과,    ,서울특별시 은평구 증산동  186번지 1호  ,증산동,과자점,126.906454,37.583075
67,휴게음식점,뉴월드베이커리,    ,서울특별시 은평구 응암동  271번지 12호  ,응암제3동,과자점,126.920703,37.584197
68,휴게음식점,산호다방,    ,서울특별시 은평구 응암동  98번지 1호  (지하1층),응암제1동,다방,126.9261,37.600249
69,휴게음식점,수다방,    ,서울특별시 은평구 응암동  84번지 7호  (지하1층),응암제1동,다방,126.927873,37.601382
70,휴게음식점,뽀뽀뽀다방,    ,서울특별시 은평구 불광동  281번지 27호  ,불광제1동,다방,126.931694,37.612157
71,휴게음식점,용궁다방,    ,서울특별시 은평구 진관동  410번지 5호  ,진관동,다방,126.941707,37.643296
72,휴게음식점,송하,    ,서울특별시 은평구 대조동  1번지 6호  ,대조동,다방,126.927122,37.612674
73,휴게음식점,우정,    ,서울특별시 은평구 대조동  3번지 36호  43(지하1층),대조동,다방,126.92682,37.613167
74,휴게음식점,민다방,    ,서울특별시 은평구 녹번동  80번지 40호  146-10(지하1층),녹번동,다방,126.927809,37.60349
75,휴게음식점,소문난즉석우동,    ,서울특별시 은평구 역촌동  15번지 1호  ,역촌동,일반조리판매,126.921113,37.607591
76,휴게음식점,앙뜨샤베르,    ,서울특별시 은평구 대조동  15번지 120호  ,대조동,과자점,126.930244,37.609801
77,휴게음식점,다원커피숍,서울특별시 은평구 가좌로 318 지하1층 (신사동),서울특별시 은평구 신사동  30번지 10호  지하1층,신사제1동,다방,126.910527,37.597241
78,휴게음식점,궁전다방,    ,서울특별시 은평구 갈현동  410번지 4호  (지하1층),갈현제1동,다방,126.918383,37.623253
79,휴게음식점,온천다방,    ,서울특별시 은평구 수색동  378번지 1호  ,수색동,다방,126.892299,37.583267
80,휴게음식점,유전다방,    ,서울특별시 은평구 불광동  281번지 98호  ,불광제1동,다방,126.931694,37.612157
81,휴게음식점,성지다방,    ,서울특별시 은평구 응암동  93번지 3호  ,응암제1동,다방,126.927321,37.601179
82,휴게음식점,풍년다방,    ,서울특별시 은평구 응암동  88번지 23호  ,응암제1동,다방,126.923018,37.601158
83,휴게음식점,진다방,    ,서울특별시 은평구 응암동  241번지 44호  (지하1층),응암제2동,다방,126.922543,37.59326
84,휴게음식점,돌체커피숍,    ,서울특별시 은평구 응암동  124번지 4호  ,응암제3동,다방,126.916983,37.594831
85,휴게음식점,약속다방,    ,서울특별시 은평구 갈현동  449번지 1호  ,갈현제2동,다방,126.914896,37.619996
86,휴게음식점,서부다방,    ,서울특별시 은평구 대조동  2번지 9호  (지하1층),대조동,다방,126.927304,37.612577
87,휴게음식점,파리스베이커리,    ,서울특별시 은평구 응암동  1번지 3호  ,응암제1동,과자점,126.934358,37.600882
88,휴게음식점,독일제과,    ,서울특별시 은평구 응암동  240번지 9호  ,응암제3동,과자점,126.921737,37.593379
89,휴게음식점,정다방,    ,서울특별시 은평구 응암동  2번지 37호  ,응암제1동,다방,126.934473,37.599955
90,휴게음식점,봉희다방,    ,서울특별시 은평구 신사동  35번지 20호  22,신사제1동,다방,126.913981,37.59493
91,휴게음식점,천일다방,    ,서울특별시 은평구 불광동  426번지 2호  18호(지하1층),불광제2동,다방,126.92706,37.621729
92,휴게음식점,신천다방,    ,서울특별시 은평구 진관동  533번지 23호  ,진관동,다방,126.941707,37.643296
93,휴게음식점,무궁화다방,    ,서울특별시 은평구 역촌동  62번지 3호  (지하1층),역촌동,다방,126.914461,37.604746
94,휴게음식점,종점,    ,서울특별시 은평구 수색동  102번지 20호  ,수색동,다방,126.896484,37.581955
95,휴게음식점,양지다방,    ,서울특별시 은평구 응암동  297번지 22호  (지하1층),응암제3동,다방,126.919592,37.58826
96,휴게음식점,별다방,서울특별시 은평구 은평로 65 지하1층 (역촌동),서울특별시 은평구 역촌동  85번지 48호  지하1층,역촌동,다방,126.914771,37.600559
97,휴게음식점,증산칼국수,    ,서울특별시 은평구 증산동  159번지 21호  ,증산동,일반조리판매,126.911908,37.588712
98,휴게음식점,밀뜨락베이커리,    ,서울특별시 은평구 응암동  293번지 6호  ,응암제3동,과자점,126.919592,37.58826
99,휴게음식점,삼거리다방,    ,서울특별시 은평구 증산동  218번지 24호  (지하1층),증산동,다방,126.900839,37.579923
100,휴게음식점,크로방베이커리,    ,서울특별시 은평구 녹번동  117번지 111호  ,녹번동,과자점,126.931891,37.60787
101,휴게음식점,크라운역촌1분점,    ,서울특별시 은평구 역촌동  62번지 3호  ,역촌동,과자점,126.914461,37.604746
102,휴게음식점,샹도르과자점,    ,서울특별시 은평구 응암동  103번지 2호  ,응암제1동,과자점,126.923851,37.599102
103,휴게음식점,케익타운,    ,서울특별시 은평구 대조동  12번지 10호  ,대조동,과자점,126.928591,37.610516
104,휴게음식점,독일제과,    ,서울특별시 은평구 증산동  161번지 1호  ,증산동,과자점,126.912163,37.587516
105,휴게음식점,오두막커피숍,    ,서울특별시 은평구 응암동  1번지 18호  ,응암제1동,다방,126.934358,37.600882
106,휴게음식점,샛별다방,    ,서울특별시 은평구 불광동  281번지 59호  ,불광제1동,다방,126.931694,37.612157
107,휴게음식점,로잔다방,    ,서울특별시 은평구 역촌동  19번지 28호  ,역촌동,다방,126.920688,37.606425
108,휴게음식점,대화다방,    ,서울특별시 은평구 수색동  76번지 4호  ,수색동,다방,126.897788,37.580336
