,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,대호다방,    ,서울특별시 강북구 미아동  70번지 26호  ,,다방,127.030295,37.615288
1,휴게음식점,양지,    ,서울특별시 강북구 미아동  465번지 6호  ,송천동,다방,127.028629,37.614508
2,휴게음식점,새다방,    ,서울특별시 강북구 수유동  174번지 1호  ,,다방,127.028459,37.641457
3,휴게음식점,연꽃다방,    ,서울특별시 강북구 미아동  67번지 1호  ,송중동,다방,127.030123,37.616287
4,휴게음식점,부산뉴욕제과,    ,서울특별시 강북구 미아동  628번지 11호  ,송천동,과자점,127.022333,37.61178
5,휴게음식점,우리다방,    ,서울특별시 강북구 번동  464번지 15호  ,번1동,다방,127.028571,37.639809
6,휴게음식점,우리다방,    ,서울특별시 강북구 번동  464번지 15호  ,번제1동,다방,127.028571,37.639809
7,휴게음식점,화원,    ,서울특별시 강북구 수유동  92번지 7호  ,수유1동,다방,127.023178,37.632898
8,휴게음식점,화원,    ,서울특별시 강북구 수유동  92번지 7호  ,수유제1동,다방,127.023178,37.632898
9,휴게음식점,초원,    ,서울특별시 강북구 우이동  68번지 5호  ,우이동,다방,127.012865,37.655338
10,휴게음식점,진다방,    ,서울특별시 강북구 미아동  734번지 168호  ,송천동,다방,127.021999,37.621716
11,휴게음식점,삼성,    ,서울특별시 강북구 미아동  산 838번지 96호  ,삼양동,다방,127.026494,37.61841
12,휴게음식점,소원,    ,서울특별시 강북구 미아동  209번지 1호  ,미아동,다방,127.025291,37.627239
13,휴게음식점,킹,    ,서울특별시 강북구 미아동  160번지 39호  ,미아동,다방,127.024201,37.634385
14,휴게음식점,설매다방,    ,서울특별시 강북구 수유동  463번지 40호  ,수유1동,다방,127.013137,37.633139
15,휴게음식점,설매다방,    ,서울특별시 강북구 수유동  463번지 40호  ,수유제1동,다방,127.013137,37.633139
16,휴게음식점,문화당제과,    ,서울특별시 강북구 미아동  71번지 5호  ,,과자점,127.030509,37.614479
17,휴게음식점,마니커피숍,서울특별시 강북구 도봉로 242 (미아동),서울특별시 강북구 미아동  190번지 1호  ,미아동,커피숍,127.024721,37.630965
18,휴게음식점,수유다방,    ,서울특별시 강북구 수유동  63번지 0호  ,,다방,127.023421,37.63163
19,휴게음식점,일심다방,    ,서울특별시 강북구 수유동  168번지 5호  ,수유3동,다방,127.02899,37.643353
20,휴게음식점,일심다방,    ,서울특별시 강북구 수유동  168번지 5호  ,수유제3동,다방,127.02899,37.643353
21,휴게음식점,사계절다방,    ,서울특별시 강북구 수유동  169번지 2호  ,,다방,127.029565,37.642673
22,휴게음식점,파크다방,    ,서울특별시 강북구 수유동  220번지 29호  ,수유3동,다방,127.02103,37.642026
23,휴게음식점,파크다방,    ,서울특별시 강북구 수유동  220번지 29호  ,수유제3동,다방,127.02103,37.642026
24,휴게음식점,삼양,    ,서울특별시 강북구 미아동  684번지 6호  ,송천동,다방,127.021061,37.618906
25,휴게음식점,우이다방,    ,서울특별시 강북구 수유동  279번지 131호  ,우이동,다방,127.014517,37.647837
26,휴게음식점,제일,    ,서울특별시 강북구 미아동  223번지 24호  ,,다방,127.022726,37.628444
27,휴게음식점,꽃,    ,서울특별시 강북구 미아동  60번지 4호  ,,다방,127.029409,37.61283
28,휴게음식점,바게뜨베이커리,    ,서울특별시 강북구 수유동  413번지 28호  ,인수동,과자점,127.015312,37.636554
29,휴게음식점,흥부네빵집,    ,서울특별시 강북구 수유동  279번지 40호  ,우이동,과자점,127.014517,37.647837
30,휴게음식점,초원제과,    ,서울특별시 강북구 수유동  553번지 61호  ,수유2동,과자점,127.011498,37.64392
31,휴게음식점,초원제과,    ,서울특별시 강북구 수유동  553번지 61호  ,수유제2동,과자점,127.011498,37.64392
