,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,미칠비루 디져트 아뜰리에,서울특별시 강남구 일원로5길 68 1층 101호 (일원동),서울특별시 강남구 일원동  655번지  ,일원본동,커피숍,127.085488,37.492366
1,휴게음식점,모임터,서울특별시 강남구 삼성로 319 지하1층 01호 (대치동),서울특별시 강남구 대치동  931번지 25호  지하1층-01,대치1동,커피숍,127.058974,37.501061
2,휴게음식점,(주)더더다다 퀸마마마켓 도산점,서울특별시 강남구 압구정로46길 50 지상1층 (신사동 퀸마마마켓),서울특별시 강남구 신사동  649번지 8호  퀸마마마켓 지상1층,신사동,커피숍,127.034382,37.525154
3,휴게음식점,파서루,서울특별시 강남구 광평로46길 5 12층 (수서동),서울특별시 강남구 수서동  450번지 3호  ,수서동,일반조리판매,127.099379,37.486337
4,휴게음식점,카페퓨리티,서울특별시 강남구 언주로 615 지상1층 111호 (논현동 강남YMCA회관),서울특별시 강남구 논현동  225번지 6호  ,논현1동,다방,127.034939,37.510859
5,휴게음식점,제이갸또,서울특별시 강남구 선릉로100길 8 지상1층 (삼성동),서울특별시 강남구 삼성동  140번지 2호  지상1층,삼성1동,커피숍,127.047544,37.50697
6,휴게음식점,GS25삼성메디슨점,서울특별시 강남구 테헤란로104길 31 다온빌딩 1층 (대치동),서울특별시 강남구 대치동  1000번지 10호  다온빌딩,대치4동,편의점,127.065414,37.507969
7,휴게음식점,봉 커피(BONG COFFEE),서울특별시 강남구 학동로 342 지하1층 B110호 (논현동 강남구청역 에스케이 허브 블루),서울특별시 강남구 논현동  241번지 3호  ,논현2동,커피숍,127.039957,37.516505
8,휴게음식점,봉커피,서울특별시 강남구 학동로 342 지하1층 B110호 (논현동 강남구청역 에스케이 허브 블루),서울특별시 강남구 논현동  241번지 3호  ,논현2동,커피숍,127.039957,37.516505
9,휴게음식점,(주)베리케인,서울특별시 강남구 논현로175길 11 103호 (신사동),서울특별시 강남구 신사동  578번지 1호  -103,신사동,패스트푸드,127.027122,37.525725
10,휴게음식점,새순,서울특별시 강남구 학동로 111 (논현동지하1층),서울특별시 강남구 논현동  52번지 4호  지하1층,논현1동,일반조리판매,127.02258,37.512307
11,휴게음식점,그레이커피,서울특별시 강남구 테헤란로81길 13 지상1층 (삼성동),서울특별시 강남구 삼성동  157번지 5호  ,삼성1동,커피숍,127.056224,37.508382
12,휴게음식점,셰프찬,서울특별시 강남구 언주로30길 21 에이동 지하1층 B101-35호 (도곡동 아카데미스위트),서울특별시 강남구 도곡동  467번지 7호  ,도곡1동,일반조리판매,127.054419,37.488247
13,휴게음식점,소시에떼,서울특별시 강남구 논현로135길 3 1층 (논현동 삼아빌딩),서울특별시 강남구 논현동  36번지 4호  ,논현1동,커피숍,127.028606,37.515159
14,휴게음식점,까페은수,서울특별시 강남구 삼성로103길 12 (삼성동삼성신도브래뉴 지상1층 120호 121호),서울특별시 강남구 삼성동  121번지 38호  삼성신도브래뉴 지상1층 120호 121호,삼성1동,다방,127.052456,37.511154
15,휴게음식점,미나,서울특별시 강남구 학동로82길 17 금은빌딩 지상1층 (삼성동),서울특별시 강남구 삼성동  54번지 7호  금은빌딩,삼성1동,커피숍,127.051643,37.518194
16,휴게음식점,어묵나라,서울특별시 강남구 테헤란로 지하 340 (삼성동),서울특별시 강남구 삼성동  172번지 66호  ,삼성1동,기타 휴게음식점,127.063236,37.514772
17,휴게음식점,어묵나라,서울특별시 강남구 테헤란로 지하 340 (삼성동),서울특별시 강남구 삼성동  172번지 66호  ,삼성1동,기타 휴게음식점,127.063236,37.514772
18,휴게음식점,밥스클럽,서울특별시 강남구 테헤란로 지하 340 (삼성동),서울특별시 강남구 삼성동  172번지 66호  ,삼성1동,기타 휴게음식점,127.063236,37.514772
19,휴게음식점,밥스클럽,서울특별시 강남구 테헤란로 지하 340 (삼성동),서울특별시 강남구 삼성동  172번지 66호  ,삼성1동,기타 휴게음식점,127.063236,37.514772
20,휴게음식점,마성떡볶이 선릉역점,서울특별시 강남구 테헤란로 지하 340 (삼성동),서울특별시 강남구 삼성동  172번지 66호  ,삼성1동,기타 휴게음식점,127.063236,37.514772
21,휴게음식점,마성떡볶이 선릉역점,서울특별시 강남구 테헤란로 지하 340 (삼성동),서울특별시 강남구 삼성동  172번지 66호  ,삼성1동,기타 휴게음식점,127.063236,37.514772
22,휴게음식점,커피빈2013쥬얼리페어전점,서울특별시 강남구 영동대로 511 (삼성동 코액스홀 CK31),서울특별시 강남구 삼성동  159번지 1호  코액스홀CK31,삼성1동,커피숍,127.058649,37.511663
23,휴게음식점,청담웰컴센터,서울특별시 강남구 삼성로147길 46 지상1층 (청담동),서울특별시 강남구 청담동  15번지 1호  ,청담동,커피숍,127.044882,37.520599
24,휴게음식점,크노파(KNOPPA),서울특별시 강남구 테헤란로38길 5 스타팅빌딩 지상1층 (역삼동),서울특별시 강남구 역삼동  720번지 9호  스타팅빌딩,역삼1동,커피숍,127.041513,37.50183
25,휴게음식점,세븐일레븐(대치11호점),서울특별시 강남구 테헤란로104길 12 (대치동),서울특별시 강남구 대치동  995번지 23호  ,대치2동,패스트푸드,127.066242,37.503191
26,휴게음식점,May to April(메이 투 에이프릴),서울특별시 강남구 강남대로152길 55 지상1층 (신사동),서울특별시 강남구 신사동  541번지 18호  지상1층,신사동,다방,127.023313,37.519414
27,휴게음식점,라임(Lime),서울특별시 강남구 선릉로131길 4 지상1층 (논현동),서울특별시 강남구 논현동  111번지 29호  지상1층,논현1동,다방,127.039777,37.519035
28,휴게음식점,씨유 대치태양점,서울특별시 강남구 선릉로68길 9 1층 101호 (대치동),서울특별시 강남구 대치동  921번지 17호  ,대치1동,편의점,127.051535,37.499911
29,휴게음식점,고슬,서울특별시 강남구 봉은사로20길 54 지상2층 14호 (역삼동),서울특별시 강남구 역삼동  626번지 30호  ,역삼1동,기타 휴게음식점,127.032124,37.50461
30,휴게음식점,이디야 대치역점,서울특별시 강남구 남부순환로 2937 지상1층 (대치동 까치빌딩),서울특별시 강남구 대치동  605번지 2호  ,대치1동,커피숍,127.061335,37.494033
31,휴게음식점,씨유 삼성로점,서울특별시 강남구 삼성로103길 7 지상1층 (삼성동),서울특별시 강남구 삼성동  127번지 0호  지상1층,삼성1동,편의점,127.053972,37.510229
32,휴게음식점,논현주유소,서울특별시 강남구 논현로 747 1층 (논현동),서울특별시 강남구 논현동  8번지 11호  ,논현1동,기타 휴게음식점,127.027827,37.518496
33,휴게음식점,요거프레소(선릉점),서울특별시 강남구 언주로98길 19 지상1층 (역삼동),서울특별시 강남구 역삼동  699번지 20호  ,역삼1동,다방,127.04253,37.505452
34,휴게음식점,별똥별,서울특별시 강남구 강남대로122길 39-9 1층 (논현동),서울특별시 강남구 논현동  160번지 6호  ,논현1동,커피숍,127.0252,37.509175
35,휴게음식점,할머니분식,서울특별시 강남구 도곡로 516 지하1층 3호 (대치동 삼성상가),서울특별시 강남구 대치동  990번지  ,대치4동,일반조리판매,127.063091,37.49921
36,휴게음식점,GS25 논현경남점,서울특별시 강남구 학동로42길 73 1층 (논현동),서울특별시 강남구 논현동  262번지 32호  ,논현2동,편의점,127.03687,37.512028
37,휴게음식점,티피이서울 가로수길점,서울특별시 강남구 압구정로12길 33 1층 (신사동),서울특별시 강남구 신사동  546번지 5호  ,신사동,커피숍,127.022888,37.522519
