,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,해다방,서울특별시 금천구 가산로3길 128 (가산동지하1층 (모아래길118)),서울특별시 금천구 가산동  238번지 38호  지하1층 (모아래길118),가산동,다방,126.889545,37.472765
1,휴게음식점,거목,서울특별시 금천구 가산로3길 78 (가산동지하1층 (모아래길 82)),서울특별시 금천구 가산동  235번지 49호  지하1층 (모아래길 82),가산동,다방,126.89284,37.473175
2,휴게음식점,다모아,서울특별시 금천구 가산로 150 (가산동(구로동길 263)),서울특별시 금천구 가산동  141번지 9호  (구로동길 263),가산동,다방,126.890082,37.478501
3,휴게음식점,롯데리아구로가산점,서울특별시 금천구 디지털로 188 지하1층 (가산동),서울특별시 금천구 가산동  60번지 27호  지하1층 (디지털단지로 285),가산동,패스트푸드,126.884815,37.480641
4,휴게음식점,소네트,서울특별시 금천구 가산디지털1로 168 B동 B131호 (가산동우림라이온스밸리(가산디지털 1길 71)),서울특별시 금천구 가산동  371번지 28호 B 우림라이온스밸리(가산디지털 1길 71)-B131,가산동,커피숍,126.884449,37.477168
5,휴게음식점,미니스톱 가산월드점,서울특별시 금천구 가산디지털2로 123 (가산동월드메르디앙벤처센터2 (104호) 지상1층 (패션단지길 40)),서울특별시 금천구 가산동  426번지 5호  월드메르디앙벤처센터2 (104호) 지상1층 (패션단지길 40),가산동,편의점,126.881884,37.4801
6,휴게음식점,스위트번스금천엘지점,서울특별시 금천구 디지털로10길 56 (가산동(지하1층)),서울특별시 금천구 가산동  219번지 24호  (지하1층),가산동,커피숍,126.886761,37.47373
7,휴게음식점,스위트번스금천엘지점,서울특별시 금천구 디지털로10길 56 (가산동(지하1층)),서울특별시 금천구 가산동  219번지 24호  (지하1층),가산동,커피숍,126.886761,37.47373
8,휴게음식점,미니스톱독산역점,서울특별시 금천구 범안로 1138 고려테크온 지상1층 (가산동),서울특별시 금천구 가산동  715번지  고려테크온 지상1층,가산동,편의점,126.888393,37.465798
9,휴게음식점,미니스톱독산역점,서울특별시 금천구 범안로 1138 고려테크온 지상1층 (가산동),서울특별시 금천구 가산동  715번지  고려테크온 지상1층,가산동,편의점,126.888393,37.465798
10,휴게음식점,GS25 트윈테크,서울특별시 금천구 가산디지털1로 119 (가산동SK트윈테크 A-103호 (디지털단지로 325)),서울특별시 금천구 가산동  345번지 9호  SK트윈테크 A-103호 (디지털단지로 325),가산동,편의점,126.883589,37.471907
