,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,청자,    ,서울특별시 구로구 구로동  716번지 10호  ,구로제2동,다방,126.884525,37.48727
1,휴게음식점,은하수,    ,서울특별시 구로구 오류동  23번지 37호  ,오류제1동,다방,126.842691,37.497256
2,휴게음식점,종점다방,    ,서울특별시 구로구 가리봉동  89번지 2호  ,가리봉동,다방,126.88614,37.484348
3,휴게음식점,낙원다방,    ,서울특별시 구로구 신도림동  430번지 3호  436-4226,신도림동,다방,126.884692,37.506464
4,휴게음식점,은성다방,    ,서울특별시 구로구 구로동  586번지 10호  ,구로제5동,다방,126.881614,37.501974
5,휴게음식점,양,    ,서울특별시 구로구 고척동  76번지 100호  ,고척제1동,다방,126.864412,37.498972
6,휴게음식점,경인,    ,서울특별시 구로구 오류동  8번지 5호  ,오류제1동,다방,126.839415,37.495593
7,휴게음식점,양지,    ,서울특별시 구로구 오류동  38번지 3호  ,오류제1동,다방,126.844047,37.49663
8,휴게음식점,거북다방,    ,서울특별시 구로구 오류동  40번지 4호  ,오류제1동,다방,126.843122,37.49645
9,휴게음식점,산길다방,    ,서울특별시 구로구 구로동  736번지 16호  1718,구로제4동,다방,126.885249,37.488736
10,휴게음식점,지하다방,서울특별시 구로구 구로동로 101-2 (구로동),서울특별시 구로구 구로동  716번지 1호  ,구로제2동,다방,126.884525,37.48727
11,휴게음식점,선미당,    ,서울특별시 구로구 오류동  38번지 7호  ,오류제1동,과자점,126.844047,37.49663
12,휴게음식점,조양,    ,서울특별시 구로구 구로동  603번지 13호  ,구로제2동,다방,126.880053,37.502798
13,휴게음식점,중앙,    ,서울특별시 구로구 구로동  731번지 1호  ,구로제4동,다방,126.886515,37.490298
14,휴게음식점,뮤직데이트,    ,서울특별시 구로구 개봉동  156번지 1호  ,개봉제1동,다방,126.855254,37.498082
15,휴게음식점,민,    ,서울특별시 구로구 구로동  1125번지 9호  ,구로제3동,다방,126.901171,37.484074
16,휴게음식점,C.M,    ,서울특별시 구로구 오류동  39번지 5호  ,오류제1동,다방,126.843221,37.496649
17,휴게음식점,별,    ,서울특별시 구로구 구로동  1124번지 23호  24.28.29,구로제3동,다방,126.901644,37.484205
18,휴게음식점,보리수,서울특별시 구로구 구로동로18길 12 2층 (구로동),서울특별시 구로구 구로동  737번지 10호  외 1필지,구로제4동,다방,126.885331,37.488539
19,휴게음식점,원,    ,서울특별시 구로구 구로동  808번지 43호  ,구로제2동,과자점,126.885478,37.486306
20,휴게음식점,뿌리,    ,서울특별시 구로구 가리봉동  129번지 1호  ,가리봉동,다방,126.889786,37.480147
21,휴게음식점,구룡,    ,서울특별시 구로구 구로동  805번지 2호  ,구로제1동,다방,126.886749,37.485957
22,휴게음식점,바게트,    ,서울특별시 구로구 오류동  35번지 1호  ,오류제1동,과자점,126.84436,37.496867
23,휴게음식점,샘터,    ,서울특별시 구로구 가리봉동  80번지 28호  -4.10호 가동 152,가리봉동,다방,126.883779,37.484199
24,휴게음식점,남촌,    ,서울특별시 구로구 구로동  722번지 1호  ,구로제1동,다방,126.88443,37.488287
25,휴게음식점,보영,    ,서울특별시 구로구 구로동  805번지 22호  ,구로제2동,과자점,126.886749,37.485957
26,휴게음식점,수정,    ,서울특별시 구로구 개봉동  403번지 162호  ,개봉제1동,다방,126.856706,37.491852
