,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,인화,    ,서울특별시 광진구 군자동  102번지 32호  ,군자동,다방,127.072072,37.552127
1,휴게음식점,황태자,    ,서울특별시 광진구 구의동  252번지 16호  ,구의제1동,다방,127.084315,37.540239
2,휴게음식점,수정,    ,서울특별시 광진구 자양동  36번지 30호  ,자양제4동,다방,127.063563,37.53932
3,휴게음식점,판도라,    ,서울특별시 광진구 화양동  111번지 5호  ,화양동,다방,127.072966,37.546638
4,휴게음식점,오두막,    ,서울특별시 광진구 화양동  111번지 49호  ,화양동,다방,127.072966,37.546638
5,휴게음식점,에스페로,    ,서울특별시 광진구 화양동  168번지 2호  ,화양동,다방,127.07317,37.544793
6,휴게음식점,대지,    ,서울특별시 광진구 구의동  405번지 1호  ,구의제2동,다방,127.091733,37.542513
7,휴게음식점,영,    ,서울특별시 광진구 중곡동  245번지 39호  ,중곡제1동,다방,127.07972,37.562432
8,휴게음식점,종,    ,서울특별시 광진구 자양동  236번지 76호  ,자양제4동,다방,127.065783,37.536418
9,휴게음식점,능,    ,서울특별시 광진구 중곡동  116번지 6호  ,중곡제1동,다방,127.089496,37.553452
10,휴게음식점,길,    ,서울특별시 광진구 구의동  236번지 53호  ,구의제1동,다방,127.085538,37.543916
11,휴게음식점,란,    ,서울특별시 광진구 중곡동  193번지 51호  ,중곡제1동,다방,127.080737,37.566216
12,휴게음식점,동산,    ,서울특별시 광진구 자양동  626번지 6   호  ,자양제1동,다방,127.083012,37.535769
13,휴게음식점,성백,    ,서울특별시 광진구 중곡동  78번지 5호  ,중곡제4동,다방,127.089124,37.558847
14,휴게음식점,킹스로드,    ,서울특별시 광진구 자양동  219번지 2호  ,자양제1동,과자점,127.082353,37.536025
15,휴게음식점,중앙다방,    ,서울특별시 광진구 구의동  230번지 19호  ,구의제1동,다방,127.089834,37.544228
16,휴게음식점,공원,    ,서울특별시 광진구 군자동  218번지 0호  ,군자동,다방,127.074193,37.548062
17,휴게음식점,독일제빵,    ,서울특별시 광진구 자양동  343번지 4호  ,자양제2동,과자점,127.063242,37.540515
18,휴게음식점,크라운베이커리,    ,서울특별시 광진구 화양동  7번지 4호  ,화양동,과자점,127.070144,37.540597
19,휴게음식점,파리바게뜨화양점,    ,서울특별시 광진구 화양동  118번지 2호  ,화양동,과자점,127.070665,37.547791
20,휴게음식점,포춘,    ,서울특별시 광진구 중곡동  115번지 9호  ,중곡제1동,과자점,127.090188,37.553305
21,휴게음식점,명성다방,    ,서울특별시 광진구 중곡동  174번지 81호  ,중곡제3동,다방,127.081444,37.568564
22,휴게음식점,솔,    ,서울특별시 광진구 화양동  132번지 64호  ,화양동,다방,127.070854,37.546252
23,휴게음식점,고려,    ,서울특별시 광진구 화양동  132번지 1호  ,화양동,다방,127.070854,37.546252
24,휴게음식점,하야로비,서울특별시 광진구 동일로 174 (화양동),서울특별시 광진구 화양동  23번지 7호  ,화양동,다방,127.071242,37.545138
25,휴게음식점,복,    ,서울특별시 광진구 구의동  252번지 15호  ,구의제1동,다방,127.084315,37.540239
26,휴게음식점,동서다방,    ,서울특별시 광진구 화양동  42번지 1호  ,화양동,다방,127.065827,37.544663
27,휴게음식점,백합,    ,서울특별시 광진구 능동  236번지 1호  ,능동,다방,127.081657,37.55496
28,휴게음식점,조양다방,    ,서울특별시 광진구 자양동  11번지 1호  ,자양제4동,다방,127.0666,37.539848
29,휴게음식점,고려제과,    ,서울특별시 광진구 중곡동  169번지 21호  ,중곡제1동,과자점,127.084706,37.568472
30,휴게음식점,해태델리,    ,서울특별시 광진구 화양동  5번지 47호  ,화양동,과자점,127.072799,37.540897
