,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,청수,    ,서울특별시 종로구 장사동  147번지 2호  ,종로1.2.3.4가동,다방,126.995867,37.569354
1,휴게음식점,태을,    ,서울특별시 종로구 공평동  119번지 0호  ,종로1.2.3.4가동,다방,126.983063,37.571118
2,휴게음식점,봉다방,서울특별시 종로구 종로 313-1 (창신동지상2층),서울특별시 종로구 창신동  154번지 1호  지상2층,창신제1동,다방,127.012536,37.572296
3,휴게음식점,길,    ,서울특별시 종로구 창신동  696번지 1호  ,창신제2동,다방,127.009906,37.571707
4,휴게음식점,장미,    ,서울특별시 종로구 장사동  212번지  ,종로1.2.3.4가동,다방,126.993242,37.56925
5,휴게음식점,돌,    ,서울특별시 종로구 숭인동  1243번지 0호  ,숭인제2동,다방,127.022957,37.576158
6,휴게음식점,시티파크,    ,서울특별시 종로구 신문로1가  25번지 0호  ,사직동,다방,126.974536,37.570441
7,휴게음식점,호,    ,서울특별시 종로구 관수동  120번지  ,종로1.2.3.4가동,과자점,126.990939,37.568807
8,휴게음식점,백궁,    ,서울특별시 종로구 묘동  60번지 1호  ,종로1.2.3.4가동,다방,126.992151,37.57125
9,휴게음식점,(주)롯데리아신설점,    ,서울특별시 종로구 숭인동  1243번지 0호  ,숭인제2동,과자점,127.022957,37.576158
10,휴게음식점,독립문,    ,서울특별시 종로구 교북동  10번지 30호  ,교남동,다방,126.961007,37.572242
11,휴게음식점,데생,    ,서울특별시 종로구 공평동  61번지 0호  ,종로1.2.3.4가동,다방,126.983329,37.571535
12,휴게음식점,열매,    ,서울특별시 종로구 공평동  64번지 0호  ,종로1.2.3.4가동,다방,126.983489,37.571419
13,휴게음식점,전원,서울특별시 종로구 새문안로5길 19 (당주동지하1층 1호),서울특별시 종로구 당주동  5번지  지하1층 1호,사직동,다방,126.974323,37.571989
14,휴게음식점,란,    ,서울특별시 종로구 종로5가  193번지 11호  ,종로5.6가동,다방,127.002358,37.570661
15,휴게음식점,여정,    ,서울특별시 종로구 묘동  148번지  ,종로1.2.3.4가동,과자점,126.99102,37.573673
16,휴게음식점,가로등,    ,서울특별시 종로구 종로6가  239번지 39호  ,종로5.6가동,다방,127.00499,37.572828
17,휴게음식점,진선미,    ,서울특별시 종로구 관수동  87번지  ,종로1.2.3.4가동,과자점,126.991967,37.568951
18,휴게음식점,갈릴리,    ,서울특별시 종로구 효제동  330번지 0호  ,종로5.6가동,다방,127.001724,37.571503
19,휴게음식점,지중해,서울특별시 종로구 종로 138-1 (종로3가(지하 1층)),서울특별시 종로구 종로3가  146번지 1호  (지하 1층),종로1.2.3.4가동,다방,126.992947,37.570158
20,휴게음식점,예지,    ,서울특별시 종로구 예지동  231번지 0호  ,종로1.2.3.4가동,다방,126.998365,37.569645
21,휴게음식점,제일,    ,서울특별시 종로구 청진동  182번지 4호  ,종로1.2.3.4가동,다방,126.979559,37.57152
22,휴게음식점,와이커피숍,    ,서울특별시 종로구 종로2가  9번지 0호  ,종로1.2.3.4가동,다방,126.985288,37.570606
23,휴게음식점,동천홍,    ,서울특별시 종로구 당주동  21번지 1호  ,사직동,다방,126.975453,37.571314
24,휴게음식점,동일,    ,서울특별시 종로구 인사동  15번지 0호  ,종로1.2.3.4가동,다방,126.986513,37.57295
25,휴게음식점,모두와,    ,서울특별시 종로구 관철동  14번지 10호  ,종로1.2.3.4가동,다방,126.985132,37.569586
26,휴게음식점,셀타,    ,서울특별시 종로구 종로3가  28번지 2호  ,종로1.2.3.4가동,다방,126.992905,37.570743
27,휴게음식점,와룡커피숍,    ,서울특별시 종로구 와룡동  172번지 2호  ,종로1.2.3.4가동,다방,126.990784,37.57441
28,휴게음식점,약속,    ,서울특별시 종로구 낙원동  138번지 1호  ,종로1.2.3.4가동,다방,126.988944,37.572304
29,휴게음식점,스칼렛,    ,서울특별시 종로구 신문로1가  122번지 3호  ,사직동,다방,126.974937,37.57012
30,휴게음식점,복,    ,서울특별시 종로구 종로4가  31번지  ,종로1.2.3.4가동,과자점,126.996876,37.570939
31,휴게음식점,상록수,    ,서울특별시 종로구 종로5가  193번지 17호  ,종로5.6가동,다방,127.002358,37.570661
32,휴게음식점,왕관 커피숍,서울특별시 종로구 종로 222 (종로5가(1층)),서울특별시 종로구 종로5가  182번지 3호  (1층),종로5.6가동,커피숍,127.002131,37.570695
33,휴게음식점,포인트,    ,서울특별시 종로구 관철동  5번지 1호  ,종로1.2.3.4가동,다방,126.988506,37.569561
34,휴게음식점,운,    ,서울특별시 종로구 효제동  298번지 4호  ,종로5.6가동,다방,127.002293,37.573012
35,휴게음식점,대우,    ,서울특별시 종로구 돈의동  46번지 1호  (지하1층),종로1.2.3.4가동,다방,126.990637,37.572679
36,휴게음식점,로얄,서울특별시 종로구 새문안로5길 11-7 (당주동),서울특별시 종로구 당주동  167번지 1호  ,사직동,다방,126.974189,37.571005
37,휴게음식점,희,    ,서울특별시 종로구 종로1가  40번지 0호  ,종로1.2.3.4가동,다방,126.981634,37.570448
38,휴게음식점,보신각,    ,서울특별시 종로구 종로1가  47번지 1호  ,종로1.2.3.4가동,다방,126.982019,37.57046
39,휴게음식점,황태자,    ,서울특별시 종로구 신문로1가  134번지 0호  ,사직동,다방,126.975074,37.57004
40,휴게음식점,여의주,    ,서울특별시 종로구 낙원동  284번지 78호  ,종로1.2.3.4가동,다방,126.987171,37.572838
41,휴게음식점,비락조,    ,서울특별시 종로구 관철동  11번지 1호  ,종로1.2.3.4가동,다방,126.987293,37.568893
