,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,.,    ,서울특별시 중구 무학동  37번지  ,신당동,다방,127.015104,37.56383
1,휴게음식점,정동,    ,서울특별시 중구 을지로2가  18번지 3호  ,명동,다방,126.985374,37.566759
2,휴게음식점,장군,    ,서울특별시 중구 신당동  369번지 0호  ,신당동,일반조리판매,127.010414,37.55387
3,휴게음식점,은호,    ,서울특별시 중구 의주로2가  92번지 1호  ,중림동,다방,126.969374,37.56061
4,휴게음식점,수련,    ,서울특별시 중구 서소문동  84번지 1호  ,소공동,다방,126.975359,37.563303
5,휴게음식점,수도,    ,서울특별시 중구 을지로5가  273번지 4호  ,을지로동,다방,127.001027,37.5661
6,휴게음식점,은자다방,    ,서울특별시 중구 남대문로3가  30번지 7호  ,소공동,다방,126.978312,37.560895
7,휴게음식점,푸른들,    ,서울특별시 중구 남대문로3가  92번지 2호  ,소공동,다방,126.978114,37.561281
8,휴게음식점,로방,    ,서울특별시 중구 삼각동  113번지 0호  ,명동,다방,126.983203,37.567452
9,휴게음식점,오두막,    ,서울특별시 중구 무학동  50번지 2호  ,신당동,다방,127.014966,37.564865
10,휴게음식점,남지다방,    ,서울특별시 중구 중림동  67번지 0호  68,중림동,다방,126.968923,37.55884
11,휴게음식점,만리,    ,서울특별시 중구 만리동2가  24번지 1호  ,중림동,다방,126.965476,37.554377
12,휴게음식점,쟈뎅커피전문점,    ,서울특별시 중구 저동2가  48번지 20호  ,을지로동,다방,126.99061,37.563839
13,휴게음식점,명보,    ,서울특별시 중구 중림동  18번지 7호  ,중림동,다방,126.969005,37.559436
14,휴게음식점,삼옥,    ,서울특별시 중구 중림동  93번지 3호  ,중림동,다방,126.969244,37.558573
15,휴게음식점,백조,서울특별시 중구 을지로35길 35 (주교동),서울특별시 중구 주교동  311번지 3호  ,을지로동,다방,127.001337,37.568274
16,휴게음식점,랑,    ,서울특별시 중구 남창동  9번지 15호  ,회현동,다방,126.978914,37.5599
17,휴게음식점,초은,    ,서울특별시 중구 을지로3가  251번지 1호  ,을지로동,다방,126.994817,37.566578
18,휴게음식점,사랑방,    ,서울특별시 중구 태평로1가  31번지 23호  ,명동,다방,126.978357,37.566698
19,휴게음식점,부촌,    ,서울특별시 중구 예관동  1번지 3호  ,광희동,다방,126.998985,37.565596
20,휴게음식점,대원호텔,    ,서울특별시 중구 황학동  43번지 0호  ,황학동,다방,127.018023,37.570017
21,휴게음식점,동경 커피숍,    ,서울특별시 중구 방산동  112번지 3호  ,을지로동,커피숍,127.001489,37.567924
22,휴게음식점,을호,서울특별시 중구 장충단로13길 7 (을지로6가),서울특별시 중구 을지로6가  18번지 95호  ,광희동,다방,127.008286,37.569251
23,휴게음식점,복다방,    ,서울특별시 중구 입정동  170번지 1호  ,을지로동,다방,126.992961,37.56741
24,휴게음식점,청천,    ,서울특별시 중구 수표동  47번지 0호  ,명동,다방,126.989665,37.567544
25,휴게음식점,금호,    ,서울특별시 중구 수표동  11번지 4호  ,명동,다방,126.990735,37.567976
26,휴게음식점,등대,    ,서울특별시 중구 충정로1가  81번지 5호  ,소공동,다방,126.968015,37.566437
27,휴게음식점,삼영,    ,서울특별시 중구 서소문동  50번지 2호  ,소공동,다방,126.973414,37.563142
28,휴게음식점,비어팝,    ,서울특별시 중구 충무로4가  95번지 0호  ,광희동,다방,126.996926,37.562136
29,휴게음식점,아담,    ,서울특별시 중구 을지로6가  18번지 69호  ,광희동,다방,127.008286,37.569251
30,휴게음식점,호산나,    ,서울특별시 중구 흥인동  6번지 10호  ,신당동,다방,127.017607,37.56805
31,휴게음식점,세이지커피전문점,    ,서울특별시 중구 남대문로5가  12번지 2호  ,회현동,다방,126.973187,37.558211
32,휴게음식점,서울역,서울특별시 중구 세종대로 13 (남대문로5가),서울특별시 중구 남대문로5가  6번지 8호  ,회현동,다방,126.973644,37.558746
33,휴게음식점,파레스,    ,서울특별시 중구 소공동  28번지 0호  ,소공동,다방,126.981251,37.563696
34,휴게음식점,태평다방,    ,서울특별시 중구 태평로2가  367번지 0호  ,소공동,다방,126.976267,37.564752
35,휴게음식점,응접실,    ,서울특별시 중구 태평로2가  69번지 13호  ,소공동,다방,126.977126,37.563219
36,휴게음식점,모향,    ,서울특별시 중구 회현동2가  36번지 6호  ,회현동,다방,126.9832,37.558487
37,휴게음식점,피알다방,    ,서울특별시 중구 충무로3가  57번지 5호  ,필동,다방,126.991939,37.562598
38,휴게음식점,문화커피숍,서울특별시 중구 수표로 30 (저동2가),서울특별시 중구 저동2가  47번지 15호  ,을지로동,다방,126.990563,37.563929
39,휴게음식점,뜨락,    ,서울특별시 중구 저동1가  90번지 10호  ,명동,다방,126.987031,37.564818
