,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,등대,    ,서울특별시 중랑구 묵동  238번지 8호  ,묵제1동,다방,127.07448,37.61266
1,휴게음식점,청학커피숍,    ,서울특별시 중랑구 상봉동  136번지 6호  ,상봉제2동,다방,127.074588,37.592955
2,휴게음식점,은하,    ,서울특별시 중랑구 상봉동  108번지 2호  ,상봉제1동,다방,127.085725,37.594385
3,휴게음식점,중앙,    ,서울특별시 중랑구 상봉동  130번지 130호  ,상봉제1동,다방,127.076198,37.593716
4,휴게음식점,영,    ,서울특별시 중랑구 망우동  340번지 22호  ,망우본동,다방,127.102188,37.606738
5,휴게음식점,샘,    ,서울특별시 중랑구 면목동  496번지 6호  ,면목제3.8동,다방,127.091469,37.582004
6,휴게음식점,길다방,    ,서울특별시 중랑구 묵동  162번지 1호  ,묵제1동,다방,127.078487,37.616557
7,휴게음식점,코스모스,    ,서울특별시 중랑구 중화동  산 314번지 1호  ,중화제1동,다방,127.086196,37.603029
8,휴게음식점,칠성다방,    ,서울특별시 중랑구 상봉동  118번지 5호  ,상봉제1동,다방,127.082667,37.595352
9,휴게음식점,남경,    ,서울특별시 중랑구 면목동  147번지 7호  ,면목본동,다방,127.080637,37.587299
10,휴게음식점,초코렛,    ,서울특별시 중랑구 중화동  209번지 8호  ,중화제1동,다방,127.073928,37.594131
11,휴게음식점,정,    ,서울특별시 중랑구 중화동  307번지 15호  ,중화제2동,다방,127.078342,37.601689
12,휴게음식점,궁전다방,    ,서울특별시 중랑구 중화동  304번지 16호  ,중화제1동,다방,127.079134,37.600812
13,휴게음식점,한독커피?,    ,서울특별시 중랑구 중화동  301번지 2호  ,중화제2동,다방,127.076454,37.596872
14,휴게음식점,은전,    ,서울특별시 중랑구 면목동  129번지 5호  ,면목본동,다방,127.085898,37.590358
15,휴게음식점,명,    ,서울특별시 중랑구 상봉동  140번지 10호  ,상봉제1동,다방,127.072261,37.592559
16,휴게음식점,청자,    ,서울특별시 중랑구 면목동  413번지 3호  ,면목본동,다방,127.088705,37.584884
17,휴게음식점,영,    ,서울특별시 중랑구 면목동  611번지 4호  ,면목본동,다방,127.08552,37.581498
18,휴게음식점,씨.앤.에프커피전문점,    ,서울특별시 중랑구 면목동  604번지 27호  ,면목제3.8동,다방,127.086924,37.581446
19,휴게음식점,명,    ,서울특별시 중랑구 상봉동  116번지 25호  ,상봉제1동,다방,127.084854,37.596117
20,휴게음식점,신흥다방,    ,서울특별시 중랑구 면목동  126번지 6호  ,면목본동,다방,127.087752,37.589733
21,휴게음식점,태양다방,    ,서울특별시 중랑구 면목동  226번지 10호  ,면목본동,다방,127.087049,37.591674
22,휴게음식점,궁전,    ,서울특별시 중랑구 면목동  501번지 3호  ,면목본동,다방,127.087743,37.583912
23,휴게음식점,자매,    ,서울특별시 중랑구 중화동  305번지 19호  ,중화제2동,다방,127.078187,37.602291
24,휴게음식점,조은,    ,서울특별시 중랑구 상봉동  136번지 9호  ,상봉제1동,다방,127.074588,37.592955
