,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,삼성,    ,서울특별시 마포구 신수동  448번지 10호  ,신수동,다방,126.935803,37.544671
1,휴게음식점,새명커피숍,    ,서울특별시 마포구 아현동  270번지 1호  ,아현동,다방,126.957238,37.555936
2,휴게음식점,샬롬,    ,서울특별시 마포구 공덕동  105번지 62호  ,공덕동,다방,126.956726,37.550462
3,휴게음식점,희,서울특별시 마포구 마포대로 181 (아현동),서울특별시 마포구 아현동  618번지 7호  ,아현동,다방,126.954834,37.551373
4,휴게음식점,샤넬커피샵,    ,서울특별시 마포구 염리동  148번지 9호  ,염리동,다방,126.945563,37.54756
5,휴게음식점,첼시커피숍,    ,서울특별시 마포구 신공덕동  27번지 8호  ,공덕동,다방,126.953425,37.54372
6,휴게음식점,이조명과,    ,서울특별시 마포구 공덕동  140번지 13호  ,아현동,과자점,126.954071,37.550087
7,휴게음식점,아이.엠커피숍,    ,서울특별시 마포구 노고산동  49번지 46호  ,대흥동,다방,126.936916,37.555547
8,휴게음식점,칠성,서울특별시 마포구 도화길 51 (도화동),서울특별시 마포구 도화동  181번지 2호  ,도화동,다방,126.949702,37.542065
9,휴게음식점,학,    ,서울특별시 마포구 아현동  618번지 9호  ,아현동,다방,126.954834,37.551373
10,휴게음식점,명문,    ,서울특별시 마포구 염리동  36번지 246호  ,염리동,다방,126.946716,37.550805
11,휴게음식점,대교다방,    ,서울특별시 마포구 용강동  45번지 5호  ,용강동,다방,126.942467,37.540775
12,휴게음식점,서교,    ,서울특별시 마포구 서교동  377번지 25호  ,서교동,다방,126.917418,37.553802
13,휴게음식점,오두막커피숍,    ,서울특별시 마포구 도화동  345번지 1호  ,도화동,다방,126.948572,37.540352
14,휴게음식점,탑커피숍,    ,서울특별시 마포구 합정동  374번지 1호  ,합정동,커피숍,126.913769,37.548723
15,휴게음식점,원커피숍,    ,서울특별시 마포구 도화동  345번지 3호  ,도화동,다방,126.948572,37.540352
16,휴게음식점,혜성다방,    ,서울특별시 마포구 아현동  614번지 2호  ,아현동,다방,126.955802,37.552589
17,휴게음식점,오두막,    ,서울특별시 마포구 염리동  148번지 13호  ,염리동,다방,126.945563,37.54756
18,휴게음식점,본전다방,    ,서울특별시 마포구 하중동  25번지 2호  ,서강동,다방,126.927812,37.54558
19,휴게음식점,한일,    ,서울특별시 마포구 공덕동  437번지 28호  ,공덕동,다방,126.950471,37.543721
20,휴게음식점,우정,    ,서울특별시 마포구 망원동  338번지 39호  ,망원2동,다방,126.898742,37.552458
21,휴게음식점,봉,    ,서울특별시 마포구 신수동  448번지 23호  ,신수동,다방,126.935803,37.544671
22,휴게음식점,나인,    ,서울특별시 마포구 도화동  250번지 21호  ,도화동,다방,126.948184,37.539006
23,휴게음식점,88다방,    ,서울특별시 마포구 신공덕동  26번지 17호  ,공덕동,다방,126.9536,37.5441
24,휴게음식점,동신다방,서울특별시 마포구 포은로 88 (망원동),서울특별시 마포구 망원동  400번지 18호  ,망원2동,다방,126.905646,37.554721
25,휴게음식점,충무다방,    ,서울특별시 마포구 망원동  484번지 5호  ,망원2동,다방,126.907149,37.557951
26,휴게음식점,수정,    ,서울특별시 마포구 대흥동  12번지 172호  ,대흥동,다방,126.945264,37.552694
27,휴게음식점,별,    ,서울특별시 마포구 신공덕동  24번지 20호  ,공덕동,다방,126.953869,37.544309
28,휴게음식점,정다방,    ,서울특별시 마포구 대흥동  3번지 82호  ,대흥동,다방,126.94644,37.554371
29,휴게음식점,덕일,    ,서울특별시 마포구 망원동  423번지 1호  ,망원2동,다방,126.903717,37.557379
30,휴게음식점,금성,    ,서울특별시 마포구 마포동  176번지 1호  ,도화동,다방,126.945468,37.538991
31,휴게음식점,고려당서교지점,    ,서울특별시 마포구 서교동  373번지 1호  ,서교동,과자점,126.919251,37.552278
32,휴게음식점,서강,    ,서울특별시 마포구 상수동  54번지 2호  ,서강동,다방,126.927583,37.545777
33,휴게음식점,독일과자점,    ,서울특별시 마포구 망원동  481번지 1호  ,망원2동,과자점,126.906975,37.558292
34,휴게음식점,쉐라톤명과,    ,서울특별시 마포구 망원동  418번지 22호  ,망원2동,과자점,126.900691,37.555351
