,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,피터팬,    ,서울특별시 서초구 방배동  777번지 20호  ,방배본동,다방,126.987245,37.493764
1,휴게음식점,훼미리마트,    ,서울특별시 서초구 반포동  19번지 4호  ,반포제4동,편의점,127.001077,37.504631
2,휴게음식점,한일다방,    ,서울특별시 서초구 양재동  1번지 2호  2층,양재제1동,다방,127.037716,37.484833
3,휴게음식점,대호,    ,서울특별시 서초구 서초동  1602번지 10호  ,서초제3동,다방,127.014757,37.485283
4,휴게음식점,동호,    ,서울특별시 서초구 양재동  11번지 19  호  (지하),양재제1동,다방,127.03678,37.483789
5,휴게음식점,삼성,    ,서울특별시 서초구 방배동  440번지 33호  ,방배제2동,다방,126.982356,37.482323
6,휴게음식점,민트,    ,서울특별시 서초구 서초동  1673번지 1호  지하1층,서초제1동,다방,127.014151,37.493514
7,휴게음식점,산,    ,서울특별시 서초구 반포동  723번지 14호  ,반포제1동,다방,127.021942,37.508283
8,휴게음식점,삼호다방,    ,서울특별시 서초구 방배동  796번지 1호  ,방배본동,다방,126.989908,37.493336
9,휴게음식점,길목,    ,서울특별시 서초구 반포동  9번지 3호  ,반포제4동,다방,126.995521,37.504016
10,휴게음식점,청호,서울특별시 서초구 서초대로1길 14 (방배동),서울특별시 서초구 방배동  1459번지 0호  ,방배제4동,다방,126.983247,37.487521
11,휴게음식점,바게뜨제과점,    ,서울특별시 서초구 방배동  936번지 10호  ,방배제1동,과자점,126.993661,37.485889
12,휴게음식점,우성다방,    ,서울특별시 서초구 서초동  90번지 1호  ,서초제2동,다방,127.033943,37.482801
13,휴게음식점,가야커피숍,    ,서울특별시 서초구 방배동  875번지 1호  ,방배제4동,다방,126.992787,37.488612
14,휴게음식점,대지,    ,서울특별시 서초구 방배동  1544번지 0호  ,방배본동,다방,126.982785,37.487391
15,휴게음식점,주화,    ,서울특별시 서초구 서초동  1308번지 4호  ,서초제4동,다방,127.024203,37.501427
16,휴게음식점,후렌들리제과,    ,서울특별시 서초구 잠원동  73번지 0호  ,반포제3동,과자점,127.002426,37.510418
17,휴게음식점,파리바게트,    ,서울특별시 서초구 서초동  90번지 1호  ,서초제4동,과자점,127.033943,37.482801
18,휴게음식점,신라제과,    ,서울특별시 서초구 방배동  950번지 6호  ,방배제2동,과자점,126.986493,37.484999
19,휴게음식점,꼬망스과자점,    ,서울특별시 서초구 방배동  1458번지 0호  ,방배제3동,과자점,126.983394,37.487495
20,휴게음식점,고려당서초분점,    ,서울특별시 서초구 서초동  1310번지 0호  삼호종합상가101,서초제4동,과자점,127.021601,37.501514
21,휴게음식점,하이밀베이커리,    ,서울특별시 서초구 방배동  755번지 13호  ,방배본동,과자점,126.985311,37.49709
22,휴게음식점,서독일제과,    ,서울특별시 서초구 양재동  9번지 66호  ,양재제1동,과자점,127.038578,37.482866
23,휴게음식점,문화,    ,서울특별시 서초구 방배동  782번지 6호  ,방배본동,다방,126.983949,37.493276
24,휴게음식점,초원다방,    ,서울특별시 서초구 서초동  1538번지 1호  ,서초제3동,다방,127.00939,37.487554
25,휴게음식점,지하철다방,    ,서울특별시 서초구 방배동  924번지 11호  ,방배제1동,다방,126.995137,37.483721
26,휴게음식점,용,    ,서울특별시 서초구 반포동  747번지 14호  ,반포제1동,다방,127.02314,37.504905
27,휴게음식점,은다방,    ,서울특별시 서초구 서초동  1309번지 10호  ,서초제4동,다방,127.023669,37.502468
28,휴게음식점,하이제,    ,서울특별시 서초구 방배동  836번지 4호  ,방배제4동,과자점,126.991027,37.489994
29,휴게음식점,황태자,    ,서울특별시 서초구 방배동  487번지 1호  ,방배제3동,과자점,126.992827,37.474727
30,휴게음식점,박재진베이커리,    ,서울특별시 서초구 서초동  1334번지 0호  신동아 상가 1층,서초제2동,과자점,127.024527,37.490446
31,휴게음식점,블레도르,    ,서울특별시 서초구 방배동  795번지 23호  ,방배본동,과자점,126.989139,37.493311
32,휴게음식점,윙제과,    ,서울특별시 서초구 반포동  257번지 3호  ,반포본동,과자점,127.013497,37.499383
33,휴게음식점,초원,    ,서울특별시 서초구 잠원동  64번지 4호  ,잠원동,다방,127.009028,37.514105
