,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,맛탕수육,    ,서울특별시 송파구 삼전동  6번지 9호  (지상1층),삼전동,일반조리판매,127.090121,37.50572
1,휴게음식점,코리아세븐,    ,서울특별시 송파구 잠실동  228번지 9호  ,잠실본동,패스트푸드,127.081401,37.506643
2,휴게음식점,볼라커피숍,    ,서울특별시 송파구 풍납동  410번지 1호  ,풍납1동,다방,127.11732,37.52993
3,휴게음식점,초원다방,    ,서울특별시 송파구 마천동  190번지 42호  ,마천1동,과자점,127.153663,37.49674
4,휴게음식점,국제다방,    ,서울특별시 송파구 잠실동  184번지 11호  ,잠실본동,다방,127.083186,37.511424
5,휴게음식점,약속,    ,서울특별시 송파구 잠실동  184번지 5호  ,잠실본동,다방,127.083186,37.511424
6,휴게음식점,은성,    ,서울특별시 송파구 잠실동  184번지 7호  ,잠실본동,다방,127.083186,37.511424
7,휴게음식점,태양다방,    ,서울특별시 송파구 마천동  308번지 31호  ,마천1동,다방,127.152111,37.493918
8,휴게음식점,재동,    ,서울특별시 송파구 잠실동  175번지 7호  ,잠실본동,과자점,127.079045,37.510536
9,휴게음식점,삼보,    ,서울특별시 송파구 마천동  127번지 9호  ,마천1동,과자점,127.148501,37.497189
10,휴게음식점,왕천,    ,서울특별시 송파구 방이동  17번지 1호  ,방이2동,다방,127.116709,37.507886
11,휴게음식점,영다방,    ,서울특별시 송파구 잠실동  209번지  (2층),잠실본동,과자점,127.086325,37.509105
12,휴게음식점,유림다방,    ,서울특별시 송파구 오금동  131번지 6호  ,오금동,다방,127.139548,37.502729
13,휴게음식점,뉴욕제과신천지저,    ,서울특별시 송파구 가락동  00번지  ,가락본동,과자점,127.118402,37.495689
14,휴게음식점,세신종합분식,    ,서울특별시 송파구 거여동  290번지 1호  상가-301,거여2동,일반조리판매,127.144431,37.491078
15,휴게음식점,양지다방,    ,서울특별시 송파구 마천동  178번지 76호  ,마천1동,다방,127.151273,37.497002
16,휴게음식점,중앙다방,    ,서울특별시 송파구 잠실동  27번지 6호  중앙-   5,잠실3동,다방,127.094621,37.515197
17,휴게음식점,맛나당,    ,서울특별시 송파구 잠실동  19번지 0호  종합상가,잠실2동,과자점,127.08139,37.513987
