,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,뺑뜨비성신여대분점,    ,서울특별시 성북구 동선동2가  165번지  ,동선동,과자점,127.01994,37.590451
1,휴게음식점,호수,    ,서울특별시 성북구 삼선동5가  298번지 3호  ,삼선동,다방,127.016646,37.588639
2,휴게음식점,영,    ,서울특별시 성북구 삼선동4가  346번지  ,삼선동,다방,127.013694,37.590949
3,휴게음식점,케익하우스윈,    ,서울특별시 성북구 삼선동2가  45번지 1호  ,삼선동,과자점,127.008968,37.587863
4,휴게음식점,연도,    ,서울특별시 성북구 하월곡동  88번지 345호  ,월곡제1동,다방,127.031539,37.608459
5,휴게음식점,오두막,    ,서울특별시 성북구 종암동  68번지 1호  ,종암동,과자점,127.034186,37.5982
6,휴게음식점,경,    ,서울특별시 성북구 길음동  579번지  ,길음제1동,다방,127.023507,37.606852
7,휴게음식점,상록수,    ,서울특별시 성북구 종암동  12번지 34호  ,종암동,다방,127.036092,37.597062
8,휴게음식점,정다방,    ,서울특별시 성북구 동소문동5가  118번지 1호  ,삼선동,과자점,127.016171,37.591176
9,휴게음식점,정,    ,서울특별시 성북구 정릉동  16번지 449호  ,정릉제1동,다방,127.021709,37.601494
10,휴게음식점,성지다방,서울특별시 성북구 보문로18길 1 (보문동4가),서울특별시 성북구 보문동4가  78번지 4호  ,보문동,다방,127.021153,37.582505
11,휴게음식점,아성,    ,서울특별시 성북구 보문동1가  101번지 26호  ,보문동,다방,127.020184,37.586461
12,휴게음식점,용,    ,서울특별시 성북구 하월곡동  90번지 124호  ,월곡제1동,다방,127.031289,37.607673
13,휴게음식점,정,    ,서울특별시 성북구 하월곡동  90번지 219호  ,월곡제1동,다방,127.031289,37.607673
14,휴게음식점,심지,    ,서울특별시 성북구 안암동5가  104번지 119호  ,안암동,다방,127.029857,37.584487
15,휴게음식점,록수커피숍,    ,서울특별시 성북구 하월곡동  162번지 1호  ,월곡제1동,다방,127.032201,37.609816
16,휴게음식점,유림다방,    ,서울특별시 성북구 성북동  130번지 6호  ,성북동,다방,127.000382,37.593179
17,휴게음식점,희,    ,서울특별시 성북구 정릉동  416번지 7호  ,정릉제1동,다방,127.011353,37.605246
