,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,대성,    ,서울특별시 성동구 응봉동  200번지 1호  ,응봉동,다방,127.031432,37.550305
1,휴게음식점,성미,    ,서울특별시 성동구 하왕십리동  395번지 0호  ,왕십리도선동,다방,127.026114,37.569346
2,휴게음식점,리베로,    ,서울특별시 성동구 금호동2가  325번지  ,금호2.3가동,다방,127.019595,37.554551
3,휴게음식점,나드리커피숍,    ,서울특별시 성동구 상왕십리동  773번지 5호  ,왕십리도선동,다방,127.024786,37.565289
4,휴게음식점,학다방,서울특별시 성동구 광나루로9길 2 (송정동),서울특별시 성동구 송정동  66번지 262호  ,송정동,다방,127.067791,37.550517
5,휴게음식점,성수커피숍,    ,서울특별시 성동구 성수동2가  289번지 4호  ,성수2가제1동,다방,127.053928,37.548695
6,휴게음식점,두꺼비,    ,서울특별시 성동구 홍익동  469번지 1호  ,왕십리도선동,다방,127.029787,37.567159
7,휴게음식점,복,    ,서울특별시 성동구 송정동  67번지 11호  ,송정동,다방,127.064241,37.548398
8,휴게음식점,월성,    ,서울특별시 성동구 행당동  133번지 5호  ,행당제1동,다방,127.037367,37.558689
9,휴게음식점,수,    ,서울특별시 성동구 상왕십리동  96번지 30호  ,왕십리도선동,다방,127.023904,37.569517
10,휴게음식점,대도,    ,서울특별시 성동구 행당동  212번지 5호  ,행당제1동,다방,127.036572,37.560709
11,휴게음식점,우석,    ,서울특별시 성동구 금호동2가  325번지 0호  ,금호2.3가동,다방,127.019595,37.554551
12,휴게음식점,대동,    ,서울특별시 성동구 마장동  772번지 2호  ,마장동,다방,127.043162,37.566701
13,휴게음식점,금호,    ,서울특별시 성동구 금호동3가  421번지 0호  ,금호2.3가동,다방,127.021385,37.548393
14,휴게음식점,영다방,    ,서울특별시 성동구 금호동2가  1146번지 0호  ,금호2.3가동,다방,127.024699,37.550214
15,휴게음식점,왕다방,서울특별시 성동구 광나루로 296 (성수동2가),서울특별시 성동구 성수동2가  45번지  ,성수2가제3동,다방,127.060855,37.536901
16,휴게음식점,설파,    ,서울특별시 성동구 행당동  267번지 12호  ,사근동,다방,127.035048,37.560373
17,휴게음식점,약속,    ,서울특별시 성동구 송정동  66번지 29호  ,송정동,다방,127.067791,37.550517
18,휴게음식점,삼거리,서울특별시 성동구 왕십리로 362 (도선동),서울특별시 성동구 도선동  363번지  ,왕십리도선동,다방,127.030367,37.564326
19,휴게음식점,우희,서울특별시 성동구 독서당로 295-1 (금호동3가),서울특별시 성동구 금호동3가  413번지  ,금호2.3가동,다방,127.021837,37.548397
20,휴게음식점,학다방,서울특별시 성동구 왕십리로 296-1 (행당동197-1),서울특별시 성동구 행당동  196번지 27호  197-1,사근동,다방,127.036802,37.561306
21,휴게음식점,수정다방,    ,서울특별시 성동구 성수동1가  661번지 2호  ,성수1가제2동,다방,127.045115,37.545821
22,휴게음식점,청수,    ,서울특별시 성동구 성수동1가  656번지 947호  ,성수1가제2동,다방,127.04452,37.544537
23,휴게음식점,대영,    ,서울특별시 성동구 행당동  251번지 2호  ,행당제1동,다방,127.036232,37.559797
24,휴게음식점,파리바게트(한양대점),    ,서울특별시 성동구 행당동  25번지 1호  ,사근동,과자점,127.04113,37.558314
25,휴게음식점,파이데이아,    ,서울특별시 성동구 금호동1가  506번지 5호  ,금호1가동,과자점,127.020534,37.554595
26,휴게음식점,윈베이커리,    ,서울특별시 성동구 행당동  267번지 17호  ,행당제1동,과자점,127.035048,37.560373
27,휴게음식점,칠성제과,    ,서울특별시 성동구 금호동2가  1146번지 0호  ,금호2.3가동,과자점,127.024699,37.550214
28,휴게음식점,독일제과,    ,서울특별시 성동구 홍익동  335번지 0호  ,왕십리도선동,과자점,127.032219,37.566404
29,휴게음식점,성림다방,    ,서울특별시 성동구 도선동  185번지 27호  ,왕십리도선동,다방,127.033838,37.564643
30,휴게음식점,문,    ,서울특별시 성동구 도선동  48번지 0호  ,왕십리도선동,다방,127.034185,37.562321
31,휴게음식점,프랑스,    ,서울특별시 성동구 성수동2가  275번지 8호  ,성수2가제3동,다방,127.060525,37.541548
32,휴게음식점,한양,    ,서울특별시 성동구 행당동  28번지 6호  ,사근동,다방,127.041187,37.557377
33,휴게음식점,거북과자점,    ,서울특별시 성동구 행당동  292번지 50호  ,행당제1동,과자점,127.03284,37.561328
34,휴게음식점,은호,    ,서울특별시 성동구 성수동2가  301번지 88호  ,성수2가제3동,다방,127.052367,37.545916
35,휴게음식점,천수,    ,서울특별시 성동구 성수동2가  280번지 39호  ,성수2가제3동,다방,127.065918,37.546456
36,휴게음식점,낙원,    ,서울특별시 성동구 성수동1가  13번지 442호  ,성수1가제2동,다방,127.048081,37.547467
37,휴게음식점,프린스제과,    ,서울특별시 성동구 성수동2가  289번지 230호  ,성수2가제3동,과자점,127.053928,37.548695
38,휴게음식점,불란서제과,    ,서울특별시 성동구 용답동  98번지 4호  ,용답동,과자점,127.052174,37.56653
39,휴게음식점,그다방,    ,서울특별시 성동구 홍익동  132번지  ,왕십리도선동,다방,127.0361,37.564814
40,휴게음식점,부산뉴욕,    ,서울특별시 성동구 금호동2가  449번지 1호  ,금호2.3가동,과자점,127.019769,37.554219
41,휴게음식점,삼성,    ,서울특별시 성동구 상왕십리동  171번지 0호  ,왕십리도선동,다방,127.023708,37.568082
42,휴게음식점,칠,    ,서울특별시 성동구 성수동2가  280번지 41호  ,성수2가제3동,다방,127.065918,37.546456
43,휴게음식점,정원,    ,서울특별시 성동구 용답동  234번지 0호  ,용답동,다방,127.066255,37.560218
44,휴게음식점,대호다방,    ,서울특별시 성동구 성수동1가  16번지 41호  ,성수1가제1동,다방,127.049521,37.546407
45,휴게음식점,성동,    ,서울특별시 성동구 도선동  573번지 1호  ,왕십리도선동,다방,127.032316,37.564162
46,휴게음식점,제일커피숍,    ,서울특별시 성동구 성수동2가  300번지 79호  ,성수2가제1동,커피숍,127.055091,37.547992
47,휴게음식점,꽃,    ,서울특별시 성동구 금호동1가  506번지  ,금호1가동,다방,127.020534,37.554595
48,휴게음식점,수석,    ,서울특별시 성동구 마장동  573번지 1호  ,마장동,다방,127.036549,37.567701
49,휴게음식점,대동,    ,서울특별시 성동구 마장동  761번지 3호  ,마장동,다방,127.04028,37.571633
50,휴게음식점,회운,    ,서울특별시 성동구 상왕십리동  16번지 21호  ,왕십리도선동,다방,127.023888,37.570787
51,휴게음식점,한일,    ,서울특별시 성동구 성수동2가  278번지 25호  ,성수2가제1동,다방,127.060014,37.547977
52,휴게음식점,장안다방,    ,서울특별시 성동구 용답동  234번지  A동가열35호,용답동,다방,127.066255,37.560218
53,휴게음식점,청탑,    ,서울특별시 성동구 용답동  234번지  A-지-가-2559호,용답동,다방,127.066255,37.560218
54,휴게음식점,뉴욕,    ,서울특별시 성동구 성수동1가  22번지 24호  ,성수1가제1동,다방,127.050361,37.543485
55,휴게음식점,백조다방,    ,서울특별시 성동구 금호동1가  182번지 5호  ,금호1가동,다방,127.02376,37.555396
56,휴게음식점,크라운제과분점,    ,서울특별시 성동구 행당동  19번지 98호  ,사근동,과자점,127.04404,37.555562
57,휴게음식점,몽블랑,    ,서울특별시 성동구 송정동  57번지 20호  ,송정동,과자점,127.067791,37.550517
58,휴게음식점,샤모니,    ,서울특별시 성동구 성수동2가  565번지 4호  ,성수2가제1동,과자점,127.055124,37.538243
59,휴게음식점,브레드하우스그랑젤,    ,서울특별시 성동구 성수동2가  314번지 6호  ,성수2가제1동,과자점,127.053474,37.543393
60,휴게음식점,정,    ,서울특별시 성동구 성수동2가  246번지 7호  ,성수2가제1동,다방,127.061177,37.538255
61,휴게음식점,기지다방,    ,서울특별시 성동구 용답동  57번지 20호  ,용답동,다방,127.052598,37.564335
62,휴게음식점,한일,    ,서울특별시 성동구 마장동  767번지 36호  ,마장동,다방,127.043993,37.568933
63,휴게음식점,선수촌,    ,서울특별시 성동구 용답동  234번지 0호  ,용답동,다방,127.066255,37.560218
64,휴게음식점,학,    ,서울특별시 성동구 성수동2가  212번지 1호  ,성수2가제1동,다방,127.059544,37.535846
65,휴게음식점,은성,    ,서울특별시 성동구 상왕십리동  12번지 45호  ,왕십리도선동,다방,127.025398,37.570385
66,휴게음식점,천우,    ,서울특별시 성동구 상왕십리동  212번지 2호  ,왕십리도선동,다방,127.025536,37.567683
67,휴게음식점,한일다방,    ,서울특별시 성동구 상왕십리동  12번지 49호  ,왕십리도선동,다방,127.025398,37.570385
68,휴게음식점,홍실,    ,서울특별시 성동구 성수동1가  612번지 17호  ,성수1가제1동,다방,127.045646,37.539654
69,휴게음식점,솔,서울특별시 성동구 자동차시장1길 90 (용답동),서울특별시 성동구 용답동  234번지 지하B -57-58,용답동,다방,127.066255,37.560218
70,휴게음식점,궁전,    ,서울특별시 성동구 하왕십리동  919번지 1호  ,왕십리제2동,다방,127.029256,37.564506
71,휴게음식점,길,    ,서울특별시 성동구 행당동  227번지 1호  ,행당제1동,다방,127.037045,37.559965
72,휴게음식점,창일,    ,서울특별시 성동구 응봉동  193번지 79호  ,응봉동,다방,127.033638,37.550332
73,휴게음식점,나그랑,    ,서울특별시 성동구 성수동2가  289번지 273호  ,성수2가제3동,다방,127.053928,37.548695
74,휴게음식점,돌,    ,서울특별시 성동구 용답동  234번지 0호  ,용답동,다방,127.066255,37.560218
75,휴게음식점,노블커피솝,    ,서울특별시 성동구 성수동2가  275번지 52호  ,성수2가제1동,다방,127.060525,37.541548
76,휴게음식점,길목,    ,서울특별시 성동구 성수동2가  299번지 150호  ,성수2가제1동,다방,127.054787,37.546061
77,휴게음식점,한영,    ,서울특별시 성동구 마장동  791번지 9호  ,마장동,다방,127.043425,37.56555
78,휴게음식점,호,    ,서울특별시 성동구 성수동2가  315번지 1호  ,성수2가제1동,다방,127.054047,37.544623
79,휴게음식점,꽃,    ,서울특별시 성동구 성수동2가  564번지 1호  ,성수2가제1동,다방,127.054889,37.53707
