,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,정,    ,서울특별시 양천구 목동  404번지 76호  ,목1동,다방,126.864511,37.54325
1,휴게음식점,양지다방,    ,서울특별시 양천구 신정동  1190번지 7호  ,신정3동,다방,126.851626,37.520825
2,휴게음식점,호수다방,    ,서울특별시 양천구 목동  515번지 0호  ,목2동,다방,126.875164,37.546695
3,휴게음식점,째즈,    ,서울특별시 양천구 신정동  1030번지 5호  ,신정1동,다방,126.853902,37.520685
4,휴게음식점,동원,    ,서울특별시 양천구 신정동  1031번지 31호  ,신정3동,다방,126.853289,37.52085
5,휴게음식점,성심,    ,서울특별시 양천구 목동  792번지 6호  ,목4동,다방,126.864485,37.533032
6,휴게음식점,재벌커피숍,    ,서울특별시 양천구 신정동  994번지 2호  ,신정4동,다방,126.863672,37.52541
7,휴게음식점,로즈마리명과,    ,서울특별시 양천구 목동  514번지 3호  ,목2동,과자점,126.873931,37.546647
8,휴게음식점,대영다방,    ,서울특별시 양천구 신월동  550번지 5호  ,신월6동,다방,126.841128,37.517172
9,휴게음식점,한일,    ,서울특별시 양천구 신정동  900번지 14호  ,신정4동,다방,126.86359,37.527887
10,휴게음식점,영남,    ,서울특별시 양천구 목동  405번지 135호  ,목1동,다방,126.874211,37.523502
11,휴게음식점,귀거래,    ,서울특별시 양천구 목동  731번지 12호  ,목4동,다방,126.864135,37.537434
12,휴게음식점,남진커피숍,    ,서울특별시 양천구 신정동  987번지 1호  ,신정4동,다방,126.859687,37.524894
13,휴게음식점,뉴욕분점공항?35?,    ,서울특별시 양천구 목동  603번지 8호  ,목3동,과자점,126.867602,37.549064
14,휴게음식점,몽블랑제과,    ,서울특별시 양천구 목동  655번지 2호  ,목3동,과자점,126.863408,37.545789
15,휴게음식점,빵이랑케익이랑,    ,서울특별시 양천구 신월동  116번지 31호  ,신월1동,과자점,126.836921,37.531709
16,휴게음식점,목동,    ,서울특별시 양천구 목동  405번지 281호  ,목1동,다방,126.874211,37.523502
17,휴게음식점,영,    ,서울특별시 양천구 목동  405번지 308호  ,목1동,다방,126.874211,37.523502
18,휴게음식점,신월다방,    ,서울특별시 양천구 신월동  145번지 1호  ,신월1동,다방,126.829663,37.534962
19,휴게음식점,블랑쉬과자점,    ,서울특별시 양천구 신월동  166번지 4호  ,신월3동,과자점,126.828448,37.533797
20,휴게음식점,풍차,    ,서울특별시 양천구 신월동  116번지 32호  ,신월1동,다방,126.836921,37.531709
21,휴게음식점,원다방,    ,서울특별시 양천구 신월동  512번지 7호  ,신월2동,다방,126.844334,37.521285
22,휴게음식점,덕수,    ,서울특별시 양천구 목동  507번지 20호  ,목2동,다방,126.871366,37.546379
23,휴게음식점,샤모니베이커리,    ,서울특별시 양천구 신정동  978번지 14호  ,신정4동,과자점,126.857026,37.522039
24,휴게음식점,쁘리미엘과자점,    ,서울특별시 양천구 신정동  953번지 8호  ,신정4동,과자점,126.857241,37.525051
25,휴게음식점,아람제과,    ,서울특별시 양천구 목동  793번지 1호  ,목4동,과자점,126.864117,37.532632
26,휴게음식점,까망스다방,    ,서울특별시 양천구 목동  603번지 5호  ,목3동,다방,126.867602,37.549064
27,휴게음식점,꽃,    ,서울특별시 양천구 목동  603번지 17호  ,목3동,다방,126.867602,37.549064
28,휴게음식점,서정,    ,서울특별시 양천구 신정동  118번지 0호  ,신정2동,다방,126.874644,37.521767
29,휴게음식점,호수,    ,서울특별시 양천구 신정동  1028번지 5호  ,신정1동,다방,126.856756,37.521226
30,휴게음식점,흙다방,    ,서울특별시 양천구 신정동  1027번지 10호  ,신정1동,다방,126.858609,37.52137
31,휴게음식점,영,    ,서울특별시 양천구 신정동  978번지 15호  ,신정4동,다방,126.857026,37.522039
32,휴게음식점,엄마,    ,서울특별시 양천구 신정동  1032번지 16호  ,신정3동,다방,126.853362,37.519778
33,휴게음식점,호정,    ,서울특별시 양천구 목동  719번지 11호  ,목3동,다방,126.865931,37.539885
