,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,용궁다방,    ,서울특별시 영등포구 문래동1가  22번지 16호  ,문래동,다방,126.9008,37.513994
1,휴게음식점,린네스가든,서울특별시 영등포구 여의나루로 77-1 (여의도동102호),서울특별시 영등포구 여의도동  24번지 2호  102호,여의동,다방,126.92688,37.524605
2,휴게음식점,린네스가든,서울특별시 영등포구 여의나루로 77-1 (여의도동102호),서울특별시 영등포구 여의도동  24번지 2호  102호,여의동,다방,126.92688,37.524605
3,휴게음식점,린네스가든,서울특별시 영등포구 여의나루로 77-1 (여의도동102호),서울특별시 영등포구 여의도동  24번지 2호  102호,여의동,다방,126.92688,37.524605
4,휴게음식점,뉴욕제과,    ,서울특별시 영등포구 여의도동  1번지 140호  ,여의동,과자점,126.916558,37.530385
5,휴게음식점,휠라휘프,    ,서울특별시 영등포구 영등포동4가  441번지 21호  ,영등포동,백화점,126.905032,37.517025
6,휴게음식점,희,    ,서울특별시 영등포구 영등포동4가  426번지 71호  지하1층,영등포동,다방,126.90527,37.516189
7,휴게음식점,궁전,    ,서울특별시 영등포구 영등포동6가  79번지 0호  지하1층,영등포동,다방,126.90359,37.520444
8,휴게음식점,한성,    ,서울특별시 영등포구 영등포동3가  3번지 2호  ,영등포동,다방,126.908101,37.519081
9,휴게음식점,영,    ,서울특별시 영등포구 영등포동5가  6번지 0호  ,영등포동,다방,126.907435,37.519741
10,휴게음식점,뉴욕,    ,서울특별시 영등포구 영등포동6가  79번지 6호  ,영등포동,다방,126.90359,37.520444
11,휴게음식점,경원블루,서울특별시 영등포구 영등포로 253 (영등포동2가),서울특별시 영등포구 영등포동2가  175번지 0호  ,영등포동,다방,126.909761,37.519267
12,휴게음식점,로타리다방,    ,서울특별시 영등포구 영등포동2가  143번지 0호  ,영등포동,다방,126.912016,37.519009
13,휴게음식점,비전다방,    ,서울특별시 영등포구 신길동  252번지 1호  ,신길1동,다방,126.910542,37.505254
14,휴게음식점,신신다방,    ,서울특별시 영등포구 신길동  249번지 38호  ,신길3동,다방,126.910862,37.50423
15,휴게음식점,풍차다방,    ,서울특별시 영등포구 영등포동5가  25번지 1호  ,영등포동,다방,126.905957,37.520304
16,휴게음식점,명문,    ,서울특별시 영등포구 양평동4가  147번지 0호  ,양평2동,다방,126.895613,37.537445
17,휴게음식점,동궁다방,    ,서울특별시 영등포구 영등포동3가  491번지 5호  ,영등포동,다방,126.909023,37.517918
18,휴게음식점,금성다방,    ,서울특별시 영등포구 영등포동3가  7번지 25호  ,영등포동,다방,126.905887,37.518862
19,휴게음식점,케익하우스엠마,    ,서울특별시 영등포구 대림동  960번지 4호  ,대림1동,과자점,126.90767,37.492009
20,휴게음식점,영원다방,서울특별시 영등포구 영중로 65 (영등포동6가),서울특별시 영등포구 영등포동6가  11번지 0호  ,영등포동,다방,126.904538,37.522165
21,휴게음식점,쵸이,    ,서울특별시 영등포구 영등포동4가  53번지 0호  ,영등포동,다방,126.904593,37.519958
22,휴게음식점,역전과역마차,    ,서울특별시 영등포구 영등포동  618번지 3호  ,영등포본동,다방,126.908765,37.513104
23,휴게음식점,오뚜기다실,    ,서울특별시 영등포구 영등포동3가  1번지 9호  ,영등포동,다방,126.911404,37.518354
24,휴게음식점,신성,서울특별시 영등포구 영등포로 255 (영등포동2가),서울특별시 영등포구 영등포동2가  177번지 2호  ,영등포동,다방,126.90983,37.519187
25,휴게음식점,흑장미,    ,서울특별시 영등포구 양평동1가  28번지 2호  ,양평1동,다방,126.889586,37.522719
26,휴게음식점,궁전,    ,서울특별시 영등포구 신길동  209번지 103호  ,신길4동,다방,126.913545,37.507949
27,휴게음식점,영신,    ,서울특별시 영등포구 영등포동5가  18번지 1호  ,영등포동,다방,126.906819,37.520105
28,휴게음식점,공간커피숍,    ,서울특별시 영등포구 대림동  991번지 5호  ,대림2동,다방,126.904628,37.489657
