,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,동심,    ,서울특별시 용산구 한강로1가  23번지 1호  ,한강로동,다방,126.974947,37.535502
1,휴게음식점,여백,    ,서울특별시 용산구 한강로2가  351번지 0호  ,한강로동,다방,126.965944,37.528675
2,휴게음식점,귀향,서울특별시 용산구 한강대로80길 10 (남영동),서울특별시 용산구 남영동  94번지 6호  ,남영동,다방,126.973495,37.542373
3,휴게음식점,해림,    ,서울특별시 용산구 원효로2가  86번지 8호  ,원효로제1동,다방,126.96204,37.535308
4,휴게음식점,중원,    ,서울특별시 용산구 문배동  11번지 0호  ,원효로제1동,다방,126.970076,37.537595
5,휴게음식점,우리,    ,서울특별시 용산구 원효로2가  3번지 15호  ,원효로제1동,다방,126.965676,37.53743
6,휴게음식점,선향,    ,서울특별시 용산구 한강로3가  61번지 0호  ,한강로동,다방,126.964643,37.525393
7,휴게음식점,역전,    ,서울특별시 용산구 동자동  43번지 66호  ,남영동,다방,126.972145,37.550047
8,휴게음식점,은하,    ,서울특별시 용산구 원효로1가  133번지 11호  ,원효로제1동,다방,126.967895,37.53818
9,휴게음식점,성남,    ,서울특별시 용산구 남영동  84번지 8호  ,남영동,다방,126.972949,37.542603
10,휴게음식점,샘,    ,서울특별시 용산구 후암동  244번지 57호  ,후암동,다방,126.978117,37.548658
11,휴게음식점,케익나라,서울특별시 용산구 효창원로69길 4 (효창동),서울특별시 용산구 효창동  5번지 34호  ,효창동,기타 휴게음식점,126.962577,37.545504
12,휴게음식점,황금제과점,    ,서울특별시 용산구 원효로2가  84번지 1호  ,원효로제1동,과자점,126.961476,37.535988
13,휴게음식점,대원,    ,서울특별시 용산구 문배동  24번지 1호  ,원효로제1동,다방,126.969292,37.536192
14,휴게음식점,청일,    ,서울특별시 용산구 청파동1가  162번지  ,청파동,다방,126.969599,37.548394
15,휴게음식점,임,    ,서울특별시 용산구 원효로1가  133번지 29호  ,원효로제1동,과자점,126.967895,37.53818
16,휴게음식점,미,    ,서울특별시 용산구 한강로2가  103번지 1호  ,한강로동,다방,126.970645,37.531536
17,휴게음식점,삼해,    ,서울특별시 용산구 한강로2가  137번지 2호  ,한강로동,다방,126.969674,37.530599
18,휴게음식점,응접실,    ,서울특별시 용산구 한강로2가  218번지 0호  ,한강로동,다방,126.965938,37.526692
19,휴게음식점,복,    ,서울특별시 용산구 문배동  33번지 0호  ,원효로제1동,다방,126.969667,37.536051
20,휴게음식점,한성,    ,서울특별시 용산구 갈월동  8번지 3호  ,남영동,다방,126.972975,37.547324
21,휴게음식점,제일다방,    ,서울특별시 용산구 이촌동  301번지 139호  ,이촌제1동,과자점,126.97812,37.516887
22,휴게음식점,커피마을,    ,서울특별시 용산구 한강로2가  256번지 2호  ,한강로동,다방,126.970589,37.532355
23,휴게음식점,종점,    ,서울특별시 용산구 후암동  418번지 1호  ,후암동,다방,126.982258,37.547071
24,휴게음식점,약속다방,    ,서울특별시 용산구 남영동  12번지 2호  (지하1층),남영동,다방,126.973144,37.544911
25,휴게음식점,보리수,    ,서울특별시 용산구 원효로1가  39번지 1호  ,원효로제1동,다방,126.9688,37.540683
26,휴게음식점,금정,    ,서울특별시 용산구 동자동  11번지 3호  ,남영동,기타 휴게음식점,126.975122,37.553344
27,휴게음식점,비둘기,    ,서울특별시 용산구 용산동2가  1번지 21호  ,용산2가동,다방,126.980066,37.545124
28,휴게음식점,한강,    ,서울특별시 용산구 한강로3가  65번지 9호  ,한강로동,다방,126.965041,37.525297
29,휴게음식점,학,    ,서울특별시 용산구 한강로2가  225번지 6호  ,한강로동,다방,126.966932,37.527638
30,휴게음식점,은도,    ,서울특별시 용산구 한강로2가  331번지 1호  ,한강로동,다방,126.966786,37.528349
31,휴게음식점,연진,    ,서울특별시 용산구 용문동  41번지 19호  ,용문동,다방,126.959206,37.537283
32,휴게음식점,장미,    ,서울특별시 용산구 동자동  43번지 79호  ,남영동,다방,126.972145,37.550047
