"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3090000","104","1988","01078","휴게음식점","19881013","수정","서울특별시 도봉구 덕릉로 253 지하1층 (창동)","서울특별시 도봉구 창동  601번지 32호  ","61.90","  02 9936900  ","20040416","","19881013","창제2동","","","","다방","0","0","1","1","0","","비대상","상수도전용","지하","0","1","","","","","","","8.16","0.00","0.00","0.00","0.00","4.00","0.00","53.74","","","","","3090000-104-1988-01078","","","","","","내국인","대한민국"
"3090000","104","1984","03148","휴게음식점","19840522","동화","서울특별시 도봉구 도봉로110길 9 (창동)","서울특별시 도봉구 창동  655번지 10호  ","74.54","  02 9057734  ","19961105","","19961105","창제1동","20180418","자진폐업","영업부진","다방","","","1","1","","","비대상","상수도전용","","0","0","","","","","","","5.75","60.09","0.00","0.00","0.00","6.00","8.70","0.00","","","","","3090000-104-1984-03148","","","","","","내국인","대한민국"
"3090000","104","1977","02852","휴게음식점","19770826","원다방","서울특별시 도봉구 덕릉로 212 지하1층 (창동)","서울특별시 도봉구 창동  552번지 42호  지하1층","100.23","  02 9937503  ","19770826","","19770826","창제3동","20190225","자진폐업","","다방","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","11.91","0.00","0.00","0.00","0.00","2.00","7.93","80.39","","","","","3090000-104-1977-02852","","","","","","내국인","대한민국"
"3090000","104","2003","00004","휴게음식점","20030114","세븐일레븐(창동점)","서울특별시 도봉구 덕릉로63가길 42 (창동)","서울특별시 도봉구 창동  593번지 12호  ","6.60","  02 9039158  ","20200128","(주)코리아세븐","20030114","창제2동","","","","편의점","1","1","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","0.00","0.00","0.00","6.60","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2003-00004","","","","","","내국인","대한민국"
"3090000","104","2003","00004","휴게음식점","20030114","세븐일레븐(창동점)","서울특별시 도봉구 덕릉로63가길 42 (창동)","서울특별시 도봉구 창동  593번지 12호  ","6.60","  02 9039158  ","20140509","(주)코리아세븐","20030114","창제2동","","","","편의점","1","1","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","0.00","0.00","0.00","6.60","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2003-00004","","","","","","내국인","대한민국"
"3090000","104","2002","00027","휴게음식점","20020716","유선식품","서울특별시 도봉구 마들로11길 20 지하1층 (창동)","서울특별시 도봉구 창동  1번지 10호  지하1층","20.90","  0234923285  ","20020716","","20080828","창제4동","","","","일반조리판매","","","1","1","","","비대상","상수도전용","지상","","","","","","","","","0.00","0.00","0.00","20.90","0.00","0.00","0.00","0.00","","","","","3090000-104-2002-00027","","","","","","내국인","대한민국"
"3090000","104","2001","05563","휴게음식점","20010514","(주)이마트창동점회코너","서울특별시 도봉구 노해로65길 4 (창동)","서울특별시 도봉구 창동  135번지 26호  ","","  02 9011234  ","20200421","(주)이마트","20010514","창제5동","","","","일반조리판매","","","1","1","","","비대상","","지하","","","","","","","","","","","","6.60","","","","","","","","","3090000-104-2001-05563","","","","","","내국인","대한민국"
"3090000","104","2001","05563","휴게음식점","20010514","(주)이마트창동점회코너","서울특별시 도봉구 노해로65길 4 (창동)","서울특별시 도봉구 창동  135번지 26호  ","","  02 9011234  ","20140407","(주)이마트","20010514","창제5동","","","","일반조리판매","","","1","1","","","비대상","","지하","","","","","","","","","","","","6.60","","","","","","","","","3090000-104-2001-05563","","","","","","내국인","대한민국"
"3090000","104","2000","05116","휴게음식점","20000608","롯데리아(쌍문역점)","서울특별시 도봉구 도봉로 484 12층 (창동)","서울특별시 도봉구 창동  659번지 12호  ","211.20","  02 9956263  ","20190418","","20000608","창제1동","","","","패스트푸드","1","2","0","0","0","","비대상","","","0","0","","","","","","","0.00","0.00","0.00","211.20","0.00","0.00","0.00","0.00","","","","","3090000-104-2000-05116","","","","","","내국인","대한민국"
"3090000","104","2000","05116","휴게음식점","20000608","롯데리아(쌍문역점)","서울특별시 도봉구 도봉로 484 12층 (창동)","서울특별시 도봉구 창동  659번지 12호  ","211.20","  02 9956263  ","20160425","","20000608","창제1동","","","","패스트푸드","1","2","0","0","0","","비대상","","","0","0","","","","","","","0.00","0.00","0.00","211.20","0.00","0.00","0.00","0.00","","","","","3090000-104-2000-05116","","","","","","내국인","대한민국"
"3090000","104","2000","05063","휴게음식점","20000426","전통구둘차방","서울특별시 도봉구 해등로 81 (창동)","서울특별시 도봉구 창동  341번지 0호  ","25.83","              ","20000426","","20000426","창제1동","20140317","행정처분","행정처분","전통찻집","","","","","","","비대상","상수도전용","","0","0","","","","","","","2.70","0.00","0.00","0.00","4.35","0.00","0.00","18.78","","","","","3090000-104-2000-05063","","","","","","내국인","대한민국"
"3090000","104","2005","00023","휴게음식점","20050616","생생돈까스 창동점","서울특별시 도봉구 마들로11길 20 지하1층 (창동 농협창동유통센터)","서울특별시 도봉구 창동  1번지 10호  농협창동유통센터 지하1층","20.52","010*******","20050616","","20050616","창제4동","","","","일반조리판매","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","0.00","0.00","0.00","20.52","0.00","0.00","0.00","0.00","","","","","3090000-104-2005-00023","","","","","","내국인","대한민국"
"3090000","104","2005","00018","휴게음식점","20050419","배스킨라빈스 쌍문역점","서울특별시 도봉구 도봉로 468 (창동홍일빌딩 104 104-1호)","서울특별시 도봉구 창동  655번지 20호  홍일빌딩 104 104-1호","79.20","  02 9083135  ","20191231","","20050419","창제1동","","","","패스트푸드","0","0","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","0.00","0.00","0.00","79.20","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2005-00018","","","","","","내국인","대한민국"
"3090000","104","2005","00018","휴게음식점","20050419","배스킨라빈스 쌍문역점","서울특별시 도봉구 도봉로 468 (창동홍일빌딩 104 104-1호)","서울특별시 도봉구 창동  655번지 20호  홍일빌딩 104 104-1호","79.20","  02 9083135  ","20100830","","20050419","창제1동","","","","패스트푸드","0","0","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","0.00","0.00","0.00","79.20","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2005-00018","","","","","","내국인","대한민국"
"3090000","104","2005","00018","휴게음식점","20050419","베스킨라빈스","서울특별시 도봉구 도봉로 468 (창동홍일빌딩 104 104-1호)","서울특별시 도봉구 창동  655번지 20호  홍일빌딩 104 104-1호","79.20","  02 9083135  ","20191231","","20050419","창제1동","","","","패스트푸드","0","0","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","0.00","0.00","0.00","79.20","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2005-00018","","","","","","내국인","대한민국"
"3090000","104","2005","00018","휴게음식점","20050419","베스킨라빈스","서울특별시 도봉구 도봉로 468 (창동홍일빌딩 104 104-1호)","서울특별시 도봉구 창동  655번지 20호  홍일빌딩 104 104-1호","79.20","  02 9083135  ","20100830","","20050419","창제1동","","","","패스트푸드","0","0","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","0.00","0.00","0.00","79.20","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2005-00018","","","","","","내국인","대한민국"
"3090000","104","2004","00015","휴게음식점","20040531","제일","서울특별시 도봉구 노해로70길 112 상가동 102호 (창동 상계주공18단지 )","서울특별시 도봉구 창동  30번지  ","6.60","  02 9064521  ","20040531","","20040531","창제4동","","","","일반조리판매","1","1","0","0","0","20040818","비대상","","지상","0","0","","","","","","","0.00","0.00","0.00","6.60","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2004-00015","","","","","","내국인","대한민국"
"3090000","104","2003","00038","휴게음식점","20030709","도봉종합골프연습장","서울특별시 도봉구 해등로3길 69-21 (창동(1층))","서울특별시 도봉구 창동  산 126번지 1호  (1층)","102.00","  02 9080707  ","20030709","","20030709","창제1동","","","","일반조리판매","1","1","0","","0","20030723","비대상","상수도전용","지상","0","0","","","","","","","0.00","0.00","0.00","102.00","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2003-00038","","","","","","내국인",""
"3090000","104","2003","00020","휴게음식점","20030326","(주)이마트창동점초밥코너","서울특별시 도봉구 노해로65길 4 (창동)","서울특별시 도봉구 창동  135번지 26호  ","19.44","  02 9011052  ","20200421","(주)이마트","20030326","창제4동","","","","기타 휴게음식점","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","0.00","0.00","0.00","19.44","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2003-00020","","","","","","내국인","대한민국"
"3090000","104","2003","00020","휴게음식점","20030326","(주)이마트창동점초밥코너","서울특별시 도봉구 노해로65길 4 (창동)","서울특별시 도봉구 창동  135번지 26호  ","19.44","  02 9011052  ","20140407","(주)이마트","20030326","창제4동","","","","기타 휴게음식점","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","0.00","0.00","0.00","19.44","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2003-00020","","","","","","내국인","대한민국"
"3090000","104","2007","00006","휴게음식점","20070319","피자스쿨 신창점","서울특별시 도봉구 덕릉로 242 (창동(지상1층))","서울특별시 도봉구 창동  569번지 79호  (지상1층)","32.40","  02 9901818  ","20070319","","20070319","창제3동","","","","패스트푸드","1","1","0","0","0","20070314","비대상","상수도전용","지상","0","0","","","","","","","0.00","0.00","0.00","32.40","0.00","0.00","0.00","0.00","0.00","0.00","","","3090000-104-2007-00006","","","","","","내국인","대한민국"
