"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3050000","104","1965","09774","휴게음식점","19651120","파리","    ","서울특별시 동대문구 전농동  496번지 1호  ","78.06","  0202123058  ","19760915","","19940408","전농제1동","20150603","행정처분","행정처분","다방","2","2","0","0","3","","비대상","상수도전용","지상","0","3","","","","","","","6.48","0.00","0.00","0.00","1.89","0.00","7.29","62.40","0.00","0.00","","","3050000-104-1965-09774","","","","","","내국인","대한민국"
"3050000","104","1967","09246","휴게음식점","19671218","양지","서울특별시 동대문구 이문로 144 (이문동)","서울특별시 동대문구 이문동  258번지 17호  ","74.76","  0209683602  ","19970509","","19970509","이문제1동","20170116","행정처분","행정처분","다방","2","2","0","0","0","","비대상","상수도전용","지상","0","2","","","","","","","7.53","0.00","0.00","0.00","0.00","8.00","6.76","60.47","0.00","0.00","","","3050000-104-1967-09246","","","","","","내국인",""
"3050000","104","1968","09244","휴게음식점","19680120","동화다방","서울특별시 동대문구 왕산로 4 (신설동)","서울특별시 동대문구 신설동  101번지 7호  ","193.55","  02 9238282  ","19990420","","19960603","용신동","20150727","자진폐업","영업부진","다방","2","2","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","5.13","0.00","0.00","0.00","0.00","8.00","5.28","183.14","0.00","0.00","","","3050000-104-1968-09244","","","","","","내국인",""
"3050000","104","1968","09253","휴게음식점","19680725","새마을","    ","서울특별시 동대문구 전농동  655번지 30호  ","82.21","  0202127659  ","19931227","","19981219","전농제1동","20051229","자진폐업","자진폐업","다방","0","0","1","1","0","","비대상","상수도전용","지하","0","3","","","","","","","5.08","0.00","0.00","0.00","0.00","","9.92","67.21","0.00","0.00","","","3050000-104-1968-09253","","","","","","내국인",""
"3050000","104","1968","09293","휴게음식점","19680202","동아","    ","서울특별시 동대문구 용두동  119번지 15호  ","129.67","  0209230870  ","19970303","","19970303","용신동","20051017","자진폐업","자진폐업","다방","0","0","1","1","0","","비대상","상수도전용","지하","0","3","","","","","","","9.43","0.00","0.00","0.00","0.00","3.90","5.66","114.58","0.00","0.00","","","3050000-104-1968-09293","","","","","","내국인",""
"3050000","104","1968","09339","휴게음식점","19681228","화성","서울특별시 동대문구 답십리로 4 (용두동(답십리길 4))","서울특별시 동대문구 용두동  9번지 7호  (답십리길 4)","92.50","  0209666893  ","19911113","","19981219","용신동","20190502","자진폐업","","다방","0","0","1","1","0","","비대상","상수도전용","지상","0","3","","","","","","","5.67","0.00","0.00","0.00","5.77","0.00","4.41","76.65","0.00","0.00","","","3050000-104-1968-09339","","","","","","내국인","대한민국"
"3050000","104","1968","09628","휴게음식점","19681118","신호다방","    ","서울특별시 동대문구 신설동  93번지 16호  ","116.90","  0202344543  ","19921030","","19971023","용신동","20060605","자진폐업","업종변경","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","12.00","0.00","0.00","0.00","0.00","5.00","0.00","104.90","0.00","0.00","","","3050000-104-1968-09628","","","","","","내국인",""
"3050000","104","1969","09182","휴게음식점","19690210","제일","    ","서울특별시 동대문구 청량리동  761번지 0호  (왕산로 323)","131.20","  0209668329  ","19830525","","19981219","청량리동","20100708","자진폐업","개인사정","다방","2","2","0","0","0","","비대상","상수도전용","지상","0","3","","","","","","","2.20","0.00","0.00","0.00","0.00","10.00","0.00","129.00","0.00","0.00","","","3050000-104-1969-09182","","","","","","내국인",""
"3050000","104","1969","09204","휴게음식점","19690605","백궁","    ","서울특별시 동대문구 용두동  9번지 2호  (답십리길 10)","119.00","  0209628863  ","19850326","","19981219","용신동","20120910","자진폐업","영업부진","다방","0","0","0","0","0","","비대상","상수도전용","지하","0","3","","","","","","","8.55","0.00","0.00","0.00","0.00","3.60","10.45","100.00","0.00","0.00","","","3050000-104-1969-09204","","","","","","내국인",""
"3050000","104","1969","09263","휴게음식점","19691205","대동다방","서울특별시 동대문구 고산자로 391 (용두동)","서울특별시 동대문구 용두동  38번지 1호  ","123.66","  02 4597469  ","20020514","","19960624","용신동","","","","다방","2","2","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","2.86","0.00","0.00","19.43","0.00","3.80","0.00","101.37","0.00","0.00","","","3050000-104-1969-09263","","","","","","내국인",""
"3050000","104","1971","09239","휴게음식점","19710413","초원","    ","서울특별시 동대문구 용두동  712번지 68호  (왕산로 244)","70.16","  02 9665812  ","19970729","","19970729","용신동","","","","다방","0","0","0","0","0","","비대상","상수도전용","지하","0","3","","","","","","","6.23","0.00","0.00","0.00","0.00","3.60","3.04","60.89","0.00","0.00","","","3050000-104-1971-09239","","","","","","내국인",""
"3050000","104","1971","09268","휴게음식점","19710120","백조","    ","서울특별시 동대문구 전농동  602번지 4호   602-5","65.97","  02 9651395  ","20040528","","19980106","전농제1동","20070115","자진폐업","자진폐업","다방","0","0","1","1","3","20040728","비대상","상수도전용","지하","0","3","","","","","","","6.08","0.00","0.00","0.00","0.00","3.00","3.80","56.09","0.00","0.00","","","3050000-104-1971-09268","","","","","","내국인",""
"3050000","104","1971","09464","휴게음식점","19710308","커피한잔","    ","서울특별시 동대문구 청량리동  205번지 5호  ","55.66","  0209669025  ","19930326","","19981219","청량리동","20170712","행정처분","행정처분","다방","2","2","0","0","0","","비대상","상수도전용","지상","0","2","","","","","","","6.04","0.00","0.00","0.00","0.00","8.00","0.76","48.86","0.00","0.00","","","3050000-104-1971-09464","","","","","","내국인",""
"3050000","104","1975","09261","휴게음식점","19751107","태양커피숍","    ","서울특별시 동대문구 용두동  207번지 6호  (한빛길 81)","61.44","  02 9211639  ","20061120","","19981202","용신동","20150522","행정처분","행정처분","다방","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","5.31","0.00","0.00","0.00","0.00","3.80","2.70","53.43","0.00","0.00","","","3050000-104-1975-09261","","","","","","내국인","대한민국"
"3050000","104","1976","09791","휴게음식점","19760426","동성다방","서울특별시 동대문구 고산자로 484 (제기동(고산자로 240))","서울특별시 동대문구 제기동  844번지 0호  (고산자로 240)","93.16","  02 9622491  ","20000731","","19990705","제기동","20150603","행정처분","행정처분","다방","2","2","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","6.00","0.00","0.00","0.00","1.56","0.00","3.60","82.00","0.00","0.00","","","3050000-104-1976-09791","","","","","","내국인",""
"3050000","104","1978","09610","휴게음식점","19781230","장수","서울특별시 동대문구 답십리로 237 (장안동(답십리길 239))","서울특별시 동대문구 장안동  141번지 10호  (답십리길 239)","94.92","  0202456089  ","19920611","","19981219","장안제1동","20170116","행정처분","행정처분","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.50","0.00","0.00","3.38","0.00","12.00","4.42","78.62","0.00","0.00","","","3050000-104-1978-09610","","","","","","내국인",""
"3050000","104","1979","09202","휴게음식점","19791123","여심다방","    ","서울특별시 동대문구 신설동  76번지 57호  ","82.80","  02 9233866  ","20050516","","19980303","용신동","20051220","자진폐업","자진폐업","다방","2","2","0","0","0","20050525","비대상","상수도전용","지상","0","0","","","","","","","7.00","0.00","0.00","0.00","6.00","0.00","3.40","66.40","0.00","0.00","","","3050000-104-1979-09202","","","","","","내국인",""
"3050000","104","1979","09215","휴게음식점","19790402","태평양","    ","서울특별시 동대문구 답십리동  751번지  ","154.84","  0209669658  ","19981219","","19790402","답십리제1동","19910419","행정처분","행정처분","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","10.12","0.00","0.00","4.08","0.00","0.00","7.04","133.60","0.00","0.00","","","3050000-104-1979-09215","","","","","","내국인",""
"3050000","104","1979","09218","휴게음식점","19790912","학","    ","서울특별시 동대문구 답십리동  660번지  ","73.00","  0209627722  ","19920703","","19790912","답십리제1동","19920623","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","4.50","0.00","0.00","2.60","0.00","6.00","2.90","63.00","0.00","0.00","","","3050000-104-1979-09218","","","","","","내국인",""
"3050000","104","1979","09222","휴게음식점","19790919","제일","    ","서울특별시 동대문구 이문동  358번지 3호  ","90.69","  0209676424  ","19981219","","19981219","이문제2동","19901106","행정처분","행정처분","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","4.20","0.00","0.00","0.00","0.00","0.50","9.00","77.49","0.00","0.00","","","3050000-104-1979-09222","","","","","","내국인",""
"3050000","104","1979","09224","휴게음식점","19790925","맘모스","    ","서울특별시 동대문구 답십리동  450번지  ","204.04","  0209671488  ","19981219","","19790925","답십리제1동","19931211","행정처분","","다방","","","","","","","비대상","상수도전용","","0","8","","","","","","","9.24","0.00","0.00","3.00","0.00","21.00","5.50","186.30","0.00","0.00","","","3050000-104-1979-09224","","","","","","내국인",""
"3050000","104","1979","09227","휴게음식점","19791024","경","    ","서울특별시 동대문구 답십리동  505번지  ","103.32","  0209632219  ","19931218","","19791024","답십리제1동","19931213","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","4.32","0.00","0.00","4.37","9.00","0.00","5.98","79.65","0.00","0.00","","","3050000-104-1979-09227","","","","","","내국인",""
"3050000","104","1979","09230","휴게음식점","19790112","안동","    ","서울특별시 동대문구 휘경동  112번지 49호  ","105.00","  02 2443369  ","19950527","","19950527","휘경제1동","20010801","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","7.78","0.00","0.00","0.00","0.00","4.00","9.57","87.65","0.00","0.00","","","3050000-104-1979-09230","","","","","","내국인",""
"3050000","104","1979","09231","휴게음식점","19790928","영","    ","서울특별시 동대문구 답십리동  251번지  ","90.51","  02 9669416  ","19950721","","19790928","답십리제1동","19920701","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","8.75","0.00","0.00","0.00","0.00","5.20","0.00","81.76","0.00","0.00","","","3050000-104-1979-09231","","","","","","내국인",""
"3050000","104","1979","09287","휴게음식점","19790520","솔","서울특별시 동대문구 약령중앙로2길 2 (제기동)","서울특별시 동대문구 제기동  1134번지  ","86.64","  0209675679  ","20140827","","19790520","제기동","20160901","자진폐업","영업부진","다방","0","0","1","1","6","","비대상","상수도전용","지하","0","2","","","","","","","8.00","0.00","0.00","0.00","0.00","8.00","0.00","78.64","0.00","0.00","","","3050000-104-1979-09287","","","","","","내국인","대한민국"
"3050000","104","1979","09516","휴게음식점","19790929","까치커피숍","    ","서울특별시 동대문구 답십리동  490번지 16호  ","104.74","  0222445921  ","20051014","","19980928","답십리제1동","20061011","자진폐업","영업부진","다방","0","0","1","1","2","20051207","비대상","상수도전용","지하","0","3","","","","","","","10.72","0.00","0.00","2.72","0.00","4.00","0.00","91.30","0.00","0.00","","","3050000-104-1979-09516","","","","","","내국인",""
"3050000","104","1979","09756","휴게음식점","19790622","이솝","    ","서울특별시 동대문구 답십리동  465번지 55호  (천호대로 55)","103.12","  0222131430  ","20081006","","19970205","답십리제1동","20090204","자진폐업","영업부진","다방","0","0","1","1","0","20081029","비대상","상수도전용","지하","0","4","","","","","","","6.16","0.00","0.00","0.00","4.00","0.00","11.41","81.55","0.00","0.00","","","3050000-104-1979-09756","","","","","","내국인","대한민국"
