"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3190000","104","1969","01192","휴게음식점","19690319","로타리다방","    ","서울특별시 동작구 상도동  701번지 3호  ","","  02 8159356  ","19771113","","19690319","상도제1동","20000306","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","7.65","0.00","0.00","0.00","","0.00","2.09","41.93","0.00","0.00","","","3190000-104-1969-01192","","","","","","내국인",""
"3190000","104","1970","01074","휴게음식점","19701001","지성다방","    ","서울특별시 동작구 상도동  187번지 1호  ","","  02 8141228  ","19890213","","19701001","상도제3동","20080822","자진폐업","업종변경","다방","0","0","1","1","0","","비대상","상수도전용","지하","1","2","","","","","","","13.73","","","","1.20","","","102.22","","","","","3190000-104-1970-01074","","","","","","내국인",""
"3190000","104","1970","01116","휴게음식점","19700103","커피하우스","    ","서울특별시 동작구 본동  399번지 3호  ","","  02 8158409  ","20021017","","19700103","노량진제1동","20080812","자진폐업","폐업","다방","2","2","0","0","4","20020918","비대상","상수도전용","지상","1","2","","","","","","","6.49","","","1.40","1.20","","5.40","78.15","","","","","3190000-104-1970-01116","","","","","","내국인",""
"3190000","104","1970","01156","휴게음식점","19701028","아씨","    ","서울특별시 동작구 노량진동  240번지 27호  ","61.28","  02 8155225  ","19951206","","19951206","노량진제2동","19951130","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.41","0.00","0.00","0.00","0.00","6.60","3.30","49.57","0.00","0.00","","","3190000-104-1970-01156","","","","","","내국인",""
"3190000","104","1970","01183","휴게음식점","19700309","별","    ","서울특별시 동작구 노량진동  307번지 159호  ","65.96","  02 8156824  ","19971117","","19971117","노량진제2동","19971110","행정처분","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","10.09","0.00","0.00","0.00","0.00","3.30","3.79","52.08","0.00","0.00","","","3190000-104-1970-01183","","","","","","내국인",""
"3190000","104","1970","01398","휴게음식점","19700730","풍성","    ","서울특별시 동작구 상도동  105번지 1호  ","5.25","  0208155371  ","19981219","","19700730","상도제1동","19941114","행정처분","자료변환","과자점","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.25","0.00","0.00","0.00","0.00","2.10","0.00","0.00","0.00","0.00","","","3190000-104-1970-01398","","","","","","내국인",""
"3190000","104","1970","01414","휴게음식점","19700831","은좌","    ","서울특별시 동작구 노량진동  62번지 11호  ","64.08","  0208144141  ","19981219","","19981219","노량진제1동","19920103","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","4.00","0.00","0.00","0.00","6.60","0.00","4.16","49.32","0.00","0.00","","","3190000-104-1970-01414","","","","","","내국인",""
"3190000","104","1970","01576","휴게음식점","19700126","로얄제과점","    ","서울특별시 동작구 노량진동  28번지 6호  ","81.74","  02 8150276  ","19970912","","19970912","노량진제1동","19970828","자진폐업","","과자점","","","","","","","비대상","상수도전용","","1","4","","","","","","","12.60","0.00","0.00","0.00","0.00","4.50","0.00","69.14","0.00","0.00","","","3190000-104-1970-01576","","","","","","내국인",""
"3190000","104","1971","01263","휴게음식점","19710820","한냉다방","    ","서울특별시 동작구 노량진동  13번지 29호  ","130.06","  02 8158741  ","19951108","","19951108","노량진제1동","19970508","행정처분","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","9.36","0.00","0.00","0.00","0.00","6.60","3.06","117.64","0.00","0.00","","","3190000-104-1971-01263","","","","","","내국인",""
"3190000","104","1971","01389","휴게음식점","19711214","랑랑","    ","서울특별시 동작구 대방동  405번지 1호  ","141.83","  0208330523  ","19940316","","19940316","대방동","19920610","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","14.15","0.00","0.00","7.54","5.25","0.00","0.00","114.89","0.00","0.00","","","3190000-104-1971-01389","","","","","","내국인",""
"3190000","104","1972","01064","휴게음식점","19720201","중계소","    ","서울특별시 동작구 노량진동  28번지 8호  ","","  02 8159126  ","20071004","","19720201","노량진제2동","20071101","자진폐업","폐업","다방","0","0","1","1","3","","비대상","상수도전용","지하","1","3","","","","","","","12.47","","","","2.00","","7.14","114.84","","","","","3190000-104-1972-01064","","","","","","내국인","대한민국"
"3190000","104","1972","01162","휴게음식점","19721021","한일다방","    ","서울특별시 동작구 흑석동  6번지 5호  ","","  02 8159933  ","19970513","","19721021","흑석동","20080107","자진폐업","업종변경","다방","0","0","1","1","4","","비대상","상수도전용","지하","1","3","","","","","","","8.60","","","","1.20","","5.16","94.48","","","","","3190000-104-1972-01162","","","","","","내국인",""
"3190000","104","1972","01305","휴게음식점","19720131","대성다방","    ","서울특별시 동작구 사당동  134번지 7호  ","107.00","  02 5911509  ","19961224","","19961224","사당제2동","19961221","자진폐업","","다방","","","","","","","비대상","상수도(음용)지하수(주방용)겸용","","0","4","","","","","","","18.50","0.00","0.00","0.00","4.00","0.00","0.00","84.50","0.00","0.00","","","3190000-104-1972-01305","","","","","","내국인",""
