"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3110000","104","1899","06674","휴게음식점","18991230","해태다방","    ","서울특별시 은평구 응암동  738번지 0호  해태드림마트","61.80","  02 8630216  ","19991020","","20010504","응암제1동","20030118","행정처분","행정처분","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","3.06","0.00","0.00","0.00","0.00","10.00","2.55","56.19","0.00","0.00","","","3110000-104-1899-06674","","","","","","내국인",""
"3110000","104","1964","04727","휴게음식점","19640402","케익다운제과점","    ","서울특별시 은평구 대조동  224번지 24호  ","59.11","  02 3538357  ","19910704","","19790327","대조동","19990705","자진폐업","","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","2.70","0.00","0.00","0.00","0.00","3.30","0.00","56.41","0.00","0.00","","","3110000-104-1964-04727","","","","","","내국인",""
"3110000","104","1969","04870","휴게음식점","19691215","낙원다방","    ","서울특별시 은평구 응암동  87번지 10호  (지하1층)","88.27","  0203556406  ","19691215","","19691215","응암제1동","20040809","자진폐업","영업부실","다방","","","","","","","비대상","상수도전용","","1","1","","","","","","","14.80","0.00","0.00","0.00","0.00","4.20","8.97","64.50","0.00","0.00","","","3110000-104-1969-04870","","","","","","내국인",""
"3110000","104","1969","04973","휴게음식점","19690403","은하수","    ","서울특별시 은평구 대조동  185번지 5호  (지하1층)","66.63","  02 3550803  ","20090217","","19690403","대조동","20100929","자진폐업","영업부진","다방","0","0","1","1","0","20090211","비대상","상수도전용","지하","0","3","","","","","","","6.16","0.00","0.00","0.00","0.00","4.80","3.92","56.55","0.00","0.00","","","3110000-104-1969-04973","","","","","","내국인","대한민국"
"3110000","104","1970","04872","휴게음식점","19700521","삼화다방","    ","서울특별시 은평구 응암동  97번지 1호  (지상2층)","97.96","  0203555073  ","19950801","","19700521","응암제1동","20031205","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","","2","","","","","","","4.56","0.00","0.00","0.00","2.60","","3.80","87.00","0.00","0.00","","","3110000-104-1970-04872","","","","","","내국인",""
"3110000","104","1970","04938","휴게음식점","19701016","진궁","    ","서울특별시 은평구 수색동  368번지 1호  (지하1층)","96.39","  02 3728263  ","20091102","","19701016","수색동","20091202","자진폐업","업종변경","다방","0","0","1","1","0","","비대상","상수도전용","지하","0","3","","","","","","","5.09","0.00","0.00","0.00","2.60","4.90","6.47","82.23","0.00","0.00","","","3110000-104-1970-04938","","","","","","내국인","대한민국"
"3110000","104","1970","04994","휴게음식점","19700917","청자다방","서울특별시 은평구 은평로10길 2 (응암동 지하1층)","서울특별시 은평구 응암동  103번지 2호  (지하1층)","137.60","  02 3556446  ","20161128","","19700917","응암제1동","","","","다방","2","2","0","0","2","","비대상","상수도전용","지상2층이상","0","5","","","","","","","8.72","0.00","0.00","2.24","0.00","4.80","0.00","126.64","0.00","0.00","","","3110000-104-1970-04994","","","","","","내국인","대한민국"
"3110000","104","1971","04858","휴게음식점","19711223","볼레로커피","    ","서울특별시 은평구 갈현동  398번지 9호  ","127.43","  0203626595  ","19711223","","19711223","갈현제1동","19981103","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","2","","","","","","","10.65","0.00","0.00","3.94","0.00","4.90","7.62","105.22","0.00","0.00","","","3110000-104-1971-04858","","","","","","내국인",""
"3110000","104","1971","04911","휴게음식점","19710507","사군자","    ","서울특별시 은평구 대조동  3번지 4호  5(지하1층)","105.80","  02 3551887  ","20031217","","19990907","대조동","20100916","자진폐업","업종변경","다방","0","0","1","1","0","20040310","비대상","상수도전용","지하","0","4","","","","","","","12.80","0.00","0.00","0.00","0.00","6.40","0.00","93.00","0.00","0.00","","","3110000-104-1971-04911","","","","","","내국인",""
"3110000","104","1971","04950","휴게음식점","19710719","대호다방","    ","서울특별시 은평구 녹번동  117번지 15호  (지상2층)","90.49","  02 3559719  ","20030930","","19990427","녹번동","20041102","자진폐업","영업부진","다방","","","","","","20031224","비대상","상수도전용","","0","2","","","","","","","8.00","0.00","0.00","0.00","0.00","4.70","7.56","74.93","0.00","0.00","","","3110000-104-1971-04950","","","","","","내국인",""
