"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3080000","104","1968","01593","휴게음식점","19680611","대호다방","    ","서울특별시 강북구 미아동  70번지 26호  ","59.44","  02   00000  ","19960112","","19960112","","19941024","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","5.76","0.00","0.00","0.00","0.00","2.40","5.44","48.24","0.00","0.00","","","3080000-104-1968-01593","","","","","","내국인",""
"3080000","104","1968","01758","휴게음식점","19681221","양지","    ","서울특별시 강북구 미아동  465번지 6호  ","0.00","  02 9884607  ","20010222","","20010222","송천동","20010222","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","3080000-104-1968-01758","","","","","","내국인",""
"3080000","104","1969","01479","휴게음식점","19690515","새다방","    ","서울특별시 강북구 수유동  174번지 1호  ","19.16","  02 9941552  ","19970124","","19970124","","19970120","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.22","4.94","0.00","0.00","0.00","10.00","0.00","9.00","0.00","0.00","","","3080000-104-1969-01479","","","","","","내국인",""
"3080000","104","1969","01763","휴게음식점","19691231","연꽃다방","    ","서울특별시 강북구 미아동  67번지 1호  ","96.00","  02 9894229  ","19980107","","19980107","송중동","19971231","행정처분","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","13.50","0.00","0.00","0.00","0.00","4.20","0.00","82.50","0.00","0.00","","","3080000-104-1969-01763","","","","","","내국인",""
"3080000","104","1969","01879","휴게음식점","19690921","부산뉴욕제과","    ","서울특별시 강북구 미아동  628번지 11호  ","24.95","  02 9545767  ","20010820","","20010820","송천동","20010820","자진폐업","","과자점","","","","","","","비대상","상수도전용","","2","2","","","","","","","5.60","0.00","0.00","0.00","0.00","1.23","0.00","19.35","0.00","0.00","","","3080000-104-1969-01879","","","","","","내국인",""
"3080000","104","1970","01561","휴게음식점","19700625","우리다방","    ","서울특별시 강북구 번동  464번지 15호  ","93.60","  02 9942929  ","20010906","","20010906","번1동","20051124","자진폐업","폐업","다방","0","0","0","0","0","20020123","비대상","상수도전용","","0","1","","","","","","","3.92","0.00","0.00","0.00","0.00","3.00","1.60","88.08","0.00","0.00","","","3080000-104-1970-01561","","","","","","내국인",""
"3080000","104","1970","01561","휴게음식점","19700625","우리다방","    ","서울특별시 강북구 번동  464번지 15호  ","93.60","  02 9942929  ","20010906","","20010906","번제1동","20051124","자진폐업","폐업","다방","0","0","0","0","0","20020123","비대상","상수도전용","","0","1","","","","","","","3.92","0.00","0.00","0.00","0.00","3.00","1.60","88.08","0.00","0.00","","","3080000-104-1970-01561","","","","","","내국인",""
"3080000","104","1970","01675","휴게음식점","19700514","화원","    ","서울특별시 강북구 수유동  92번지 7호  ","78.30","  02 9892291  ","19970529","","19970529","수유1동","20100630","자진폐업","영업부진","다방","0","0","0","0","3","","비대상","상수도전용","지하","0","2","","","","","","","0.00","0.00","0.00","1.69","0.00","6.60","2.56","74.05","0.00","0.00","","","3080000-104-1970-01675","","","","","","내국인",""
"3080000","104","1970","01675","휴게음식점","19700514","화원","    ","서울특별시 강북구 수유동  92번지 7호  ","78.30","  02 9892291  ","19970529","","19970529","수유제1동","20100630","자진폐업","영업부진","다방","0","0","0","0","3","","비대상","상수도전용","지하","0","2","","","","","","","0.00","0.00","0.00","1.69","0.00","6.60","2.56","74.05","0.00","0.00","","","3080000-104-1970-01675","","","","","","내국인",""
"3080000","104","1970","01695","휴게음식점","19700721","초원","    ","서울특별시 강북구 우이동  68번지 5호  ","53.58","  02 9931210  ","19960122","","19960122","우이동","19941024","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","4.59","0.00","0.00","0.00","5.00","0.00","0.00","43.99","0.00","0.00","","","3080000-104-1970-01695","","","","","","내국인",""
"3080000","104","1970","01698","휴게음식점","19701130","진다방","    ","서울특별시 강북구 미아동  734번지 168호  ","101.50","  02 9342284  ","19970529","","19970529","송천동","20000607","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","5.60","0.00","0.00","0.00","0.00","4.50","0.00","95.90","0.00","0.00","","","3080000-104-1970-01698","","","","","","내국인",""
"3080000","104","1970","01717","휴게음식점","19700611","삼성","    ","서울특별시 강북구 미아동  산 838번지 96호  ","45.80","  02 9890640  ","19970723","","19970723","삼양동","19970721","행정처분","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","3.90","0.00","0.00","0.00","1.20","0.00","0.00","40.70","0.00","0.00","","","3080000-104-1970-01717","","","","","","내국인",""
