"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3150000","104","1966","07235","휴게음식점","19661028","다린","    ","서울특별시 강서구 과해동  48번지 27호  ","62.00","  0206054744  ","19950118","","19661028","공항동","19941226","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","3","","","","","","","14.00","0.00","0.00","0.00","0.00","4.20","0.00","48.00","0.00","0.00","","","3150000-104-1966-07235","","","","","","내국인",""
"3150000","104","1970","07143","휴게음식점","19701119","코보다방","    ","서울특별시 강서구 방화동  620번지 50호  ","65.25","  0206645266  ","19981219","","19701119","방화제3동","19900807","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.25","0.00","0.00","0.00","0.00","7.00","0.50","59.50","0.00","0.00","","","3150000-104-1970-07143","","","","","","내국인",""
"3150000","104","1970","07169","휴게음식점","19700216","빌","    ","서울특별시 강서구 화곡동  362번지 84호  ","16.07","  0206620786  ","19950721","","19950721","화곡제1동","20000306","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","3","","","","","","","7.22","0.00","0.00","0.00","4.20","0.00","4.65","0.00","0.00","0.00","","","3150000-104-1970-07169","","","","","","내국인",""
"3150000","104","1971","07152","휴게음식점","19711123","샘다방","    ","서울특별시 강서구 방화동  598번지 146호  ","74.16","  02 6647377  ","19970109","","19970109","방화제2동","20021007","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","8.32","0.00","0.00","0.00","5.00","0.00","4.68","56.16","0.00","0.00","","","3150000-104-1971-07152","","","","","","내국인",""
"3150000","104","1971","07201","휴게음식점","19711209","수","    ","서울특별시 강서구 과해동  72번지 33호  ","64.40","  0206053317  ","19981219","","19711209","공항동","19900219","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","2","","","","","","","6.00","0.00","0.00","0.00","0.00","5.00","15.75","42.65","0.00","0.00","","","3150000-104-1971-07201","","","","","","내국인",""
"3150000","104","1972","06973","휴게음식점","19720323","국내선B스넥","    ","서울특별시 강서구 과해동  274번지  ","19.35","  02 5545665  ","19981103","","19720323","공항동","19981024","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","5.32","0.00","0.00","0.00","0.00","85.00","0.00","14.03","0.00","0.00","","","3150000-104-1972-06973","","","","","","내국인",""
"3150000","104","1972","07242","휴게음식점","19720126","화성","    ","서울특별시 강서구 화곡동  98번지 60호  ","103.35","  0206022851  ","19981219","","19720126","화곡제1동","19910105","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","4","","","","","","","7.00","0.00","0.00","0.00","0.00","5.90","4.55","91.80","0.00","0.00","","","3150000-104-1972-07242","","","","","","내국인",""
"3150000","104","1973","07178","휴게음식점","19730728","수정","    ","서울특별시 강서구 방화동  609번지 38호  ","100.10","  0206620990  ","19981219","","19730728","방화제3동","19910212","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","2","","","","","","","7.20","0.00","0.00","0.00","6.00","0.00","0.00","86.90","0.00","0.00","","","3150000-104-1973-07178","","","","","","내국인",""
"3150000","104","1975","00060","휴게음식점","19750215","한일","    ","서울특별시 강서구 화곡동  370번지 103호  ","103.80","  0206022564  ","19981219","","19750215","화곡제1동","19901101","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","2","","","","","","","10.58","0.00","0.00","0.00","0.00","7.40","5.00","88.22","0.00","0.00","","","3150000-104-1975-00060","","","","","","내국인",""
"3150000","104","1975","08509","휴게음식점","19750313","화천","    ","서울특별시 강서구 염창동  275번지 1호  ","125.08","  02 6521318  ","19970115","","19970115","염창동","19990910","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","12.24","0.00","0.00","0.00","0.00","4.80","0.00","112.84","0.00","0.00","","","3150000-104-1975-08509","","","","","","내국인",""
"3150000","104","1976","07197","휴게음식점","19760812","장미","서울특별시 강서구 방화동로 65 지하 1층 (방화동 2동)","서울특별시 강서구 방화동  606번지 73호  (지하 1층)","112.15","  02 6622724  ","19970109","","19970109","방화제2동","20161110","자진폐업","개인사정","다방","","","1","1","","","비대상","상수도전용","지하","0","3","","","","","","","7.28","0.00","0.00","2.85","5.00","0.00","4.16","92.86","0.00","0.00","","","3150000-104-1976-07197","","","","","","내국인",""
"3150000","104","1976","07207","휴게음식점","19760228","수","    ","서울특별시 강서구 화곡동  98번지 207호  ","62.75","  02 6022295  ","19981113","","19760228","화곡제1동","19981107","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","2","","","","","","","6.25","0.00","0.00","0.00","0.00","4.00","3.00","53.50","0.00","0.00","","","3150000-104-1976-07207","","","","","","내국인",""
"3150000","104","1976","07290","휴게음식점","19760203","태양","    ","서울특별시 강서구 화곡동  837번지 7호  ","127.42","  0206044959  ","19981219","","19760203","화곡제1동","19900621","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","1","","","","","","","14.43","0.00","0.00","0.00","0.00","4.20","5.44","107.55","0.00","0.00","","","3150000-104-1976-07290","","","","","","내국인",""
"3150000","104","1977","00023","휴게음식점","19770107","향원","    ","서울특별시 강서구 화곡동  858번지 12호  ","101.89","  0200000000  ","19921210","","19921210","화곡제2동","19770107","행정처분","직권폐쇄","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","12.07","0.00","0.00","0.00","0.00","0.00","7.00","82.82","0.00","0.00","","","3150000-104-1977-00023","","","","","","내국인",""
"3150000","104","1977","00056","휴게음식점","19770810","소연다방","    ","서울특별시 강서구 염창동  273번지 0호  ","77.42","  02          ","19981013","","19981013","염창동","20020412","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.37","0.00","0.00","0.00","0.00","3.30","2.24","66.81","0.00","0.00","","","3150000-104-1977-00056","","","","","","내국인",""
"3150000","104","1977","00259","휴게음식점","19770913","빠리베이커리","    ","서울특별시 강서구 등촌동  513번지 10호  ","30.00","  02 6052939  ","20010512","","20010512","등촌제2동","20010511","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","","","","","","","","8.00","0.00","0.00","0.00","0.00","6.40","0.00","22.00","0.00","0.00","","","3150000-104-1977-00259","","","","","","내국인",""
"3150000","104","1977","07136","휴게음식점","19771008","양지","    ","서울특별시 강서구 화곡동  1117번지 13호  ","89.51","  0206053492  ","19981219","","19981219","화곡제1동","19991209","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","6.12","0.00","0.00","0.00","0.00","4.20","6.50","76.89","0.00","0.00","","","3150000-104-1977-07136","","","","","","내국인",""
"3150000","104","1977","07141","휴게음식점","19770813","곰","    ","서울특별시 강서구 방화동  612번지 4호  ","126.18","  0206645115  ","19981219","","19770813","방화제3동","19900226","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","3","","","","","","","12.30","0.00","0.00","0.00","5.00","0.00","7.44","101.44","0.00","0.00","","","3150000-104-1977-07141","","","","","","내국인",""
"3150000","104","1977","07171","휴게음식점","19770704","별","    ","서울특별시 강서구 과해동  45번지 5호  ","41.50","  0206032711  ","19940804","","19770704","공항동","19910925","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.46","6.00","0.00","7.50","0.00","3.00","0.00","19.54","0.00","0.00","","","3150000-104-1977-07171","","","","","","내국인",""
"3150000","104","1977","07241","휴게음식점","19770907","전원","    ","서울특별시 강서구 화곡동  340번지 47호  ","132.69","  02 6021139  ","19960430","","19960430","화곡제8동","20000526","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","4.80","0.00","0.00","0.00","0.00","3.50","5.70","122.19","0.00","0.00","","","3150000-104-1977-07241","","","","","","내국인",""
"3150000","104","1977","07264","휴게음식점","19770716","백석다방","    ","서울특별시 강서구 등촌동  506번지 13호  ","75.16","  02 6514638  ","20021231","","20010509","등촌제1동","20040220","자진폐업","영업부진","다방","","","","","","20021204","비대상","상수도전용","","0","3","","","","","","","8.97","0.00","0.00","4.14","0.00","3.70","4.60","57.45","0.00","0.00","","","3150000-104-1977-07264","","","","","","내국인",""
