"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3170000","104","1984","00157","휴게음식점","19840911","해다방","서울특별시 금천구 가산로3길 128 (가산동지하1층 (모아래길118))","서울특별시 금천구 가산동  238번지 38호  지하1층 (모아래길118)","","              ","20011031","","20011031","가산동","","","","다방","0","0","1","1","3","","비대상","상수도전용","지하","0","1","","","","","","","7.56","","","","","3.00","","39.09","","","","","3170000-104-1984-00157","","","","","","내국인",""
"3170000","104","1982","00086","휴게음식점","19820203","거목","서울특별시 금천구 가산로3길 78 (가산동지하1층 (모아래길 82))","서울특별시 금천구 가산동  235번지 49호  지하1층 (모아래길 82)","","              ","19960125","","19960125","가산동","20151230","행정처분","행정처분","다방","0","0","1","1","4","","비대상","상수도전용","지하","0","2","","","","","","","7.48","","","3.40","","4.00","2.04","57.00","","","","","3170000-104-1982-00086","","","","","","내국인",""
"3170000","104","1990","00287","휴게음식점","19901211","다모아","서울특별시 금천구 가산로 150 (가산동(구로동길 263))","서울특별시 금천구 가산동  141번지 9호  (구로동길 263)","193.75","  0200000000  ","19920526","","19920526","가산동","20161228","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","5.00","0.00","0.00","0.00","14.00","0.00","6.00","168.75","0.00","0.00","","","3170000-104-1990-00287","","","","","","내국인",""
"3170000","104","2001","06688","휴게음식점","20010224","롯데리아구로가산점","서울특별시 금천구 디지털로 188 지하1층 (가산동)","서울특별시 금천구 가산동  60번지 27호  지하1층 (디지털단지로 285)","","  0220810992  ","20150217","","20070208","가산동","","","","패스트푸드","1","1","0","0","7","","비대상","상수도전용","지상","1","3","","","","","","","74.90","","","","","35.00","","82.00","","","","","3170000-104-2001-06688","","","","","","내국인","대한민국"
"3170000","104","2005","00004","휴게음식점","20050218","소네트","서울특별시 금천구 가산디지털1로 168 B동 B131호 (가산동우림라이온스밸리(가산디지털 1길 71))","서울특별시 금천구 가산동  371번지 28호 B 우림라이온스밸리(가산디지털 1길 71)-B131","","  0220260299  ","20061124","","20050218","가산동","20180122","자진폐업","인력난","커피숍","0","0","1","1","18","20070228","비대상","상수도전용","지하","0","0","","","","","","","17.04","","","","","47.00","","51.94","","","","","3170000-104-2005-00004","","","","","","내국인",""
"3170000","104","2004","00036","휴게음식점","20041216","미니스톱 가산월드점","서울특별시 금천구 가산디지털2로 123 (가산동월드메르디앙벤처센터2 (104호) 지상1층 (패션단지길 40))","서울특별시 금천구 가산동  426번지 5호  월드메르디앙벤처센터2 (104호) 지상1층 (패션단지길 40)","","","20101020","","20041216","가산동","20151022","자진폐업","양도양수","편의점","1","1","0","0","17","","비대상","상수도전용","지상","0","0","","","","","","","1.68","","","","","35.00","","3.28","","","","","3170000-104-2004-00036","","","","","","내국인","대한민국"
"3170000","104","2004","00030","휴게음식점","20041104","스위트번스금천엘지점","서울특별시 금천구 디지털로10길 56 (가산동(지하1층))","서울특별시 금천구 가산동  219번지 24호  (지하1층)","","  0220335239  ","20200326","","20041104","가산동","","","","커피숍","1","1","0","0","12","","비대상","상수도전용","지하","0","0","","","","","","","9.00","","","","","36.00","","20.25","","","","","3170000-104-2004-00030","","","","","","내국인","대한민국"
"3170000","104","2004","00030","휴게음식점","20041104","스위트번스금천엘지점","서울특별시 금천구 디지털로10길 56 (가산동(지하1층))","서울특별시 금천구 가산동  219번지 24호  (지하1층)","","  0220335239  ","20041104","","20041104","가산동","","","","커피숍","1","1","0","0","12","","비대상","상수도전용","지하","0","0","","","","","","","9.00","","","","","36.00","","20.25","","","","","3170000-104-2004-00030","","","","","","내국인","대한민국"
"3170000","104","2004","00014","휴게음식점","20040519","미니스톱독산역점","서울특별시 금천구 범안로 1138 고려테크온 지상1층 (가산동)","서울특별시 금천구 가산동  715번지  고려테크온 지상1층","","  02 8665657  ","20180629","","20040519","가산동","","","","편의점","","","","","","","비대상","","지상","","","","","","","","","2.04","","","","","9.00","","1.94","","","","","3170000-104-2004-00014","","","","","","내국인","대한민국"
"3170000","104","2004","00014","휴게음식점","20040519","미니스톱독산역점","서울특별시 금천구 범안로 1138 고려테크온 지상1층 (가산동)","서울특별시 금천구 가산동  715번지  고려테크온 지상1층","","  02 8665657  ","20070713","","20040519","가산동","","","","편의점","","","","","","","비대상","","지상","","","","","","","","","2.04","","","","","9.00","","1.94","","","","","3170000-104-2004-00014","","","","","","내국인","대한민국"
