"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3160000","104","1900","07005","휴게음식점","19000812","청자","    ","서울특별시 구로구 구로동  716번지 10호  ","84.93","  02   00000  ","19931104","","19000812","구로제2동","19950821","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","7.54","0.00","0.00","0.00","0.00","3.60","5.20","72.19","0.00","0.00","","","3160000-104-1900-07005","","","","","","내국인",""
"3160000","104","1968","06519","휴게음식점","19680216","은하수","    ","서울특별시 구로구 오류동  23번지 37호  ","32.47","  0206126935  ","19930616","","19680216","오류제1동","19930608","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.77","0.00","0.00","0.00","0.00","2.70","0.00","26.70","0.00","0.00","","","3160000-104-1968-06519","","","","","","내국인",""
"3160000","104","1968","06912","휴게음식점","19680725","종점다방","    ","서울특별시 구로구 가리봉동  89번지 2호  ","7.09","              ","20000915","","19850517","가리봉동","20110407","자진폐업","일반음식점전환","다방","0","0","0","0","0","","비대상","상수도전용","","2","3","","","","","","","5.09","0.00","0.00","0.00","2.00","0.00","0.00","0.00","0.00","0.00","","","3160000-104-1968-06912","","","","","","내국인",""
"3160000","104","1969","06828","휴게음식점","19691008","낙원다방","    ","서울특별시 구로구 신도림동  430번지 3호  436-4226","48.90","  0226335024  ","19940117","","19830825","신도림동","20050506","자진폐업","건물철거","다방","0","0","0","0","0","","비대상","상수도전용","","1","1","","","","","","","4.80","0.00","0.00","0.00","0.00","3.20","5.60","38.50","0.00","0.00","","","3160000-104-1969-06828","","","","","","내국인",""
"3160000","104","1969","07044","휴게음식점","19691018","은성다방","    ","서울특별시 구로구 구로동  586번지 10호  ","85.43","  02 8532535  ","19760305","","19760305","구로제5동","20010413","기타","시설물철거로 직권폐업","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","6.75","0.00","0.00","2.72","5.62","2.50","2.52","67.82","0.00","0.00","","","3160000-104-1969-07044","","","","","","내국인",""
"3160000","104","1970","06516","휴게음식점","19700219","양","    ","서울특별시 구로구 고척동  76번지 100호  ","64.50","  0208562463  ","19920406","","19700219","고척제1동","19901008","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","1","1","","","","","","","5.85","0.00","0.00","0.00","0.00","5.60","15.30","43.35","0.00","0.00","","","3160000-104-1970-06516","","","","","","내국인",""
"3160000","104","1970","06756","휴게음식점","19701020","경인","    ","서울특별시 구로구 오류동  8번지 5호  ","56.48","  0226126779  ","19850517","","19960719","오류제1동","20000916","기타","시설물전부철거로 직권폐업","다방","","","","","","","비대상","상수도전용","","1","1","","","","","","","5.07","3.78","0.00","0.00","2.00","0.00","0.00","45.63","0.00","0.00","","","3160000-104-1970-06756","","","","","","내국인",""
"3160000","104","1970","06758","휴게음식점","19700428","양지","    ","서울특별시 구로구 오류동  38번지 3호  ","68.75","  02 6126271  ","19980114","","19980114","오류제1동","19950310","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","8.67","0.00","0.00","0.00","3.00","0.00","3.60","53.48","0.00","0.00","","","3160000-104-1970-06758","","","","","","내국인",""
"3160000","104","1970","06759","휴게음식점","19700204","거북다방","    ","서울특별시 구로구 오류동  40번지 4호  ","76.53","  0226136460  ","20070124","","19700204","오류제1동","20130419","자진폐업","사업부진","다방","0","0","0","0","0","","비대상","상수도전용","","0","2","","","","","","","5.92","0.00","0.00","2.52","0.00","3.60","3.60","64.49","0.00","0.00","","","3160000-104-1970-06759","","","","","","내국인",""
"3160000","104","1970","06800","휴게음식점","19700221","산길다방","    ","서울특별시 구로구 구로동  736번지 16호  1718","59.22","  02 8543064  ","20010726","","19830825","구로제4동","20061110","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","0","1","","","","","","","5.85","0.00","0.00","0.00","0.00","6.80","0.00","53.37","0.00","0.00","","","3160000-104-1970-06800","","","","","","내국인",""
