"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3200000","104","1899","09349","휴게음식점","18991230","보광훼미리마트신림난곡점","    ","서울특별시 관악구 신림동  706번지 74호  ","1.44","  02 8517191  ","20010630","","18991230","난곡동","20050929","자진폐업","자진폐업","편의점","1","1","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","0.69","0.00","0.00","0.00","0.00","3.00","0.00","0.75","0.00","0.00","","","3200000-104-1899-09349","","","","","","내국인",""
"3200000","104","1899","09362","휴게음식점","18991230","마스타바게뜨","    ","서울특별시 관악구 봉천동  922번지 27호  ","20.04","  02          ","20010427","","20010427","청룡동","20010427","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","0","","","","","","","10.18","0.00","0.00","0.00","0.00","2.00","0.00","9.86","0.00","0.00","","","3200000-104-1899-09362","","","","","","내국인",""
"3200000","104","1971","08507","휴게음식점","19710616","소라다방","    ","서울특별시 관악구 봉천동  14번지 52호  ","136.38","  02 8774939  ","19960110","","19960110","청림동","19930304","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","20.25","0.00","0.00","16.10","0.00","12.60","0.00","100.03","0.00","0.00","","","3200000-104-1971-08507","","","","","","내국인",""
"3200000","104","1971","08590","휴게음식점","19710805","새청자","    ","서울특별시 관악구 봉천동  14번지 21호  ","51.83","  02          ","20010705","","20010705","청림동","20010705","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","6.00","0.00","0.00","3.67","0.00","3.20","0.00","42.16","0.00","0.00","","","3200000-104-1971-08590","","","","","","내국인",""
"3200000","104","1972","08501","휴게음식점","19720303","뉴관악다방","    ","서울특별시 관악구 봉천동  399번지 1호  ","198.42","  02 8771894  ","19960110","","19960110","청룡동","19930616","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","29.00","0.00","0.00","2.00","0.00","10.20","8.14","159.28","0.00","0.00","","","3200000-104-1972-08501","","","","","","내국인",""
"3200000","104","1972","08510","휴게음식점","19720122","중앙","    ","서울특별시 관악구 봉천동  32번지 2호  ","129.55","  02 8771457  ","19960110","","19960110","행운동","19911231","행정처분","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.54","0.00","0.00","0.00","0.00","6.00","9.01","112.00","0.00","0.00","","","3200000-104-1972-08510","","","","","","내국인",""
"3200000","104","1972","08532","휴게음식점","19720706","칠다방","    ","서울특별시 관악구 신림동  82번지 2호  ","0.00","  02 8785635  ","19960110","","19720706","서원동","19930521","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","0.00","0.00","0.00","0.00","0.00","6.80","0.00","0.00","0.00","0.00","","","3200000-104-1972-08532","","","","","","내국인",""
"3200000","104","1972","08571","휴게음식점","19720807","길다방","서울특별시 관악구 남부순환로 1607 지하1층 (신림동)","서울특별시 관악구 신림동  1433번지 43호  ","97.69","  02 8777504  ","19960520","","19960520","신림동","20170313","자진폐업","수입경기악화적자","다방","0","0","1","1","0","","비대상","상수도전용","지하","0","0","","","","","","","5.97","0.00","0.00","0.00","0.00","6.20","8.00","83.72","0.00","0.00","","","3200000-104-1972-08571","","","","","","내국인",""
"3200000","104","1972","08581","휴게음식점","19720129","초원다방","    ","서울특별시 관악구 봉천동  14번지 42호  ","47.16","  0208775906  ","19970214","","19970214","청림동","20070921","자진폐업","영업부진","다방","2","2","0","0","0","","비대상","상수도전용","지상","0","3","","","","","","","4.62","0.00","0.00","0.00","0.00","6.20","2.26","40.28","0.00","0.00","","","3200000-104-1972-08581","","","","","","내국인",""
"3200000","104","1972","08801","휴게음식점","19720615","응접실커피숍","    ","서울특별시 관악구 봉천동  62번지 3호  ","59.10","  0208771320  ","19940303","","19940303","행운동","20021202","자진폐업","자진폐업","다방","0","0","1","1","0","","비대상","상수도전용","지하","0","4","","","","","","","5.12","0.00","0.00","0.00","0.00","7.20","4.00","49.98","0.00","0.00","","","3200000-104-1972-08801","","","","","","내국인",""
"3200000","104","1973","08536","휴게음식점","19730613","신한다방","    ","서울특별시 관악구 신림동  131번지 3호  ","111.06","  0208779424  ","19981219","","19730613","서림동","19890703","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","7.14","0.00","0.00","0.00","0.00","3.40","0.00","103.92","0.00","0.00","","","3200000-104-1973-08536","","","","","","내국인",""
"3200000","104","1974","08851","휴게음식점","19740715","명다방","    ","서울특별시 관악구 신림동  543번지 22호  ","129.85","  02          ","19960520","","19960520","조원동","19990402","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","6.42","0.00","0.00","0.00","0.00","6.80","5.54","117.89","0.00","0.00","","","3200000-104-1974-08851","","","","","","내국인",""
"3200000","104","1975","08495","휴게음식점","19750917","남강다방","    ","서울특별시 관악구 신림동  706번지 22호  ","0.00","  0208553016  ","19981219","","19750917","난곡동","19890111","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","0.00","0.00","0.00","0.00","0.00","4.80","0.00","0.00","0.00","0.00","","","3200000-104-1975-08495","","","","","","내국인",""
"3200000","104","1975","08502","휴게음식점","19750430","사랑의힘","    ","서울특별시 관악구 봉천동  926번지 25호  ","43.07","  02 8775876  ","19960110","","19750430","은천동","19931122","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","4.12","0.00","0.00","0.00","0.00","6.90","5.28","33.67","0.00","0.00","","","3200000-104-1975-08502","","","","","","내국인",""
"3200000","104","1975","08504","휴게음식점","19750327","팔팔다방","    ","서울특별시 관악구 봉천동  1598번지 21호  ","96.83","  0208774960  ","19981219","","19750327","낙성대동","19901214","행정처분","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","10.12","0.00","0.00","2.00","0.00","6.00","4.41","80.30","0.00","0.00","","","3200000-104-1975-08504","","","","","","내국인",""
"3200000","104","1975","08505","휴게음식점","19750314","라브리크리스찬하웃","    ","서울특별시 관악구 봉천동  1597번지 3호  ","90.45","  0208825832  ","19981219","","19750314","낙성대동","19891222","행정처분","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.00","0.00","0.00","0.00","0.00","7.40","8.93","73.52","0.00","0.00","","","3200000-104-1975-08505","","","","","","내국인",""
"3200000","104","1975","08543","휴게음식점","19750220","천우다방","    ","서울특별시 관악구 봉천동  399번지 6호  ","151.54","  0208823539  ","19981219","","19750220","청룡동","19890425","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","7.68","0.00","0.00","0.00","0.00","10.40","6.83","137.03","0.00","0.00","","","3200000-104-1975-08543","","","","","","내국인",""
"3200000","104","1975","08607","휴게음식점","19750620","천지커피숍","    ","서울특별시 관악구 봉천동  34번지 7호  ","97.96","  0208872655  ","20081202","","19970214","행운동","20090605","자진폐업","이사","다방","0","0","1","1","0","","비대상","상수도전용","지하","0","3","","","","","","","6.12","0.00","0.00","2.66","3.20","0.00","0.00","85.98","0.00","0.00","","","3200000-104-1975-08607","","","","","","내국인","대한민국"
"3200000","104","1975","08894","휴게음식점","19750311","궁전","    ","서울특별시 관악구 봉천동  943번지 12호  ","84.34","  02          ","19960325","","19990422","은천동","19990422","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.23","0.00","0.00","2.40","0.00","8.40","4.21","69.50","0.00","0.00","","","3200000-104-1975-08894","","","","","","내국인",""
"3200000","104","1975","08941","휴게음식점","19750125","청룡다방","    ","서울특별시 관악구 봉천동  894번지 5호  ","113.40","  02 8775411  ","19970319","","19970319","청룡동","20060728","자진폐업","업종변경","다방","2","2","0","0","0","","비대상","상수도전용","지상","0","3","","","","","","","4.79","0.00","0.00","0.00","0.00","6.40","6.98","101.63","0.00","0.00","","","3200000-104-1975-08941","","","","","","내국인",""
"3200000","104","1976","08317","휴게음식점","19760519","대풍제과","    ","서울특별시 관악구 신림동  1513번지 2호  ","53.07","  02          ","19960131","","19960131","삼성동","20000731","자진폐업","","과자점","","","","","","","비대상","상수도전용","","2","1","","","","","","","12.87","0.00","0.00","0.00","0.00","4.00","0.00","40.20","0.00","0.00","","","3200000-104-1976-08317","","","","","","내국인",""
"3200000","104","1976","08549","휴게음식점","19761014","해궁다방","    ","서울특별시 관악구 봉천동  972번지 1호  ","118.73","  02 8824516  ","19960110","","19960110","보라매동","19930901","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","11.03","0.00","0.00","7.07","0.00","6.40","6.24","94.39","0.00","0.00","","","3200000-104-1976-08549","","","","","","내국인",""
"3200000","104","1976","08552","휴게음식점","19761025","연다방","    ","서울특별시 관악구 신림동  12번지 209호  ","57.46","  02 8834477  ","19960110","","19761025","서원동","19920611","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","5.72","0.00","0.00","0.00","0.00","12.40","3.08","48.66","0.00","0.00","","","3200000-104-1976-08552","","","","","","내국인",""
"3200000","104","1976","08554","휴게음식점","19761026","백자다방","    ","서울특별시 관악구 신림동  1638번지 15호  ","73.24","  02 8782222  ","19960110","","19761026","서원동","19920201","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","11.79","0.00","0.00","0.00","2.10","0.00","4.70","54.65","0.00","0.00","","","3200000-104-1976-08554","","","","","","내국인",""
"3200000","104","1976","08622","휴게음식점","19761015","금다방","    ","서울특별시 관악구 봉천동  62번지 17호  ","109.15","  02 8788222  ","19960403","","19960403","낙성대동","19960311","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","10.32","0.00","0.00","4.40","2.00","4.40","0.00","92.43","0.00","0.00","","","3200000-104-1976-08622","","","","","","내국인",""
