"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3040000","104","1974","07701","휴게음식점","19740301","인화","    ","서울특별시 광진구 군자동  102번지 32호  ","74.74","  02 4666678  ","19961206","","19961206","군자동","20000930","행정처분","","다방","","","","","","","비대상","상수도전용","","","","","","","","","","5.44","0.00","0.00","0.00","0.00","6.60","0.00","69.30","0.00","0.00","","","3040000-104-1974-07701","","","","","","내국인",""
"3040000","104","1974","07762","휴게음식점","19740301","황태자","    ","서울특별시 광진구 구의동  252번지 16호  ","172.82","  02 4461818  ","19951211","","19951211","구의제1동","19941007","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","15.66","0.00","0.00","0.00","0.00","15.00","13.50","143.66","0.00","0.00","","","3040000-104-1974-07762","","","","","","내국인",""
"3040000","104","1976","07603","휴게음식점","19760205","수정","    ","서울특별시 광진구 자양동  36번지 30호  ","77.50","  02 4669209  ","19951211","","19951211","자양제4동","19891109","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","9.00","0.00","0.00","0.00","6.00","0.00","3.00","59.50","0.00","0.00","","","3040000-104-1976-07603","","","","","","내국인",""
"3040000","104","1976","07610","휴게음식점","19760205","판도라","    ","서울특별시 광진구 화양동  111번지 5호  ","28.36","  02   00000  ","19951010","","19951010","화양동","19920714","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","5.51","6.30","0.00","11.00","0.00","3.30","5.55","0.00","0.00","0.00","","","3040000-104-1976-07610","","","","","","내국인",""
"3040000","104","1976","07612","휴게음식점","19761230","오두막","    ","서울특별시 광진구 화양동  111번지 49호  ","189.02","  02   00000  ","19951012","","19951012","화양동","19930820","자진폐업","","다방","","","","","","","비대상","상수도전용","","2","2","","","","","","","8.82","0.00","0.00","98.00","0.00","3.30","0.00","82.20","0.00","0.00","","","3040000-104-1976-07612","","","","","","내국인",""
"3040000","104","1976","07615","휴게음식점","19760205","에스페로","    ","서울특별시 광진구 화양동  168번지 2호  ","0.00","  0200000000  ","19981219","","19981219","화양동","20000811","행정처분","","다방","","","","","","","비대상","상수도전용","","1","2","","","","","","","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","3040000-104-1976-07615","","","","","","내국인",""
"3040000","104","1976","07672","휴게음식점","19760228","대지","    ","서울특별시 광진구 구의동  405번지 1호  ","57.00","  02 4452077  ","19811221","","19760228","구의제2동","18991230","행정처분","행정처분","다방","","","","","","","비대상","상수도전용","지하","0","","","","","","","","5.25","0.00","0.00","0.00","0.00","7.00","0.00","51.75","0.00","0.00","","","3040000-104-1976-07672","","","","","","내국인",""
"3040000","104","1976","07747","휴게음식점","19761101","영","    ","서울특별시 광진구 중곡동  245번지 39호  ","76.48","  02 4672561  ","19961210","","19961210","중곡제1동","19990625","자진폐업","","다방","","","","","","","비대상","상수도전용","","","","","","","","","","6.00","0.00","0.00","0.00","0.00","2.90","5.20","65.28","0.00","0.00","","","3040000-104-1976-07747","","","","","","내국인",""
"3040000","104","1976","07790","휴게음식점","19761231","종","    ","서울특별시 광진구 자양동  236번지 76호  ","91.02","  02 4630015  ","19961211","","19961211","자양제4동","20000217","자진폐업","","다방","","","","","","","비대상","상수도전용","","","","","","","","","","5.28","0.00","0.00","9.00","0.00","8.00","4.60","72.14","0.00","0.00","","","3040000-104-1976-07790","","","","","","내국인",""
"3040000","104","1976","07828","휴게음식점","19760205","능","    ","서울특별시 광진구 중곡동  116번지 6호  ","100.38","  02 4462109  ","19960924","","19960924","중곡제1동","19960918","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.09","0.00","0.00","4.34","0.00","1.76","4.34","83.61","0.00","0.00","","","3040000-104-1976-07828","","","","","","내국인",""
"3040000","104","1977","07619","휴게음식점","19770127","길","    ","서울특별시 광진구 구의동  236번지 53호  ","106.20","  02 4444149  ","19960506","","19960506","구의제1동","19960419","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","14.26","0.00","0.00","7.28","0.00","7.00","2.60","82.06","0.00","0.00","","","3040000-104-1977-07619","","","","","","내국인",""
"3040000","104","1977","07674","휴게음식점","19770329","란","    ","서울특별시 광진구 중곡동  193번지 51호  ","74.01","  02 4665624  ","19950928","","19950928","중곡제1동","19940714","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","4.96","0.00","0.00","5.00","0.00","3.71","0.00","64.05","0.00","0.00","","","3040000-104-1977-07674","","","","","","내국인",""
"3040000","104","1977","07806","휴게음식점","19770401","동산","    ","서울특별시 광진구 자양동  626번지 6   호  ","","  02 4572400  ","19991020","","19770401","자양제1동","20090828","자진폐업","영업부진","다방","0","0","0","0","0","","비대상","상수도전용","지하","0","0","","","","","","","14.60","","","6.40","","15.00","3.40","83.48","","","","","3040000-104-1977-07806","","","","","","내국인",""
"3040000","104","1977","07835","휴게음식점","19770920","성백","    ","서울특별시 광진구 중곡동  78번지 5호  ","87.49","  02 4465991  ","20011113","","20011113","중곡제4동","20011112","자진폐업","","다방","","","","","","","비대상","상수도전용","","","","","","","","","","7.00","0.00","0.00","0.00","0.00","2.36","2.34","78.15","0.00","0.00","","","3040000-104-1977-07835","","","","","","내국인",""
"3040000","104","1978","07400","휴게음식점","19781007","킹스로드","    ","서울특별시 광진구 자양동  219번지 2호  ","32.05","  02 4011501  ","19951216","","19951216","자양제1동","18991230","행정처분","","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","5.81","0.00","0.00","1.50","0.00","10.00","0.00","24.74","0.00","0.00","","","3040000-104-1978-07400","","","","","","내국인",""
"3040000","104","1978","07617","휴게음식점","19780506","중앙다방","    ","서울특별시 광진구 구의동  230번지 19호  ","111.74","  02 4443242  ","20070830","","19780506","구의제1동","20090714","자진폐업","개인사정","다방","","","","","","20070814","비대상","상수도전용","지하","0","3","","","","","","","7.20","0.00","0.00","10.36","0.00","7.00","11.50","82.68","0.00","0.00","","","3040000-104-1978-07617","","","","","","내국인","대한민국"
"3040000","104","1978","07693","휴게음식점","19781001","공원","    ","서울특별시 광진구 군자동  218번지 0호  ","100.60","  02 4663041  ","19951103","","19951103","군자동","19951031","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","22.93","0.00","0.00","0.00","0.00","2.89","0.00","77.67","0.00","0.00","","","3040000-104-1978-07693","","","","","","내국인",""
"3040000","104","1979","07252","휴게음식점","19791222","독일제빵","    ","서울특별시 광진구 자양동  343번지 4호  ","75.92","  02   0      ","19981203","","19981203","자양제2동","19981127","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","","","","","","","","16.10","0.00","0.00","0.00","0.00","10.00","9.45","50.37","0.00","0.00","","","3040000-104-1979-07252","","","","","","내국인",""
"3040000","104","1979","07309","휴게음식점","19790315","크라운베이커리","    ","서울특별시 광진구 화양동  7번지 4호  ","64.52","  02 4645290  ","19970212","","19970212","화양동","19970204","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","","","","","","","","17.76","0.00","0.00","3.15","0.00","3.30","0.00","43.61","0.00","0.00","","","3040000-104-1979-07309","","","","","","내국인",""
"3040000","104","1979","07335","휴게음식점","19790205","파리바게뜨화양점","    ","서울특별시 광진구 화양동  118번지 2호  ","63.34","  02 4647583  ","19951002","","19951002","화양동","19950503","자진폐업","","과자점","","","","","","","비대상","상수도전용","","1","2","","","","","","","12.60","0.00","0.00","3.60","0.00","3.30","2.88","44.26","0.00","0.00","","","3040000-104-1979-07335","","","","","","내국인",""
"3040000","104","1979","07383","휴게음식점","19790518","포춘","    ","서울특별시 광진구 중곡동  115번지 9호  ","60.52","  02 4583726  ","19961014","","19961014","중곡제1동","19961009","자진폐업","","과자점","","","","","","","비대상","상수도전용","","4","3","","","","","","","8.50","0.00","0.00","0.00","0.00","0.00","0.00","52.02","0.00","0.00","","","3040000-104-1979-07383","","","","","","내국인",""
"3040000","104","1979","07592","휴게음식점","19790310","명성다방","    ","서울특별시 광진구 중곡동  174번지 81호  ","68.96","  02 4676642  ","19990524","","19790310","중곡제3동","20040730","자진폐업","영업부진","다방","0","0","0","0","0","","비대상","상수도전용","지하","0","0","","","","","","","5.30","0.00","0.00","0.00","0.00","3.76","3.60","60.06","0.00","0.00","","","3040000-104-1979-07592","","","","","","내국인",""
"3040000","104","1979","07620","휴게음식점","19790727","솔","    ","서울특별시 광진구 화양동  132번지 64호  ","69.60","  02   00000  ","19951010","","19951010","화양동","19921117","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","2","","","","","","","3.45","0.00","0.00","1.80","0.00","3.30","4.00","60.35","0.00","0.00","","","3040000-104-1979-07620","","","","","","내국인",""
"3040000","104","1979","07659","휴게음식점","19790913","고려","    ","서울특별시 광진구 화양동  132번지 1호  ","85.66","  02 4631338  ","19980103","","19980103","화양동","19971226","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","","","","","","","","7.27","0.00","0.00","0.00","0.00","6.60","0.00","78.39","0.00","0.00","","","3040000-104-1979-07659","","","","","","내국인",""
"3040000","104","1979","07662","휴게음식점","19790424","하야로비","서울특별시 광진구 동일로 174 (화양동)","서울특별시 광진구 화양동  23번지 7호  ","84.54","  02 4627881  ","20120716","","19790424","화양동","20120718","자진폐업","업종전환","다방","","","","","","","비대상","상수도전용","지상","0","","","","","","","","13.51","0.00","0.00","0.00","0.00","3.30","5.28","65.75","0.00","0.00","","","3040000-104-1979-07662","","","","","","내국인","대한민국"
"3040000","104","1979","07680","휴게음식점","19790914","복","    ","서울특별시 광진구 구의동  252번지 15호  ","92.60","  02 4446861  ","19960212","","19960212","구의제1동","19960212","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","7.30","0.00","0.00","0.00","0.00","6.00","0.00","85.30","0.00","0.00","","","3040000-104-1979-07680","","","","","","내국인",""
"3040000","104","1979","07713","휴게음식점","19790302","동서다방","    ","서울특별시 광진구 화양동  42번지 1호  ","102.97","  02 4620529  ","20010813","","20010813","화양동","20010807","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","9.13","0.00","0.00","3.04","0.00","6.60","4.38","86.42","0.00","0.00","","","3040000-104-1979-07713","","","","","","내국인",""
"3040000","104","1979","07782","휴게음식점","19790125","백합","    ","서울특별시 광진구 능동  236번지 1호  ","","  02 4478887  ","19960206","","19790125","능동","20081201","자진폐업","영업부진","다방","0","0","1","1","","","비대상","상수도전용","지하","0","3","","","","","","","9.40","","","","","10.00","","112.00","","","","","3040000-104-1979-07782","","","","","","내국인",""
"3040000","104","1979","07793","휴게음식점","19790319","조양다방","    ","서울특별시 광진구 자양동  11번지 1호  ","","  02 4633843  ","20010627","","19790319","자양제4동","20050509","행정처분","시설물 전부철거","다방","0","0","1","1","4","20020424","비대상","상수도전용","지하","0","3","","","","","","","","","","107.34","","5.00","","","","","","","3040000-104-1979-07793","","","","","","내국인",""
"3040000","104","1980","07249","휴게음식점","19800912","고려제과","    ","서울특별시 광진구 중곡동  169번지 21호  ","22.30","  02 4676697  ","19960108","","19960108","중곡제1동","19960104","자진폐업","","과자점","","","","","","","비대상","상수도전용","","2","1","","","","","","","5.20","0.00","0.00","0.00","0.00","3.50","0.00","17.10","0.00","0.00","","","3040000-104-1980-07249","","","","","","내국인",""
"3040000","104","1980","07253","휴게음식점","19800709","해태델리","    ","서울특별시 광진구 화양동  5번지 47호  ","67.80","  02   00000  ","19951023","","19951023","화양동","19951017","자진폐업","","과자점","","","","","","","비대상","상수도전용","","1","2","","","","","","","0.00","0.00","0.00","0.00","0.00","3.30","0.00","67.80","0.00","0.00","","","3040000-104-1980-07253","","","","","","내국인",""
"3040000","104","1980","07257","휴게음식점","19801219","워커힐델피숍","    ","서울특별시 광진구 광장동  303번지 0호  ","65.34","  02 4461968  ","19951118","","19951118","광장동","19890119","자진폐업","","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","0.00","5.00","0.00","0.00","0.00","18.00","3.00","57.34","0.00","0.00","","","3040000-104-1980-07257","","","","","","내국인",""
"3040000","104","1980","07259","휴게음식점","19801222","고려제과","    ","서울특별시 광진구 중곡동  292번지 1호  ","28.06","  02 4457910  ","19801222","","19801222","중곡제4동","20000811","행정처분","행정처분","과자점","","","","","","","비대상","상수도전용","지상","0","","","","","","","","7.36","0.00","0.00","0.00","0.00","3.70","0.00","20.70","0.00","0.00","","","3040000-104-1980-07259","","","","","","내국인",""
"3040000","104","1980","07262","휴게음식점","19800818","하얀풍차","    ","서울특별시 광진구 자양동  584번지 13호  ","19.63","  02 4523190  ","19980629","","19980629","자양제3동","19990308","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","","","","","","","","3.64","0.00","0.00","0.00","0.00","10.00","0.00","15.99","0.00","0.00","","","3040000-104-1980-07262","","","","","","내국인",""
"3040000","104","1980","07310","휴게음식점","19800704","몽블랑","    ","서울특별시 광진구 화양동  16번지 89호  ","31.02","  02 4655285  ","19970224","","19970224","화양동","19970217","자진폐업","","과자점","","","","","","","비대상","상수도전용","","","","","","","","","","9.24","0.00","0.00","0.00","0.00","3.30","0.00","21.78","0.00","0.00","","","3040000-104-1980-07310","","","","","","내국인",""
"3040000","104","1980","07323","휴게음식점","19800802","밀려오네","    ","서울특별시 광진구 구의동  244번지 50호  ","80.61","  02 4466860  ","19990618","","19800802","구의제3동","20020225","자진폐업","영업부진","일반조리판매","","","","","","","비대상","상수도전용","","0","0","","","","","","","13.20","0.00","0.00","0.00","0.00","10.00","0.00","67.41","0.00","0.00","","","3040000-104-1980-07323","","","","","","내국인",""
"3040000","104","1980","07394","휴게음식점","19800609","거북당","    ","서울특별시 광진구 능동  81번지 9호  ","68.00","  02 4674146  ","19951002","","19951002","군자동","19950503","자진폐업","","과자점","","","","","","","비대상","상수도전용","","2","1","","","","","","","11.00","0.00","0.00","0.00","0.00","8.00","6.00","51.00","0.00","0.00","","","3040000-104-1980-07394","","","","","","내국인",""
"3040000","104","1980","07464","휴게음식점","19800722","뉴욕베이커리","    ","서울특별시 광진구 자양동  52번지 65호  ","43.35","  02 4631290  ","19961111","","19961111","자양제4동","19961030","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","0","","","","","","","15.75","0.00","0.00","0.00","0.00","4.00","0.00","27.60","0.00","0.00","","","3040000-104-1980-07464","","","","","","내국인",""
"3040000","104","1980","07611","휴게음식점","19800530","은하수","    ","서울특별시 광진구 구의동  229번지 2호  ","121.77","  02 4570335  ","19960528","","19960528","구의제1동","20000930","행정처분","","다방","","","","","","","비대상","상수도전용","","0","","","","","","","","12.42","0.00","0.00","0.00","0.00","10.00","3.10","106.25","0.00","0.00","","","3040000-104-1980-07611","","","","","","내국인",""
"3040000","104","1980","07633","휴게음식점","19800909","규방","    ","서울특별시 광진구 구의동  66번지 61호  ","110.96","  02 4572524  ","19930825","","19800909","구의제2동","20021031","자진폐업","매매","다방","","","","","","","비대상","상수도전용","지하","0","","","","","","","","7.68","0.00","0.00","0.00","0.00","8.00","7.78","95.50","0.00","0.00","","","3040000-104-1980-07633","","","","","","내국인",""
"3040000","104","1980","07675","휴게음식점","19800916","별","    ","서울특별시 광진구 중곡동  157번지 4호  ","126.00","  02 4527203  ","19961120","","19961120","중곡제1동","20000811","행정처분","","다방","","","","","","","비대상","상수도전용","","0","","","","","","","","8.91","0.00","0.00","3.08","0.00","2.76","3.29","110.72","0.00","0.00","","","3040000-104-1980-07675","","","","","","내국인",""
"3040000","104","1980","07684","휴게음식점","19800425","항구","    ","서울특별시 광진구 화양동  23번지 40호  ","139.74","  0200000000  ","19981219","","19981219","화양동","19900910","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","7.14","0.00","0.00","0.00","0.00","3.30","0.00","132.60","0.00","0.00","","","3040000-104-1980-07684","","","","","","내국인",""
"3040000","104","1980","07692","휴게음식점","19801023","대지","    ","서울특별시 광진구 군자동  194번지 1호  ","98.80","  0202440760  ","19981219","","19801023","군자동","20000811","행정처분","영업소폐쇄","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","4.00","0.00","0.00","0.00","0.00","16.00","11.20","83.60","0.00","0.00","","","3040000-104-1980-07692","","","","","","내국인",""
"3040000","104","1980","07719","휴게음식점","19800127","육교","    ","서울특별시 광진구 구의동  53번지 10호  ","66.30","  02 4461397  ","19950512","","19950512","구의제1동","19950510","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","5.40","0.00","0.00","1.50","0.00","8.00","4.00","55.40","0.00","0.00","","","3040000-104-1980-07719","","","","","","내국인",""
"3040000","104","1980","07731","휴게음식점","19800919","홍","    ","서울특별시 광진구 자양동  7번지 25호  ","138.74","  02 4670381  ","19970818","","19970818","자양제4동","19970806","자진폐업","","다방","","","","","","","비대상","상수도전용","","","","","","","","","","11.10","0.00","0.00","5.20","0.00","6.00","9.28","113.16","0.00","0.00","","","3040000-104-1980-07731","","","","","","내국인",""
"3040000","104","1980","07778","휴게음식점","19801031","커피하우스이지","    ","서울특별시 광진구 자양동  9번지 12호  ","133.12","  02 4644347  ","19890519","","19801031","자양제4동","20020607","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","","0","","","","","","","","8.20","0.00","0.00","0.00","6.38","0.00","28.00","90.54","0.00","0.00","","","3040000-104-1980-07778","","","","","","내국인",""
"3040000","104","1981","07254","휴게음식점","19811215","독일제과","    ","서울특별시 광진구 능동  256번지 4호  ","55.69","  02 4475452  ","19960418","","19960418","능동","19960418","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","0","","","","","","","13.03","0.00","0.00","0.00","0.00","8.00","0.00","42.66","0.00","0.00","","","3040000-104-1981-07254","","","","","","내국인",""
"3040000","104","1981","07272","휴게음식점","19810902","몽블랑","    ","서울특별시 광진구 구의동  50번지 9호  ","26.50","  02 4447020  ","19981203","","19981203","구의제2동","19981201","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","","","","","","","","16.00","0.00","0.00","0.00","0.00","8.00","10.50","0.00","0.00","0.00","","","3040000-104-1981-07272","","","","","","내국인",""
"3040000","104","1981","07297","휴게음식점","19810317","크라운베이커리","    ","서울특별시 광진구 중곡동  115번지 4호  ","63.18","  02 4479247  ","20011024","","20011024","중곡제4동","20010912","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","","","","","","","","0.00","0.00","0.00","15.70","0.00","0.00","0.00","47.48","0.00","0.00","","","3040000-104-1981-07297","","","","","","내국인",""
"3040000","104","1981","07301","휴게음식점","19810729","불란서","    ","서울특별시 광진구 중곡동  79번지 2호  ","48.89","  02 4474454  ","19810729","","19810729","중곡제4동","20020107","자진폐업","자진폐업","과자점","","","","","","","비대상","상수도전용","지상","","","","","","","","","19.03","0.00","0.00","0.00","0.00","4.90","1.60","28.26","0.00","0.00","","","3040000-104-1981-07301","","","","","","내국인",""
"3040000","104","1981","07302","휴게음식점","19811019","독일제과","    ","서울특별시 광진구 중곡동  235번지 1호  ","42.56","  02 4663927  ","19840406","","19811019","중곡제1동","20051124","행정처분","영업장 시설물 전부철거","과자점","","","","","","","비대상","상수도전용","지상","0","","","","","","","","9.00","0.00","0.00","0.00","0.00","0.00","0.00","33.56","0.00","0.00","","","3040000-104-1981-07302","","","","","","내국인",""
"3040000","104","1981","07303","휴게음식점","19811028","호텔베이커리","    ","서울특별시 광진구 중곡동  173번지 24호  ","25.46","  02 4665545  ","19900702","","19811028","중곡제3동","20051124","행정처분","영업장 시설물 전부철거","과자점","","","","","","","비대상","상수도전용","지상","","","","","","","","","9.50","0.00","0.00","0.00","0.00","4.10","0.00","15.96","0.00","0.00","","","3040000-104-1981-07303","","","","","","내국인",""
"3040000","104","1981","07312","휴게음식점","19811221","신라명과","    ","서울특별시 광진구 자양동  1번지 1호  ","43.76","  02 4647315  ","19960104","","19960104","자양제4동","19951229","자진폐업","","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","0.00","0.00","0.00","4.16","0.00","6.00","0.00","39.60","0.00","0.00","","","3040000-104-1981-07312","","","","","","내국인",""
"3040000","104","1981","07555","휴게음식점","19810523","용다방","    ","서울특별시 광진구 중곡동  140번지 1호  ","60.04","  02 4471511  ","20030310","","19810523","중곡제2동","20030724","자진폐업","기타","다방","0","0","0","0","0","","비대상","상수도전용","지상","0","0","","","","","","","5.25","0.00","0.00","6.15","0.00","3.80","0.00","48.64","0.00","0.00","","","3040000-104-1981-07555","","","","","","내국인",""
"3040000","104","1981","07566","휴게음식점","19810321","귀빈","    ","서울특별시 광진구 중곡동  211번지 29호  ","74.35","  02 4677697  ","19970320","","19970320","중곡제3동","19970310","자진폐업","","다방","","","","","","","비대상","상수도전용","","","","","","","","","","7.00","0.00","0.00","4.75","0.00","","5.00","57.60","0.00","0.00","","","3040000-104-1981-07566","","","","","","내국인",""
"3040000","104","1981","07581","휴게음식점","19810227","올리브","    ","서울특별시 광진구 자양동  608번지 7호  ","119.84","  02 4545151  ","20040525","","19910928","자양제1동","20081229","행정처분","행정처분","다방","","","","","","20040707","비대상","상수도전용","지하","0","0","","","","","","","11.40","0.00","0.00","0.00","0.00","2.20","2.80","105.64","0.00","0.00","","","3040000-104-1981-07581","","","","","","내국인","대한민국"
"3040000","104","1981","07584","휴게음식점","19811230","곰","    ","서울특별시 광진구 중곡동  240번지 2호  ","63.00","  02 4671330  ","19950929","","19811230","중곡제1동","19950927","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.70","0.00","0.00","5.51","0.00","4.10","5.89","45.90","0.00","0.00","","","3040000-104-1981-07584","","","","","","내국인",""
"3040000","104","1981","07586","휴게음식점","19810319","매일다방","    ","서울특별시 광진구 구의동  253번지 24호  ","112.88","  02 4467656  ","19990319","","19961128","구의제1동","20001020","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","8.40","0.00","0.00","0.00","0.00","6.00","6.35","98.13","0.00","0.00","","","3040000-104-1981-07586","","","","","","내국인",""
