"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3000000","104","1964","09227","휴게음식점","19641203","청수","    ","서울특별시 종로구 장사동  147번지 2호  ","2.40","  0202674693  ","19930415","","19641203","종로1.2.3.4가동","19920618","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","1","","","","","","","0.00","0.00","0.00","0.00","2.40","0.00","0.00","0.00","0.00","0.00","","","3000000-104-1964-09227","","","","","","내국인",""
"3000000","104","1965","09174","휴게음식점","19651030","태을","    ","서울특별시 종로구 공평동  119번지 0호  ","56.62","  0207255360  ","19941215","","19941215","종로1.2.3.4가동","19941201","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","1","","","","","","","5.40","0.00","0.00","0.00","0.00","2.25","0.00","51.22","0.00","0.00","","","3000000-104-1965-09174","","","","","","내국인",""
"3000000","104","1965","09216","휴게음식점","19651010","봉다방","서울특별시 종로구 종로 313-1 (창신동지상2층)","서울특별시 종로구 창신동  154번지 1호  지상2층","58.30","  0207633064  ","20080516","","19981211","창신제1동","20120323","자진폐업","자진폐업","다방","2","2","0","0","2","20080613","비대상","상수도전용","","0","1","","","","","","","6.75","0.00","0.00","0.00","0.00","7.40","0.00","51.55","0.00","0.00","","","3000000-104-1965-09216","","","","","","내국인","대한민국"
"3000000","104","1965","09601","휴게음식점","19651223","길","    ","서울특별시 종로구 창신동  696번지 1호  ","119.72","  02 7636226  ","19960510","","19960510","창신제2동","19960430","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","5.20","0.00","0.00","18.40","18.40","0.00","0.00","77.72","0.00","0.00","","","3000000-104-1965-09601","","","","","","내국인",""
"3000000","104","1966","09238","휴게음식점","19661014","장미","    ","서울특별시 종로구 장사동  212번지  ","76.12","  0202654710  ","19930807","","19661014","종로1.2.3.4가동","19930804","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","1","","","","","","","8.16","0.00","0.00","0.00","0.00","12.00","3.90","64.06","0.00","0.00","","","3000000-104-1966-09238","","","","","","내국인",""
"3000000","104","1966","09259","휴게음식점","19660720","돌","    ","서울특별시 종로구 숭인동  1243번지 0호  ","108.80","  0209582020  ","19981027","","19981027","숭인제2동","20060609","자진폐업","영업부진","다방","1","1","0","0","3","","비대상","상수도전용","","1","0","","","","","","","6.30","0.00","0.00","0.00","0.00","3.00","0.00","102.50","0.00","0.00","","","3000000-104-1966-09259","","","","","","내국인",""
"3000000","104","1966","09317","휴게음식점","19660716","시티파크","    ","서울특별시 종로구 신문로1가  25번지 0호  ","104.68","  02 7350698  ","19961015","","19961015","사직동","19961002","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","11.52","0.00","0.00","8.40","8.40","0.00","0.00","76.36","0.00","0.00","","","3000000-104-1966-09317","","","","","","내국인",""
"3000000","104","1966","09733","휴게음식점","19661205","호","    ","서울특별시 종로구 관수동  120번지  ","0.00","  0202656858  ","19920812","","19661205","종로1.2.3.4가동","20020507","자진폐업","업종변경","과자점","","","","","","","비대상","상수도전용","","0","1","","","","","","","0.00","0.00","0.00","0.00","0.00","3.00","0.00","0.00","","","","","3000000-104-1966-09733","","","","","","내국인",""
"3000000","104","1966","09775","휴게음식점","19661231","백궁","    ","서울특별시 종로구 묘동  60번지 1호  ","131.46","  0207642370  ","19920814","","19661231","종로1.2.3.4가동","20130909","행정처분","행정처분","다방","1","1","0","0","6","","비대상","상수도전용","","0","4","","","","","","","11.68","0.00","0.00","4.64","4.64","0.00","0.00","110.50","0.00","0.00","","","3000000-104-1966-09775","","","","","","내국인",""
"3000000","104","1967","08777","휴게음식점","19671109","(주)롯데리아신설점","    ","서울특별시 종로구 숭인동  1243번지 0호  ","129.38","  0209477611  ","19980312","","19980312","숭인제2동","20021022","자진폐업","계약만료","과자점","","","","","","","비대상","상수도전용","","1","2","","","","","","","39.41","0.00","0.00","0.00","2.12","0.00","0.00","87.85","0.00","0.00","","","3000000-104-1967-08777","","","","","","외국인",""
