"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3010000","104","1904","00583","휴게음식점","19040808",".","    ","서울특별시 중구 무학동  37번지  ","89.50","  0204693489  ","19940208","","19940208","신당동","19930326","자진폐업","","다방","","","","","","","비대상","상수도전용","","3","5","","","","","","","7.23","0.00","0.00","0.00","3.08","0.00","1.80","77.39","","","","","3010000-104-1904-00583","","","","","","내국인",""
"3010000","104","1936","01068","휴게음식점","19361023","정동","    ","서울특별시 중구 을지로2가  18번지 3호  ","111.60","  0207766023  ","19960627","","19960627","명동","19960620","행정처분","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","10.80","0.00","0.00","0.00","0.00","3.00","0.00","100.80","","","","","3010000-104-1936-01068","","","","","","내국인",""
"3010000","104","1965","00200","휴게음식점","19650724","장군","    ","서울특별시 중구 신당동  369번지 0호  ","24.70","  02 2520892  ","19960208","","19960208","신당동","19960112","자진폐업","","일반조리판매","","","","","","","비대상","상수도전용","","0","0","","","","","","","4.83","0.00","0.00","0.00","0.00","2.05","0.00","19.87","","","","","3010000-104-1965-00200","","","","","","내국인",""
"3010000","104","1966","00905","휴게음식점","19660720","은호","    ","서울특별시 중구 의주로2가  92번지 1호  ","101.14","  0202650534  ","19931227","","19931227","중림동","19900706","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","4.20","0.00","0.00","0.00","3.25","0.00","3.60","90.09","","","","","3010000-104-1966-00905","","","","","","내국인",""
"3010000","104","1966","00970","휴게음식점","19660912","수련","    ","서울특별시 중구 서소문동  84번지 1호  ","63.68","  02   00000  ","19961104","","19961104","소공동","19961010","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","6.16","0.00","0.00","0.00","0.00","2.47","2.32","55.20","","","","","3010000-104-1966-00970","","","","","","내국인",""
"3010000","104","1966","00995","휴게음식점","19660630","수도","    ","서울특별시 중구 을지로5가  273번지 4호  ","141.33","  0222675839  ","20030310","","19960904","을지로동","20031010","자진폐업","제22조","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","9.30","0.00","0.00","28.03","7.68","0.00","0.00","96.32","","","","","3010000-104-1966-00995","","","","","","내국인",""
"3010000","104","1966","01037","휴게음식점","19660921","은자다방","    ","서울특별시 중구 남대문로3가  30번지 7호  ","71.08","  0207785648  ","20020729","","19940126","소공동","20031017","자진폐업","제22조","다방","","","","","","20021023","비대상","상수도전용","","0","3","","","","","","","11.60","0.00","0.00","0.00","2.40","0.00","0.00","57.08","","","","","3010000-104-1966-01037","","","","","","내국인",""
"3010000","104","1966","01038","휴게음식점","19660620","푸른들","    ","서울특별시 중구 남대문로3가  92번지 2호  ","78.49","  0207534724  ","19940408","","19940408","소공동","20071120","자진폐업","영업부진","다방","","","","","","20031231","비대상","상수도전용","","0","3","","","","","","","8.61","0.00","0.00","0.00","6.66","0.00","0.00","63.22","","","","","3010000-104-1966-01038","","","","","","내국인",""
"3010000","104","1966","01116","휴게음식점","19661201","로방","    ","서울특별시 중구 삼각동  113번지 0호  ","105.00","  0200000000  ","19940208","","19940208","명동","19890719","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","7.26","0.00","0.00","6.57","0.00","3.60","5.76","85.41","","","","","3010000-104-1966-01116","","","","","","내국인",""
"3010000","104","1966","01140","휴게음식점","19661220","오두막","    ","서울특별시 중구 무학동  50번지 2호  ","79.50","  02 2355674  ","19951107","","19951107","신당동","19951101","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","2","","","","","","","6.75","0.00","0.00","0.00","0.00","5.00","0.00","72.75","","","","","3010000-104-1966-01140","","","","","","내국인",""
