"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3060000","104","1968","07265","휴게음식점","19680504","등대","    ","서울특별시 중랑구 묵동  238번지 8호  ","110.19","  0209736643  ","19920728","","19920728","묵제1동","19921027","행정처분","","다방","","","","","","","비대상","상수도전용","","0","1","","","","","","","5.40","0.00","0.00","1.70","0.00","3.00","9.00","94.09","","","","","3060000-104-1968-07265","","","","","","내국인",""
"3060000","104","1968","07587","휴게음식점","19681002","청학커피숍","    ","서울특별시 중랑구 상봉동  136번지 6호  ","87.95","  02 4331093  ","20030226","","19971009","상봉제2동","20070530","자진폐업","영업부진","다방","0","0","1","1","4","","비대상","상수도전용","","0","2","","","","","","","5.49","0.00","0.00","6.81","0.00","4.78","13.94","61.71","","","","","3060000-104-1968-07587","","","","","","내국인",""
"3060000","104","1969","07262","휴게음식점","19690813","은하","    ","서울특별시 중랑구 상봉동  108번지 2호  ","99.15","  0204356461  ","19930928","","19930928","상봉제1동","19930918","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","9.50","0.00","0.00","0.00","0.00","3.00","2.00","87.65","","","","","3060000-104-1969-07262","","","","","","내국인",""
"3060000","104","1969","07266","휴게음식점","19691218","중앙","    ","서울특별시 중랑구 상봉동  130번지 130호  ","88.50","  0204330339  ","19920728","","19920728","상봉제1동","19890905","행정처분","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","7.50","0.00","0.00","0.00","0.00","4.50","6.30","74.70","","","","","3060000-104-1969-07266","","","","","","내국인",""
"3060000","104","1969","07276","휴게음식점","19690811","영","    ","서울특별시 중랑구 망우동  340번지 22호  ","97.35","  0204344977  ","19940418","","19940418","망우본동","19940414","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","8.00","0.00","0.00","0.00","0.00","4.50","3.75","85.60","","","","","3060000-104-1969-07276","","","","","","내국인",""
"3060000","104","1969","07286","휴게음식점","19691202","샘","    ","서울특별시 중랑구 면목동  496번지 6호  ","93.94","  02 4351333  ","19920730","","19920730","면목제3.8동","20110117","행정처분","행정처분","다방","0","0","1","1","1","","비대상","상수도전용","","0","3","","","","","","","8.58","0.00","0.00","0.00","0.00","6.90","4.84","80.52","","","","","3060000-104-1969-07286","","","","","","내국인",""
"3060000","104","1969","07528","휴게음식점","19690911","길다방","    ","서울특별시 중랑구 묵동  162번지 1호  ","83.32","  0209734500  ","20030103","","19980105","묵제1동","20041201","자진폐업","영업부진","다방","0","0","1","1","2","","비대상","상수도전용","","0","2","","","","","","","11.05","0.00","0.00","0.00","3.00","0.00","3.12","66.15","","","","","3060000-104-1969-07528","","","","","","내국인",""
"3060000","104","1970","07295","휴게음식점","19701222","코스모스","    ","서울특별시 중랑구 중화동  산 314번지 1호  ","89.25","  0204358706  ","19940314","","19940314","중화제1동","19940310","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","8.36","0.00","0.00","8.90","2.20","0.00","7.48","62.31","","","","","3060000-104-1970-07295","","","","","","내국인",""
"3060000","104","1970","07353","휴게음식점","19701019","칠성다방","    ","서울특별시 중랑구 상봉동  118번지 5호  ","159.62","  02 4347595  ","20010622","","20010622","상봉제1동","20020118","자진폐업","폐업","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","20.30","0.00","0.00","4.27","0.00","7.50","11.68","123.37","","","","","3060000-104-1970-07353","","","","","","내국인",""
"3060000","104","1970","07423","휴게음식점","19701205","남경","    ","서울특별시 중랑구 면목동  147번지 7호  ","104.52","  02 4351423  ","19950831","","19950831","면목본동","19950825","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","10.20","0.00","0.00","0.00","0.00","3.50","3.00","91.32","","","","","3060000-104-1970-07423","","","","","","내국인",""
"3060000","104","1970","07451","휴게음식점","19701010","초코렛","    ","서울특별시 중랑구 중화동  209번지 8호  ","108.87","  02 4329001  ","20010517","","20010517","중화제1동","20010517","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","4.60","0.00","0.00","0.00","3.50","0.00","4.80","95.97","","","","","3060000-104-1970-07451","","","","","","내국인",""
"3060000","104","1970","07452","휴게음식점","19700506","정","    ","서울특별시 중랑구 중화동  307번지 15호  ","91.30","  0204335379  ","20070604","","19920730","중화제2동","20110729","자진폐업","업종변경","다방","0","0","1","1","2","20070814","비대상","상수도전용","","0","2","","","","","","","6.16","0.00","0.00","0.00","3.00","0.00","4.14","78.00","","","","","3060000-104-1970-07452","","","","","","내국인",""
"3060000","104","1970","07458","휴게음식점","19701221","궁전다방","    ","서울특별시 중랑구 중화동  304번지 16호  ","66.00","  02          ","19970204","","19970204","중화제1동","20000113","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","9.00","0.00","0.00","0.00","3.00","0.00","0.00","54.00","","","","","3060000-104-1970-07458","","","","","","내국인",""
"3060000","104","1970","07541","휴게음식점","19701217","한독커피?","    ","서울특별시 중랑구 중화동  301번지 2호  ","116.15","  02 4357676  ","20010620","","20010620","중화제2동","20101026","기타","영업신고사항 직권말소","다방","0","0","1","1","2","","비대상","상수도전용","","0","1","","","","","","","11.75","0.00","0.00","0.00","0.00","3.00","6.50","97.90","","","","","3060000-104-1970-07541","","","","","","내국인",""
