"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3130000","104","1965","06286","휴게음식점","19650205","삼성","    ","서울특별시 마포구 신수동  448번지 10호  ","68.40","  02 7153722  ","19980512","","19980512","신수동","20000712","행정처분","면허취소-정기체납","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.88","0.00","0.00","0.00","0.00","0.00","0.00","62.52","0.00","0.00","","","3130000-104-1965-06286","","","","","","내국인",""
"3130000","104","1966","06350","휴게음식점","19660707","새명커피숍","    ","서울특별시 마포구 아현동  270번지 1호  ","71.36","  02 3631427  ","19990602","","19990602","아현동","20070405","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.12","2.00","0.00","2.00","2.84","0.00","0.00","59.40","0.00","0.00","","","3130000-104-1966-06350","","","","","","내국인",""
"3130000","104","1968","06395","휴게음식점","19680925","샬롬","    ","서울특별시 마포구 공덕동  105번지 62호  ","75.40","  02 7132438  ","19960711","","19960711","공덕동","19960604","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","6.44","0.00","0.00","0.00","2.76","","0.00","66.20","0.00","0.00","","","3130000-104-1968-06395","","","","","","내국인",""
"3130000","104","1969","06339","휴게음식점","19690503","희","서울특별시 마포구 마포대로 181 (아현동)","서울특별시 마포구 아현동  618번지 7호  ","57.91","  02 3626617  ","19970513","","19970513","아현동","","","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.00","2.71","0.00","0.00","0.00","0.00","0.00","50.20","0.00","0.00","","","3130000-104-1969-06339","","","","","","내국인",""
"3130000","104","1969","06374","휴게음식점","19691016","샤넬커피샵","    ","서울특별시 마포구 염리동  148번지 9호  ","75.55","  02 7173488  ","19951212","","19951212","염리동","19951114","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.40","0.00","0.00","6.31","0.00","2.40","0.00","60.84","0.00","0.00","","","3130000-104-1969-06374","","","","","","내국인",""
"3130000","104","1969","06421","휴게음식점","19690822","첼시커피숍","    ","서울특별시 마포구 신공덕동  27번지 8호  ","84.43","  0207123855  ","19970211","","19970211","공덕동","20111125","행정처분","직권폐업","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","6.16","0.00","0.00","7.00","0.00","0.00","0.00","71.27","0.00","0.00","","","3130000-104-1969-06421","","","","","","내국인",""
"3130000","104","1970","06080","휴게음식점","19700129","이조명과","    ","서울특별시 마포구 공덕동  140번지 13호  ","0.00","  02 7159264  ","19980515","","19980515","아현동","20031113","자진폐업","영업부진","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","0.00","0.00","0.00","0.00","0.00","2.50","0.00","0.00","0.00","0.00","","","3130000-104-1970-06080","","","","","","내국인",""
"3130000","104","1970","06252","휴게음식점","19700930","아이.엠커피숍","    ","서울특별시 마포구 노고산동  49번지 46호  ","135.80","  02 3347949  ","19980618","","19980618","대흥동","19980617","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","2","","","","","","","7.26","0.00","0.00","5.28","0.00","0.00","0.00","123.26","0.00","0.00","","","3130000-104-1970-06252","","","","","","내국인",""
"3130000","104","1970","06323","휴게음식점","19700514","칠성","서울특별시 마포구 도화길 51 (도화동)","서울특별시 마포구 도화동  181번지 2호  ","79.27","  02 7123632  ","19980512","","19980512","도화동","","","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","9.06","0.00","0.00","8.40","0.00","0.00","4.94","56.87","0.00","0.00","","","3130000-104-1970-06323","","","","","","내국인",""
"3130000","104","1970","06352","휴게음식점","19700716","학","    ","서울특별시 마포구 아현동  618번지 9호  ","100.92","  02 3631191  ","19980515","","19980515","아현동","20090601","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","11.44","0.00","0.00","4.64","0.00","4.64","14.06","70.78","0.00","0.00","","","3130000-104-1970-06352","","","","","","내국인",""
