"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3100000","104","1973","05429","휴게음식점","19730907","진","    ","서울특별시 노원구 상계동  101번지 9호  ","83.44","19960622","","19960622","상계3.4동","19990807","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","10.44","0.00","0.00","4.56","0.00","3.00","5.80","62.64","","","","","3100000-104-1973-05429","","","","","","내국인",""
"3100000","104","1974","05406","휴게음식점","19740924","황해","    ","서울특별시 노원구 공릉동  661번지 1호  ","145.85","19980521","","19980521","공릉1동","19990820","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","10.91","0.00","0.00","0.00","0.00","3.00","7.84","127.10","","","","","3100000-104-1974-05406","","","","","","내국인",""
"3100000","104","1978","05202","휴게음식점","19781226","쎌레스테","    ","서울특별시 노원구 공릉동  517번지 31호  ","49.49","19970929","","19970929","공릉1동","20001211","자진폐업","","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","8.88","0.00","0.00","0.00","0.00","","0.00","40.61","","","","","3100000-104-1978-05202","","","","","","내국인",""
"3100000","104","1978","05413","휴게음식점","19781020","길다방","    ","서울특별시 노원구 공릉동  517번지 31호  ","152.63","20060306","","19950714","공릉1동","20070516","자진폐업","폐업","다방","","","","","","20060412","비대상","상수도전용","","0","3","","","","","","","66.00","0.00","0.00","0.00","0.00","5.00","4.00","82.63","","","","","3100000-104-1978-05413","","","","","","내국인",""
"3100000","104","1979","05376","휴게음식점","19790511","우성","    ","서울특별시 노원구 공릉동  661번지 4호  ","43.15","19941010","","19941010","공릉1동","19940629","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","4.37","0.00","0.00","0.00","0.00","5.00","4.18","34.60","","","","","3100000-104-1979-05376","","","","","","내국인",""
"3100000","104","1980","05197","휴게음식점","19800715","독일제과","    ","서울특별시 노원구 상계동  95번지 62호  ","40.22","19970106","","19970106","상계3.4동","20000517","자진폐업","","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","14.22","0.00","0.00","0.00","0.00","","0.00","26.00","","","","","3100000-104-1980-05197","","","","","","내국인",""
"3100000","104","1980","05423","휴게음식점","19801231","아리랑커피숍","    ","서울특별시 노원구 상계동  82번지 7호  ","99.78","20060420","","19980521","상계3.4동","20071127","자진폐업","업종변경","다방","","","","","","20060726","비대상","상수도전용","","0","2","","","","","","","9.22","0.00","0.00","0.00","0.00","4.00","7.97","82.59","","","","","3100000-104-1980-05423","","","","","","내국인",""
"3100000","104","1980","05426","휴게음식점","19800421","상록수","    ","서울특별시 노원구 상계동  95번지 256호  ","89.45","19980521","","19980521","상계3.4동","20020611","행정처분","행정처분","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","7.00","0.00","0.00","0.00","0.00","3.20","3.40","79.05","","","","","3100000-104-1980-05426","","","","","","내국인",""
"3100000","104","1981","05169","휴게음식점","19810416","벨가?베이커리","    ","서울특별시 노원구 공릉동  597번지 17호  ","","19970425","","19970425","공릉1동","20030619","자진폐업","자진페업","과자점","","","","","","","비대상","상수도전용","","0","0","","","","","","","19.60","","","","","1.00","","30.80","","","","","3100000-104-1981-05169","","","","","","내국인",""
"3100000","104","1981","05390","휴게음식점","19810519","정다방","    ","서울특별시 노원구 월계동  26번지 18호  ","63.38","19980521","","19980521","월계1동","20011009","자진폐업","ㅍ","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","4.72","0.00","0.00","0.00","0.00","4.20","4.72","53.94","","","","","3100000-104-1981-05390","","","","","","내국인",""
"3100000","104","1981","05392","휴게음식점","19810827","솔다방","    ","서울특별시 노원구 상계동  389번지 686호  ","65.55","19981121","","19981121","상계2동","19981111","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","6.20","0.00","0.00","0.00","0.00","10.00","3.00","56.35","","","","","3100000-104-1981-05392","","","","","","내국인",""
