"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3210000","104","1904","01143","휴게음식점","19040808","피터팬","    ","서울특별시 서초구 방배동  777번지 20호  ","220.10","  0205935096  ","19940912","","19940912","방배본동","19940705","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","11.34","0.00","0.00","13.20","31.20","0.00","10.00","154.36","0.00","0.00","","","3210000-104-1904-01143","","","","","","내국인",""
"3210000","104","1953","00572","휴게음식점","19530827","훼미리마트","    ","서울특별시 서초구 반포동  19번지 4호  ","9.72","  02 5356145  ","19970906","","19970906","반포제4동","19970902","자진폐업","","편의점","","","","","","","비대상","상수도전용","","0","0","","","","","","","4.86","0.00","0.00","4.86","0.00","22.40","0.00","0.00","0.00","0.00","","","3210000-104-1953-00572","","","","","","내국인",""
"3210000","104","1973","01534","휴게음식점","19730714","한일다방","    ","서울특별시 서초구 양재동  1번지 2호  2층","","  0205720536  ","19931018","","19931018","양재제1동","20090316","자진폐업","영업부진","다방","0","0","0","0","0","","비대상","상수도전용","","0","2","","","","","","","7.92","","","2.86","","","","51.94","","","","","3210000-104-1973-01534","","","","","","내국인",""
"3210000","104","1976","01172","휴게음식점","19761009","대호","    ","서울특별시 서초구 서초동  1602번지 10호  ","181.83","  02 5863394  ","20050302","","19940531","서초제3동","20071123","자진폐업","계약만료","다방","0","0","0","0","0","20050323","비대상","상수도전용","","0","2","","","","","","","15.91","0.00","0.00","7.44","7.44","0.00","17.56","133.48","0.00","0.00","","","3210000-104-1976-01172","","","","","","내국인",""
"3210000","104","1976","01519","휴게음식점","19760302","동호","    ","서울특별시 서초구 양재동  11번지 19  호  (지하)","106.43","  0205787232  ","19931018","","19931018","양재제1동","20040504","자진폐업","재건축","다방","0","0","0","0","0","","비대상","상수도전용","","0","2","","","","","","","12.33","0.00","0.00","4.44","0.00","5.50","3.37","86.29","0.00","0.00","","","3210000-104-1976-01519","","","","","","내국인",""
"3210000","104","1977","00995","휴게음식점","19770425","삼성","    ","서울특별시 서초구 방배동  440번지 33호  ","62.60","  02 5825487  ","20071029","","20010810","방배제2동","20091123","자진폐업","장사가안되서","다방","","","","","","20071121","비대상","상수도전용","","0","0","","","","","","","8.84","0.00","0.00","0.00","0.00","9.90","2.16","51.60","0.00","0.00","","","3210000-104-1977-00995","","","","","","내국인","대한민국"
"3210000","104","1977","01134","휴게음식점","19771104","민트","    ","서울특별시 서초구 서초동  1673번지 1호  지하1층","","  02 5879739  ","20010329","","20010329","서초제1동","20010329","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","","","","115.04","","12.00","","","0.00","0.00","","","3210000-104-1977-01134","","","","","","내국인",""
"3210000","104","1977","01318","휴게음식점","19770512","산","    ","서울특별시 서초구 반포동  723번지 14호  ","165.24","  02 5475151  ","19940303","","19940303","반포제1동","19991118","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","14.06","0.00","0.00","7.80","0.00","30.40","11.47","131.91","0.00","0.00","","","3210000-104-1977-01318","","","","","","내국인",""
"3210000","104","1978","00948","휴게음식점","19781213","삼호다방","    ","서울특별시 서초구 방배동  796번지 1호  ","47.35","  0205992022  ","20010711","","20010711","방배본동","20091211","자진폐업","영업부진","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","4.54","0.00","0.00","0.00","0.00","6.60","5.03","37.78","0.00","0.00","","","3210000-104-1978-00948","","","","","","내국인",""
"3210000","104","1978","01096","휴게음식점","19780412","길목","    ","서울특별시 서초구 반포동  9번지 3호  ","490.76","  02 5917371  ","19950902","","19950902","반포제4동","19950620","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","6","","","","","","","23.87","0.00","0.00","26.40","0.00","26.40","17.92","422.57","0.00","0.00","","","3210000-104-1978-01096","","","","","","내국인",""
