"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3120000","104","1931","04254","휴게음식점","19311106","터틀","    ","서울특별시 서대문구 충정로3가  32번지 10호  ","46.40","  02 3633429  ","19970313","","19970313","충현동","19970311","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","1","","","","","","","6.20","0.00","0.00","1.70","1.70","0.00","0.00","36.80","0.00","0.00","","","3120000-104-1931-04254","","","","","","내국인",""
"3120000","104","1967","02921","휴게음식점","19670523","호원당","    ","서울특별시 서대문구 대현동  54번지 24호  ","","  0203630855  ","19981219","","19981219","신촌동","20050314","자진폐업","사망에따른폐업","과자점","1","1","0","0","2","","비대상","상수도전용","지상","0","2","","","","","","","2.70","","","","","3.10","5.63","15.33","","","","","3120000-104-1967-02921","","","","","","내국인",""
"3120000","104","1967","03011","휴게음식점","19671010","노타리","    ","서울특별시 서대문구 창천동  18번지 52호  ","82.09","  0203921843  ","19940906","","19940906","신촌동","19931008","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","3","","","","","","","5.67","72.52","0.00","1.95","1.95","0.00","0.00","0.00","0.00","0.00","","","3120000-104-1967-03011","","","","","","내국인",""
"3120000","104","1967","03100","휴게음식점","19670623","코드리옹","    ","서울특별시 서대문구 창천동  30번지 6호  ","104.22","  02 7359618  ","19960613","","19960613","신촌동","19960604","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","6.60","0.00","0.00","17.47","0.00","3.50","0.00","80.15","0.00","0.00","","","3120000-104-1967-03100","","","","","","내국인",""
"3120000","104","1967","04253","휴게음식점","19671010","역전","    ","서울특별시 서대문구 대현동  121번지 8호  ","0.00","  02 3627286  ","19971017","","19971017","신촌동","19971014","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","0.00","0.00","0.00","0.00","0.00","3.10","0.00","0.00","0.00","0.00","","","3120000-104-1967-04253","","","","","","내국인",""
"3120000","104","1968","02867","휴게음식점","19680522","뉴-이태리","    ","서울특별시 서대문구 충정로2가  139번지 2호  ","113.20","  0203624270  ","19981219","","19981219","충현동","19890323","자진폐업","","과자점","","","","","","","비대상","상수도전용","","0","3","","","","","","","10.00","0.00","0.00","0.00","0.00","3.20","0.00","103.20","0.00","0.00","","","3120000-104-1968-02867","","","","","","내국인",""
"3120000","104","1968","08469","휴게음식점","19680406","팡세","    ","서울특별시 서대문구 홍제동  173번지 29호  ","58.87","  02 7388729  ","19960424","","19960424","홍제제1동","19960415","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","7.10","0.00","0.00","3.84","0.00","3.84","0.00","47.93","0.00","0.00","","","3120000-104-1968-08469","","","","","","내국인",""
"3120000","104","1968","08513","휴게음식점","19680617","화양","    ","서울특별시 서대문구 충정로2가  141번지 3호  ","54.70","  02 3928308  ","19960507","","19960507","충현동","20020529","자진폐업","업종변경","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","6.57","0.00","0.00","0.00","0.00","1.90","0.00","48.13","0.00","0.00","","","3120000-104-1968-08513","","","","","","내국인",""
"3120000","104","1969","03044","휴게음식점","19690812","이삭","서울특별시 서대문구 북아현로 2 (북아현동(지하1층))","서울특별시 서대문구 북아현동  135번지 9호  (지하1층)","","  0203621991  ","20031114","","19931021","북아현동","","","","다방","0","0","1","1","1","20040119","비대상","상수도전용","지상","1","2","","","","","","","","","","2.90","","2.90","","108.13","","","","","3120000-104-1969-03044","","","","","","내국인",""
"3120000","104","1969","03052","휴게음식점","19690912","로타리커피숍","    ","서울특별시 서대문구 영천동  287번지 0호  ","88.33","  0203639157  ","20010319","","20010319","천연동","20001121","자진폐업","","다방","","","","","","","비대상","상수도전용","","2","2","","","","","","","10.95","0.00","0.00","0.00","0.00","10.00","4.32","73.06","0.00","0.00","","","3120000-104-1969-03052","","","","","","내국인",""
