"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3230000","104","1899","14485","휴게음식점","18991230","맛탕수육","    ","서울특별시 송파구 삼전동  6번지 9호  (지상1층)","21.89","  0222022232  ","20020902","","20020902","삼전동","20020902","자진폐업","자진폐업","일반조리판매","","","","","","","비대상","상수도전용","지상","0","0","","","","","","","5.62","0.00","0.00","0.00","0.00","3.00","0.00","16.27","","","","","3230000-104-1899-14485","","","","","","내국인",""
"3230000","104","1904","01121","휴게음식점","19040808","코리아세븐","    ","서울특별시 송파구 잠실동  228번지 9호  ","6.10","  0204693489  ","19940218","","19940218","잠실본동","19931231","자진폐업","폐업","패스트푸드","","","","","","","비대상","상수도전용","지상","1","1","","","","","","","6.10","0.00","0.00","0.00","0.00","5.00","0.00","0.00","","","","","3230000-104-1904-01121","","","","","","내국인",""
"3230000","104","1948","01733","휴게음식점","19480115","볼라커피숍","    ","서울특별시 송파구 풍납동  410번지 1호  ","47.86","  0204778561  ","19950202","","19950202","풍납1동","19950126","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지하","0","1","","","","","","","7.92","0.00","0.00","0.00","0.00","5.00","0.00","39.94","","","","","3230000-104-1948-01733","","","","","","내국인",""
"3230000","104","1975","01833","휴게음식점","19751231","초원다방","    ","서울특별시 송파구 마천동  190번지 42호  ","69.90","  0204132108  ","19960830","","19751231","마천1동","19960613","행정처분","허가취소","과자점","","","","","","","비대상","상수도전용","지상","0","3","","","","","","","6.90","0.00","0.00","0.00","0.00","7.00","5.06","57.94","","","","","3230000-104-1975-01833","","","","","","내국인",""
"3230000","104","1976","01917","휴게음식점","19761012","국제다방","    ","서울특별시 송파구 잠실동  184번지 11호  ","77.39","  02 4224110  ","19970214","","19761012","잠실본동","20010305","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지하","0","2","","","","","","","9.40","0.00","0.00","0.00","0.00","16.00","4.29","63.70","","","","","3230000-104-1976-01917","","","","","","내국인",""
"3230000","104","1976","01976","휴게음식점","19761103","약속","    ","서울특별시 송파구 잠실동  184번지 5호  ","105.00","  02 4130880  ","19970121","","19761103","잠실본동","19951116","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지하","0","2","","","","","","","8.64","0.00","0.00","0.00","0.00","16.00","5.98","90.38","","","","","3230000-104-1976-01976","","","","","","내국인",""
"3230000","104","1976","02248","휴게음식점","19760922","은성","    ","서울특별시 송파구 잠실동  184번지 7호  ","159.36","  02 4220120  ","19980910","","19980910","잠실본동","19980909","자진폐업","폐업","다방","","","","","","","비대상","상수도전용","지하","0","3","","","","","","","22.19","0.00","0.00","5.80","0.00","16.00","11.90","119.47","","","","","3230000-104-1976-02248","","","","","","내국인",""
"3230000","104","1977","01932","휴게음식점","19770915","태양다방","    ","서울특별시 송파구 마천동  308번지 31호  ","89.25","  02 4007705  ","19971125","","19971125","마천1동","19971122","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지하","0","3","","","","","","","7.14","0.00","0.00","0.00","6.27","0.00","5.04","70.80","","","","","3230000-104-1977-01932","","","","","","내국인",""
"3230000","104","1977","02027","휴게음식점","19770524","재동","    ","서울특별시 송파구 잠실동  175번지 7호  ","120.85","  02 4220073  ","19951215","","19770524","잠실본동","19951214","자진폐업","자진폐업","과자점","","","","","","","비대상","상수도전용","지하","1","3","","","","","","","7.40","0.00","0.00","0.00","0.00","16.00","3.78","109.67","","","","","3230000-104-1977-02027","","","","","","내국인",""
"3230000","104","1978","01787","휴게음식점","19780425","삼보","    ","서울특별시 송파구 마천동  127번지 9호  ","109.94","  02 4000288  ","19960702","","19780425","마천1동","19960701","자진폐업","자진폐업","과자점","","","","","","","비대상","상수도전용","지상","0","3","","","","","","","8.41","0.00","0.00","0.00","5.48","0.00","3.12","92.93","","","","","3230000-104-1978-01787","","","","","","내국인",""
