"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3070000","104","1909","08016","휴게음식점","19090312","뺑뜨비성신여대분점","    ","서울특별시 성북구 동선동2가  165번지  ","","  02 9281648  ","19940228","","19980514","동선동","19940620","자진폐업","자진폐업","과자점","","","","","","","비대상","상수도전용","지상","0","1","","","","","","","","","","","","","","","","","","","3070000-104-1909-08016","","","","","","내국인",""
"3070000","104","1965","08446","휴게음식점","19650929","호수","    ","서울특별시 성북구 삼선동5가  298번지 3호  ","","  02  950618  ","19940603","","19970611","삼선동","19970512","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지상","0","3","","","","","","","","","","","","","","","","","","","3070000-104-1965-08446","","","","","","내국인",""
"3070000","104","1965","08479","휴게음식점","19651218","영","    ","서울특별시 성북구 삼선동4가  346번지  ","","  02 9239164  ","19940603","","19950614","삼선동","19950410","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지하","0","2","","","","","","","","","","","","","","","","","","","3070000-104-1965-08479","","","","","","내국인",""
"3070000","104","1966","08108","휴게음식점","19661217","케익하우스윈","    ","서울특별시 성북구 삼선동2가  45번지 1호  ","","  0207422580  ","19840718","","19661217","삼선동","20040202","자진폐업","폐업","과자점","1","1","0","0","","20011123","비대상","상수도전용","지상","0","1","","","","","","","5.25","","","","","2.87","","8.10","","","","","3070000-104-1966-08108","","","","","","내국인",""
"3070000","104","1968","08488","휴게음식점","19680527","연도","    ","서울특별시 성북구 하월곡동  88번지 345호  ","","  02 9130260  ","19940603","","19680527","월곡제1동","19971113","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지상","0","0","","","","","","","","","","","","","","","","","","","3070000-104-1968-08488","","","","","","내국인",""
"3070000","104","1968","08642","휴게음식점","19681014","오두막","    ","서울특별시 성북구 종암동  68번지 1호  ","","  02 9345373  ","19960418","","19681014","종암동","19970605","자진폐업","자진폐업","과자점","","","","","","","비대상","상수도전용","지상","1","2","","","","","","","","","","","","","","","","","","","3070000-104-1968-08642","","","","","","내국인",""
"3070000","104","1969","08369","휴게음식점","19691023","경","    ","서울특별시 성북구 길음동  579번지  ","","  02   00000  ","19940308","","19691023","길음제1동","19980605","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지상","1","2","","","","","","","","","","","","","","","","","","","3070000-104-1969-08369","","","","","","내국인",""
"3070000","104","1969","08395","휴게음식점","19690613","상록수","    ","서울특별시 성북구 종암동  12번지 34호  ","","  0200000000  ","19950906","","19690613","종암동","19980824","행정처분","행정처분","다방","","","","","","","비대상","상수도전용","지상","1","2","","","","","","","","","","","","","","","","","","","3070000-104-1969-08395","","","","","","내국인",""
"3070000","104","1969","08470","휴게음식점","19691212","정다방","    ","서울특별시 성북구 동소문동5가  118번지 1호  ","","  0209267279  ","20011122","","19840430","삼선동","20040421","자진폐업",".","과자점","3","3","0","0","","20020807","비대상","상수도전용","지상","0","4","","","","","","","4.19","","","2.44","","0.92","","33.06","","","","","3070000-104-1969-08470","","","","","","내국인",""
"3070000","104","1969","08512","휴게음식점","19690915","정","    ","서울특별시 성북구 정릉동  16번지 449호  ","","  02   00000  ","19950401","","19690915","정릉제1동","19951020","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지상","0","0","","","","","","","","","","","","","","","","","","","3070000-104-1969-08512","","","","","","내국인",""
"3070000","104","1969","08543","휴게음식점","19690715","성지다방","서울특별시 성북구 보문로18길 1 (보문동4가)","서울특별시 성북구 보문동4가  78번지 4호  ","","  02 9269244  ","19971126","","19690715","보문동","","","","다방","4","4","1","1","","20011123","비대상","상수도전용","지하","0","2","","","","","","","5.25","","","","","1.54","","58.30","","","","","3070000-104-1969-08543","","","","","","내국인",""
"3070000","104","1969","08545","휴게음식점","19691001","아성","    ","서울특별시 성북구 보문동1가  101번지 26호  ","","  0209346179  ","19691001","","19691001","보문동","20041002","자진폐업","폐업","다방","4","4","0","0","","20011123","비대상","상수도전용","지상","0","3","","","","","","","5.12","","","","","1.50","","","","","","","3070000-104-1969-08545","","","","","","내국인",""
"3070000","104","1969","08690","휴게음식점","19690506","용","    ","서울특별시 성북구 하월곡동  90번지 124호  ","","  0200000000  ","19940829","","20010816","월곡제1동","20010126","행정처분","영업소폐쇄(지방세체납)","다방","","","","","","","비대상","상수도전용","지상","0","0","","","","","","","","","","","","","","","","","","","3070000-104-1969-08690","","","","","","내국인",""
"3070000","104","1970","08489","휴게음식점","19701006","정","    ","서울특별시 성북구 하월곡동  90번지 219호  ","","  02 9125702  ","19990730","","20010308","월곡제1동","20010305","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지상","0","0","","","","","","","","","","","","","","","","","","","3070000-104-1970-08489","","","","","","내국인",""
"3070000","104","1970","08554","휴게음식점","19700410","심지","    ","서울특별시 성북구 안암동5가  104번지 119호  ","","  02 9232781  ","19940607","","19950615","안암동","19950328","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지상","0","3","","","","","","","","","","","","","","","","","","","3070000-104-1970-08554","","","","","","내국인",""
"3070000","104","1970","08620","휴게음식점","19700403","록수커피숍","    ","서울특별시 성북구 하월곡동  162번지 1호  ","","  02 9838001  ","20031111","","19700403","월곡제1동","20051108","자진폐업","영업부진","다방","2","2","0","0","","","비대상","상수도전용","지상","0","0","","","","","","","4.50","","","","","4.50","","68.30","","","","","3070000-104-1970-08620","","","","","","내국인",""
"3070000","104","1970","08634","휴게음식점","19700923","유림다방","    ","서울특별시 성북구 성북동  130번지 6호  ","","  02 7621268  ","19940721","","19700923","성북동","19970327","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지하","0","0","","","","","","","","","","","","","","","","","","","3070000-104-1970-08634","","","","","","내국인",""
"3070000","104","1971","08480","휴게음식점","19710729","희","    ","서울특별시 성북구 정릉동  416번지 7호  ","","  0209147906  ","19940607","","19710729","정릉제1동","20001227","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지상","0","0","","","","","","","","","","","","","","","","","","","3070000-104-1971-08480","","","","","","내국인",""
"3070000","104","1971","08499","휴게음식점","19710617","오두막커피숍","    ","서울특별시 성북구 정릉동  16번지 169호  ","","  02 9120120  ","19981228","","19981228","정릉제1동","20000224","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지상","0","2","","","","","","","","","","","","","","","","","","","3070000-104-1971-08499","","","","","","내국인",""
"3070000","104","1971","08536","휴게음식점","19710728","까치다방","서울특별시 성북구 동소문로 251 (길음동)","서울특별시 성북구 길음동  532번지 12호  ","61.05","  0209128349  ","20090318","","20060124","길음제1동","20140123","자진폐업","사업부진","다방","0","0","1","1","0","20090325","비대상","상수도전용","지상","0","2","","","","","","","6.60","0.00","0.00","0.00","0.00","0.00","0.00","54.45","0.00","0.00","","","3070000-104-1971-08536","","","","","","내국인","대한민국"
"3070000","104","1971","08582","휴게음식점","19711127","엠티","    ","서울특별시 성북구 길음동  516번지 3호  ","","  0209164431  ","19940627","","19981219","길음제1동","19951218","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","지상","0","2","","","","","","","","","","","","","","","","","","","3070000-104-1971-08582","","","","","","내국인",""
"3070000","104","1971","08638","휴게음식점","19711223","석궁","    ","서울특별시 성북구 장위동  65번지 171호  ","","  02 9150744  ","19940701","","19711223","장위제2동","19951023","자진폐업","자진폐업","과자점","","","","","","","비대상","상수도전용","지하","0","4","","","","","","","","","","","","","","","","","","","3070000-104-1971-08638","","","","","","내국인",""
"3070000","104","1971","08647","휴게음식점","19710909","삼성","    ","서울특별시 성북구 종암동  15번지 4호  16-4","","  0209192800  ","19940930","","19710909","종암동","20021128","자진폐업",".","과자점","3","3","1","1","","","비대상","상수도전용","지하","0","2","","","","","","","7.77","","","","","4.50","6.66","80.08","","","","","3070000-104-1971-08647","","","","","","내국인",""
