"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3030000","104","1974","00318","휴게음식점","19740301","대성","    ","서울특별시 성동구 응봉동  200번지 1호  ","78.80","  02 2928705  ","19951215","","19951215","응봉동","19951110","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","4.50","0.00","0.00","0.00","0.00","8.00","4.80","69.50","","","","","3030000-104-1974-00318","","","","","","내국인",""
"3030000","104","1974","00379","휴게음식점","19740301","성미","    ","서울특별시 성동구 하왕십리동  395번지 0호  ","65.41","  02 2925494  ","19970307","","19970307","왕십리도선동","19941227","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","9.90","0.00","0.00","9.28","0.00","5.20","0.00","46.23","","","","","3030000-104-1974-00379","","","","","","내국인",""
"3030000","104","1974","00549","휴게음식점","19740301","리베로","    ","서울특별시 성동구 금호동2가  325번지  ","","  02          ","19930811","","19740301","금호2.3가동","20000927","자진폐업","자진폐업","다방","0","0","0","0","","","비대상","상수도전용","지상","0","0","","","","","","","8.00","","","","","12.00","5.12","60.37","","","","","3030000-104-1974-00549","","","","","","내국인",""
"3030000","104","1974","00572","휴게음식점","19740301","나드리커피숍","    ","서울특별시 성동구 상왕십리동  773번지 5호  ","72.40","  02 2936713  ","19971120","","19971120","왕십리도선동","19971120","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","5.12","2.40","0.00","0.00","0.00","4.70","2.40","62.48","","","","","3030000-104-1974-00572","","","","","","내국인",""
"3030000","104","1974","00575","휴게음식점","19740301","학다방","서울특별시 성동구 광나루로9길 2 (송정동)","서울특별시 성동구 송정동  66번지 262호  ","","011*******","20030823","","19740301","송정동","20151228","행정처분","법제37조제7항에 따른 직권말소","다방","0","0","1","1","2","","비대상","상수도전용","지하","0","3","","","","","","","7.28","","","","","5.70","3.60","84.57","","","","","3030000-104-1974-00575","","","","","","내국인","대한민국"
"3030000","104","1974","00582","휴게음식점","19740301","성수커피숍","    ","서울특별시 성동구 성수동2가  289번지 4호  ","","  02 4653797  ","19970313","","19740301","성수2가제1동","20051201","자진폐업","영업부진","다방","2","2","0","0","3","","비대상","상수도전용","지상","0","3","","","","","","","3.92","","","1.75","","6.00","1.75","80.78","","","","","3030000-104-1974-00582","","","","","","내국인",""
"3030000","104","1974","00599","휴게음식점","19740301","두꺼비","    ","서울특별시 성동구 홍익동  469번지 1호  ","77.76","  02          ","19980611","","19991004","왕십리도선동","19991004","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","11.40","0.00","0.00","0.00","0.00","5.20","3.00","63.36","","","","","3030000-104-1974-00599","","","","","","내국인",""
"3030000","104","1974","00601","휴게음식점","19740301","복","    ","서울특별시 성동구 송정동  67번지 11호  ","","  02 4667789  ","19890726","","19740301","송정동","20021126","행정처분","시설물멸실 및 영업자주민말소","다방","0","0","1","1","3","","비대상","상수도전용","지하","0","3","","","","","","","11.52","","","","","6.20","","99.65","","","","","3030000-104-1974-00601","","","","","","내국인",""
"3030000","104","1974","00662","휴게음식점","19740301","월성","    ","서울특별시 성동구 행당동  133번지 5호  ","115.64","  02 2926724  ","19961116","","19961116","행당제1동","19940820","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","8.64","0.00","0.00","0.00","0.00","5.00","0.00","107.00","","","","","3030000-104-1974-00662","","","","","","내국인",""
"3030000","104","1974","00747","휴게음식점","19740301","수","    ","서울특별시 성동구 상왕십리동  96번지 30호  ","78.17","  02 2936209  ","19961118","","19961118","왕십리도선동","19910912","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","7.13","0.00","0.00","3.84","0.00","5.70","0.00","67.20","","","","","3030000-104-1974-00747","","","","","","내국인",""
