"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3140000","104","1970","06200","휴게음식점","19701224","정","    ","서울특별시 양천구 목동  404번지 76호  ","47.19","  02 6455128  ","19950721","","19950721","목1동","19941201","행정처분","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","5.19","0.00","0.00","0.00","0.00","3.20","1.44","40.56","0.00","0.00","","","3140000-104-1970-06200","","","","","","내국인",""
"3140000","104","1974","06374","휴게음식점","19740413","양지다방","    ","서울특별시 양천구 신정동  1190번지 7호  ","74.20","  02 6919382  ","19990306","","19980319","신정3동","19990817","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","7.92","0.00","0.00","0.00","0.00","12.00","0.00","66.28","0.00","0.00","","","3140000-104-1974-06374","","","","","","내국인",""
"3140000","104","1976","06211","휴게음식점","19760214","호수다방","    ","서울특별시 양천구 목동  515번지 0호  ","101.37","  0206494191  ","19981219","","19981219","목2동","19910508","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","8.99","0.00","0.00","0.00","0.00","4.00","9.40","82.98","0.00","0.00","","","3140000-104-1976-06211","","","","","","내국인",""
"3140000","104","1976","06252","휴게음식점","19760228","째즈","    ","서울특별시 양천구 신정동  1030번지 5호  ","108.00","  02          ","19990322","","19960522","신정1동","20000918","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","3","","","","","","","15.75","0.00","0.00","0.00","0.00","4.74","0.00","92.25","0.00","0.00","","","3140000-104-1976-06252","","","","","","내국인",""
"3140000","104","1976","06318","휴게음식점","19760413","동원","    ","서울특별시 양천구 신정동  1031번지 31호  ","101.44","  0206497921  ","19930121","","19930121","신정3동","19930111","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","6.96","0.00","0.00","0.00","0.00","15.00","7.06","87.42","0.00","0.00","","","3140000-104-1976-06318","","","","","","내국인",""
"3140000","104","1976","06388","휴게음식점","19761216","성심","    ","서울특별시 양천구 목동  792번지 6호  ","94.68","  02 6041242  ","19960905","","19960905","목4동","19960903","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","10.15","0.00","0.00","0.00","0.00","4.00","5.30","79.23","0.00","0.00","","","3140000-104-1976-06388","","","","","","내국인",""
"3140000","104","1976","06404","휴게음식점","19760614","재벌커피숍","    ","서울특별시 양천구 신정동  994번지 2호  ","94.53","  02 6028485  ","19970414","","19970414","신정4동","19970408","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","7.77","0.00","0.00","6.00","0.00","3.53","4.00","76.76","0.00","0.00","","","3140000-104-1976-06404","","","","","","내국인",""
"3140000","104","1977","05887","휴게음식점","19771213","로즈마리명과","    ","서울특별시 양천구 목동  514번지 3호  ","44.57","  0206946924  ","19940628","","19940628","목2동","20050510","자진폐업","식품위생법제22조제4항또는제5항","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","11.40","0.00","0.00","1.47","0.00","4.00","3.60","28.10","0.00","0.00","","","3140000-104-1977-05887","","","","","","내국인",""
"3140000","104","1977","06287","휴게음식점","19771223","대영다방","    ","서울특별시 양천구 신월동  550번지 5호  ","23.31","  0206032576  ","19981219","","19981219","신월6동","19901019","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","2","","","","","","","8.14","0.00","0.00","0.00","0.00","4.70","6.00","9.17","0.00","0.00","","","3140000-104-1977-06287","","","","","","내국인",""
"3140000","104","1977","06356","휴게음식점","19770322","한일","    ","서울특별시 양천구 신정동  900번지 14호  ","137.16","  0206041283  ","19981219","","19981219","신정4동","19910511","자진폐업","","다방","","","","","","","비대상","지하수전용","","0","3","","","","","","","9.62","0.00","0.00","5.00","0.00","2.12","6.97","115.57","0.00","0.00","","","3140000-104-1977-06356","","","","","","내국인",""
"3140000","104","1977","06373","휴게음식점","19770112","영남","    ","서울특별시 양천구 목동  405번지 135호  ","51.21","  0206455047  ","19981219","","19981219","목1동","19910821","행정처분","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","3.84","0.00","0.00","0.00","0.00","2.50","2.72","44.65","0.00","0.00","","","3140000-104-1977-06373","","","","","","내국인",""
"3140000","104","1977","06385","휴게음식점","19770902","귀거래","    ","서울특별시 양천구 목동  731번지 12호  ","61.80","  02 6042583  ","19950529","","19950529","목4동","20020416","자진폐업","자진폐업","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.39","0.00","0.00","1.43","0.00","4.00","4.72","50.26","0.00","0.00","","","3140000-104-1977-06385","","","","","","내국인",""
"3140000","104","1977","06431","휴게음식점","19771216","남진커피숍","    ","서울특별시 양천구 신정동  987번지 1호  ","81.80","  02 6028239  ","20051124","","19970825","신정4동","20061121","자진폐업","영업부진","다방","0","0","0","0","0","20051110","비대상","상수도전용","","0","2","","","","","","","4.08","0.00","0.00","0.00","0.00","2.07","2.29","75.43","0.00","0.00","","","3140000-104-1977-06431","","","","","","내국인",""
