"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3180000","104","1899","00855","휴게음식점","18991230","용궁다방","    ","서울특별시 영등포구 문래동1가  22번지 16호  ","93.24","  02          ","20010302","","20010302","문래동","20010302","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","9.66","0.00","0.00","0.00","0.00","4.80","2.88","80.70","","","","","3180000-104-1899-00855","","","","","","내국인",""
"3180000","104","1913","01275","휴게음식점","19130916","린네스가든","서울특별시 영등포구 여의나루로 77-1 (여의도동102호)","서울특별시 영등포구 여의도동  24번지 2호  102호","114.03","  0207834877  ","20130118","","19130916","여의동","","","","다방","0","0","0","0","0","","비대상","상수도전용","","0","5","","","","","","","11.00","0.00","0.00","0.00","0.00","10.00","13.50","89.53","","","","","3180000-104-1913-01275","","","","","","내국인","대한민국"
"3180000","104","1913","01275","휴게음식점","19130916","린네스가든","서울특별시 영등포구 여의나루로 77-1 (여의도동102호)","서울특별시 영등포구 여의도동  24번지 2호  102호","114.03","  0207834877  ","20190123","","19130916","여의동","","","","다방","0","0","0","0","0","","비대상","상수도전용","","0","5","","","","","","","11.00","0.00","0.00","0.00","0.00","10.00","13.50","89.53","","","","","3180000-104-1913-01275","","","","","","내국인","대한민국"
"3180000","104","1913","01275","휴게음식점","19130916","린네스가든","서울특별시 영등포구 여의나루로 77-1 (여의도동102호)","서울특별시 영등포구 여의도동  24번지 2호  102호","114.03","  0207834877  ","20190614","","19130916","여의동","","","","다방","0","0","0","0","0","","비대상","상수도전용","","0","5","","","","","","","11.00","0.00","0.00","0.00","0.00","10.00","13.50","89.53","","","","","3180000-104-1913-01275","","","","","","내국인","대한민국"
"3180000","104","1933","01958","휴게음식점","19330413","뉴욕제과","    ","서울특별시 영등포구 여의도동  1번지 140호  ","32.37","  0207802673  ","19330413","","19330413","여의동","19990825","자진폐업","","과자점","","","","","","","비대상","상수도전용","","3","4","","","","","","","7.98","4.00","0.00","20.39","0.00","10.00","0.00","0.00","","","","","3180000-104-1933-01958","","","","","","내국인",""
"3180000","104","1934","00386","휴게음식점","19340826","휠라휘프","    ","서울특별시 영등포구 영등포동4가  441번지 21호  ","17.92","  0206306000  ","19340826","","19340826","영등포동","20091216","기타","직권말소(사업자등록 말소)","백화점","","","","","","","비대상","상수도전용","","0","0","","","","","","","6.40","0.00","0.00","0.00","0.00","4.50","0.00","11.52","","","","","3180000-104-1934-00386","","","","","","내국인",""
"3180000","104","1966","00957","휴게음식점","19661227","희","    ","서울특별시 영등포구 영등포동4가  426번지 71호  지하1층","116.55","  0226785003  ","20030314","","19661227","영등포동","20160121","자진폐업","영업부진","다방","0","0","1","1","0","20100416","비대상","상수도전용","","2","2","","","","","","","9.25","0.00","0.00","0.00","3.80","0.00","6.00","97.50","","","","","3180000-104-1966-00957","","","","","","내국인",""
"3180000","104","1967","00912","휴게음식점","19670330","궁전","    ","서울특별시 영등포구 영등포동6가  79번지 0호  지하1층","43.38","  0226354329  ","19670330","","19670330","영등포동","20101227","자진폐업","경제불황","다방","0","0","0","0","0","20090415","비대상","상수도전용","","0","2","","","","","","","7.35","0.00","0.00","0.00","0.00","4.00","0.00","36.03","","","","","3180000-104-1967-00912","","","","","","내국인",""
"3180000","104","1967","01345","휴게음식점","19670915","한성","    ","서울특별시 영등포구 영등포동3가  3번지 2호  ","68.26","  0206782018  ","19670915","","19670915","영등포동","19971126","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","6.46","0.00","0.00","2.43","2.43","0.00","0.99","55.95","","","","","3180000-104-1967-01345","","","","","","내국인",""
"3180000","104","1967","01626","휴게음식점","19671115","영","    ","서울특별시 영등포구 영등포동5가  6번지 0호  ","40.16","  0206776046  ","19671115","","19671115","영등포동","19950208","행정처분","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","7.22","0.00","0.00","0.00","0.00","6.00","0.00","32.94","","","","","3180000-104-1967-01626","","","","","","내국인",""
