"시군구코드","업종코드","년도","업소일련번호","업종명","허가신고일","업소명","소재지도로명","소재지지번","영업장면적(㎡)","소재지전화번호","영업자시작일","법인명","소재지시작일","행정동명","폐업일자","폐업구분","폐업사유","업태명","지상_부터","지상_까지","지하_부터","지하_까지","총층수","교육수료일자","모범음식점여부","급수시설","업소위치","종업원남","종업원여","급식소종류","평균급식인원수","최대급식인원수","1일급식인원수","일인당평균급식비","운영형태","영업장조리장면적(㎡)","영업장객실면적(㎡)","영업장무도장면적(㎡)","영업장기타면적(㎡)","업소내화장실면적(㎡)","타업소공동화장실면적(㎡)","영업장탈의실면적(㎡)","영업장객석면적(㎡)","작업장면적(㎡)","검사실면적(㎡)","진열(판매)대면적(㎡)","창고(보관소)면적(㎡)","허가(신고)번호","참고사항","조건부허가시작일","조건부허가종료일","조건부허가신고사유","신고조건","내외국인구분","국적"
"3020000","104","1966","02732","휴게음식점","19661220","동심","    ","서울특별시 용산구 한강로1가  23번지 1호  ","121.59","  02 7956111  ","19950503","","19950503","한강로동","19950502","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","0","","","","","","","6.30","0.00","0.00","0.00","5.25","0.00","3.24","106.80","","","","","3020000-104-1966-02732","","","","","","내국인",""
"3020000","104","1967","02566","휴게음식점","19671223","여백","    ","서울특별시 용산구 한강로2가  351번지 0호  ","135.68","  02 7944344  ","19990714","","19990101","한강로동","20130527","자진폐업","재개발","다방","","","","","","20031224","비대상","상수도전용","","0","3","","","","","","","17.85","0.00","0.00","0.00","0.00","6.80","13.60","104.23","","","","","3020000-104-1967-02566","","","","","","내국인",""
"3020000","104","1967","02622","휴게음식점","19671011","귀향","서울특별시 용산구 한강대로80길 10 (남영동)","서울특별시 용산구 남영동  94번지 6호  ","","  0207951990  ","19990101","","19990101","남영동","","","","다방","0","0","0","0","0","20031224","비대상","상수도전용","","0","2","","","","","","","5.20","","","45.76","","2.20","4.00","40.56","","","","","3020000-104-1967-02622","","","","","","내국인",""
"3020000","104","1967","02733","휴게음식점","19671011","해림","    ","서울특별시 용산구 원효로2가  86번지 8호  ","50.90","  0207133333  ","19971112","","19971112","원효로제1동","20051229","자진폐업","업종변경","다방","","","","","","20031210","비대상","상수도전용","","0","2","","","","","","","5.32","0.00","0.00","0.00","0.00","4.20","6.72","38.86","","","","","3020000-104-1967-02733","","","","","","내국인",""
"3020000","104","1967","02779","휴게음식점","19671010","중원","    ","서울특별시 용산구 문배동  11번지 0호  ","120.12","  0207137463  ","19980629","","19980629","원효로제1동","20030716","자진폐업","신고","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","14.85","0.00","0.00","0.00","0.00","2.40","7.83","97.44","","","","","3020000-104-1967-02779","","","","","","내국인",""
"3020000","104","1967","02810","휴게음식점","19671011","우리","    ","서울특별시 용산구 원효로2가  3번지 15호  ","77.01","  0207125765  ","19941109","","19941109","원효로제1동","19941103","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.50","0.00","0.00","0.00","0.00","2.10","10.00","58.51","","","","","3020000-104-1967-02810","","","","","","내국인",""
"3020000","104","1967","02815","휴게음식점","19671228","선향","    ","서울특별시 용산구 한강로3가  61번지 0호  ","46.62","  0207952412  ","19951024","","19951024","한강로동","19951019","행정처분","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","5.76","0.00","0.00","0.00","0.00","1.40","0.00","40.86","","","","","3020000-104-1967-02815","","","","","","내국인",""
"3020000","104","1967","02876","휴게음식점","19671010","역전","    ","서울특별시 용산구 동자동  43번지 66호  ","109.09","  0207145544  ","19990101","","19990101","남영동","19940907","행정처분","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.51","0.00","0.00","1.94","1.94","0.00","9.82","89.88","","","","","3020000-104-1967-02876","","","","","","내국인",""
"3020000","104","1967","02885","휴게음식점","19671011","은하","    ","서울특별시 용산구 원효로1가  133번지 11호  ","62.89","  02 7137662  ","19951027","","19951027","원효로제1동","19931015","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","4","","","","","","","6.00","0.00","0.00","3.00","3.00","0.00","6.00","44.89","","","","","3020000-104-1967-02885","","","","","","내국인",""
"3020000","104","1967","02913","휴게음식점","19671011","성남","    ","서울특별시 용산구 남영동  84번지 8호  ","48.40","  0207930474  ","19940212","","19940212","남영동","19920421","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.44","0.00","0.00","3.23","3.23","0.00","0.00","36.50","","","","","3020000-104-1967-02913","","","","","","내국인",""
"3020000","104","1967","02921","휴게음식점","19671007","샘","    ","서울특별시 용산구 후암동  244번지 57호  ","52.38","  0207547885  ","19940212","","19940212","후암동","19920602","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.60","0.00","0.00","4.20","4.20","0.00","1.18","37.20","","","","","3020000-104-1967-02921","","","","","","내국인",""
"3020000","104","1967","03104","휴게음식점","19670112","케익나라","서울특별시 용산구 효창원로69길 4 (효창동)","서울특별시 용산구 효창동  5번지 34호  ","40.81","  02 7131764  ","19990417","","19940329","효창동","20151109","행정처분","행정처분","기타 휴게음식점","0","0","0","0","0","20031024","비대상","상수도전용","","4","4","","","","","","","0.00","0.00","0.00","31.70","2.48","0.00","6.63","0.00","","","","","3020000-104-1967-03104","","","","","","내국인",""
"3020000","104","1967","03127","휴게음식점","19671011","황금제과점","    ","서울특별시 용산구 원효로2가  84번지 1호  ","65.90","  0207125708  ","19990101","","19990101","원효로제1동","19941129","행정처분","","과자점","","","","","","","비대상","상수도전용","","1","1","","","","","","","12.16","0.00","0.00","8.69","0.00","5.40","7.78","37.27","","","","","3020000-104-1967-03127","","","","","","내국인",""
"3020000","104","1968","02555","휴게음식점","19680328","대원","    ","서울특별시 용산구 문배동  24번지 1호  ","103.70","  0207136526  ","19990101","","19990101","원효로제1동","","","","다방","2","2","","","","20031224","비대상","상수도전용","","0","2","","","","","","","5.20","0.00","0.00","7.07","5.67","0.00","4.09","81.67","","","","","3020000-104-1968-02555","","","","","","내국인",""
"3020000","104","1968","02646","휴게음식점","19681226","청일","    ","서울특별시 용산구 청파동1가  162번지  ","71.89","  0207138833  ","19681226","","19681226","청파동","19971024","행정처분","개인사정","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","8.33","0.00","0.00","0.00","0.00","3.20","4.78","58.78","","","","","3020000-104-1968-02646","","","","","","내국인",""
"3020000","104","1968","02738","휴게음식점","19681115","임","    ","서울특별시 용산구 원효로1가  133번지 29호  ","96.69","  0207135282  ","20010305","","19970325","원효로제1동","20070425","자진폐업","건물철거","과자점","0","0","0","0","0","","비대상","상수도전용","","0","3","","","","","","","6.74","0.00","0.00","5.94","5.94","0.00","0.00","78.07","","","","","3020000-104-1968-02738","","","","","","내국인",""
"3020000","104","1968","02825","휴게음식점","19680518","미","    ","서울특별시 용산구 한강로2가  103번지 1호  ","48.49","  0207954100  ","19961218","","19961218","한강로동","19961211","행정처분","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","6.63","0.00","0.00","2.21","2.21","0.00","4.68","32.76","","","","","3020000-104-1968-02825","","","","","","내국인",""
"3020000","104","1968","02826","휴게음식점","19680319","삼해","    ","서울특별시 용산구 한강로2가  137번지 2호  ","109.12","  0207959685  ","19961218","","19961218","한강로동","19961211","행정처분","","다방","","","","","","","비대상","상수도전용","","1","2","","","","","","","7.50","0.00","0.00","0.00","6.30","0.00","14.28","81.04","","","","","3020000-104-1968-02826","","","","","","내국인",""
"3020000","104","1968","02832","휴게음식점","19680605","응접실","    ","서울특별시 용산구 한강로2가  218번지 0호  ","181.92","  0207957890  ","19961218","","19961218","한강로동","19961211","행정처분","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","10.12","0.00","0.00","5.80","5.80","0.00","3.00","157.20","","","","","3020000-104-1968-02832","","","","","","내국인",""
"3020000","104","1968","02888","휴게음식점","19681227","복","    ","서울특별시 용산구 문배동  33번지 0호  ","50.31","  0207137620  ","19961218","","19961218","원효로제1동","19961211","행정처분","","다방","","","","","","","비대상","상수도전용","","0","1","","","","","","","6.48","0.00","0.00","0.00","0.00","2.50","3.30","40.53","","","","","3020000-104-1968-02888","","","","","","내국인",""
"3020000","104","1968","02891","휴게음식점","19681017","한성","    ","서울특별시 용산구 갈월동  8번지 3호  ","72.74","  0207015849  ","19940208","","19940208","남영동","19930104","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","7.02","0.00","0.00","0.00","0.00","1.23","0.00","65.72","","","","","3020000-104-1968-02891","","","","","","내국인",""
"3020000","104","1969","02554","휴게음식점","19690823","제일다방","    ","서울특별시 용산구 이촌동  301번지 139호  ","90.49","  02 7940111  ","19951228","","19690823","이촌제1동","19960221","자진폐업","개인사정","과자점","","","","","","","비대상","상수도전용","","0","3","","","","","","","4.46","0.00","0.00","5.44","5.44","0.00","3.90","71.25","","","","","3020000-104-1969-02554","","","","","","내국인",""
"3020000","104","1969","02567","휴게음식점","19690828","커피마을","    ","서울특별시 용산구 한강로2가  256번지 2호  ","63.70","  02          ","19971121","","19971121","한강로동","19990617","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","6.40","0.00","0.00","0.00","0.00","3.40","0.00","57.30","","","","","3020000-104-1969-02567","","","","","","내국인",""
"3020000","104","1969","02673","휴게음식점","19691001","종점","    ","서울특별시 용산구 후암동  418번지 1호  ","67.75","  02 7547421  ","19950414","","19950414","후암동","19950412","자진폐업","","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","5.02","0.00","0.00","2.10","0.00","0.98","0.00","60.63","","","","","3020000-104-1969-02673","","","","","","내국인",""
"3020000","104","1969","02754","휴게음식점","19691202","약속다방","    ","서울특별시 용산구 남영동  12번지 2호  (지하1층)","60.31","  02 7937862  ","20090703","","19981209","남영동","20090731","자진폐업","업종전환","다방","","","","","","","비대상","상수도전용","","0","3","","","","","","","9.27","0.00","0.00","0.00","0.00","2.60","7.04","44.00","","","","","3020000-104-1969-02754","","","","","","내국인","대한민국"
"3020000","104","1969","02773","휴게음식점","19690213","보리수","    ","서울특별시 용산구 원효로1가  39번지 1호  ","73.46","  0207132090  ","19990101","","19990101","원효로제1동","20021015","자진폐업","신고","다방","","","","","","","비대상","상수도전용","","0","2","","","","","","","8.84","0.00","0.00","0.00","0.00","3.46","0.00","64.62","","","","","3020000-104-1969-02773","","","","","","내국인",""
"3020000","104","1969","02787","휴게음식점","19690604","금정","    ","서울특별시 용산구 동자동  11번지 3호  ","83.63","  0207524854  ","20051129","","19961008","남영동","20080327","자진폐업","영업부진","기타 휴게음식점","0","0","0","0","0","20031210","비대상","상수도전용","","0","2","","","","","","","10.08","0.00","0.00","0.00","0.00","2.40","2.85","70.70","","","","","3020000-104-1969-02787","","","","","","내국인",""
"3020000","104","1969","02793","휴게음식점","19691226","비둘기","    ","서울특별시 용산구 용산동2가  1번지 21호  ","67.50","  0207957928  ","19940214","","19940214","용산2가동","19900330","자진폐업","","다방","","","","","","","비대상","상수도전용","","1","2","","","","","","","8.10","0.00","0.00","0.00","0.00","2.40","0.00","59.40","","","","","3020000-104-1969-02793","","","","","","내국인",""
