구분,죄종,발생검거,건수
중구,살인,발생,1
중구,살인,검거,1
중구,강도,발생,5
중구,강도,검거,7
중구,강간,발생,132
중구,강간,검거,63
중구,절도,발생,1057
중구,절도,검거,415
중구,폭력,발생,1176
중구,폭력,검거,1010
종로구,살인,발생,5
종로구,살인,검거,4
종로구,강도,발생,1
종로구,강도,검거,0
종로구,강간,발생,136
종로구,강간,검거,114
종로구,절도,발생,744
종로구,절도,검거,398
종로구,폭력,발생,1131
종로구,폭력,검거,993
남대문,살인,발생,1
남대문,살인,검거,1
남대문,강도,발생,6
남대문,강도,검거,4
남대문,강간,발생,75
남대문,강간,검거,52
남대문,절도,발생,798
남대문,절도,검거,417
남대문,폭력,발생,779
남대문,폭력,검거,709
서대문구,살인,발생,5
서대문구,살인,검거,4
서대문구,강도,발생,3
서대문구,강도,검거,3
서대문구,강간,발생,206
서대문구,강간,검거,189
서대문구,절도,발생,1062
서대문구,절도,검거,585
서대문구,폭력,발생,1526
서대문구,폭력,검거,1235
혜화,살인,발생,1
혜화,살인,검거,1
혜화,강도,발생,2
혜화,강도,검거,2
혜화,강간,발생,100
혜화,강간,검거,58
혜화,절도,발생,739
혜화,절도,검거,340
혜화,폭력,발생,831
혜화,폭력,검거,712
용산구,살인,발생,1
용산구,살인,검거,1
용산구,강도,발생,3
용산구,강도,검거,2
용산구,강간,발생,331
용산구,강간,검거,285
용산구,절도,발생,1096
용산구,절도,검거,522
용산구,폭력,발생,1980
용산구,폭력,검거,1733
성북구,살인,발생,1
성북구,살인,검거,1
성북구,강도,발생,0
성북구,강도,검거,0
성북구,강간,발생,125
성북구,강간,검거,90
성북구,절도,발생,600
성북구,절도,검거,298
성북구,폭력,발생,886
성북구,폭력,검거,798
동대문구,살인,발생,2
동대문구,살인,검거,2
동대문구,강도,발생,5
동대문구,강도,검거,4
동대문구,강간,발생,145
동대문구,강간,검거,112
동대문구,절도,발생,1447
동대문구,절도,검거,930
동대문구,폭력,발생,2081
동대문구,폭력,검거,1920
마포구,살인,발생,6
마포구,살인,검거,6
마포구,강도,발생,6
마포구,강도,검거,7
마포구,강간,발생,473
마포구,강간,검거,396
마포구,절도,발생,2011
마포구,절도,검거,882
마포구,폭력,발생,2676
마포구,폭력,검거,2278
영등포구,살인,발생,17
영등포구,살인,검거,15
영등포구,강도,발생,8
영등포구,강도,검거,6
영등포구,강간,발생,391
영등포구,강간,검거,267
영등포구,절도,발생,2292
영등포구,절도,검거,1064
영등포구,폭력,발생,3132
영등포구,폭력,검거,2570
성동구,살인,발생,2
성동구,살인,검거,2
성동구,강도,발생,5
성동구,강도,검거,8
성동구,강간,발생,126
성동구,강간,검거,102
성동구,절도,발생,999
성동구,절도,검거,487
성동구,폭력,발생,1325
성동구,폭력,검거,1188
동작구,살인,발생,3
동작구,살인,검거,3
동작구,강도,발생,7
동작구,강도,검거,7
동작구,강간,발생,288
동작구,강간,검거,154
동작구,절도,발생,1151
동작구,절도,검거,532
동작구,폭력,발생,1651
동작구,폭력,검거,1394
광진구,살인,발생,7
광진구,살인,검거,5
광진구,강도,발생,2
광진구,강도,검거,1
광진구,강간,발생,229
광진구,강간,검거,184
